N	3gram	Berdyaev_N_1	StatiiOP
1	в том что	1	11
2	не может быть	4	5
3	в этом смысле	2	4
4	то время как	1	4
5	во всяком случае	1	4
6	с другой стороны	2	4
7	о том что	1	4
8	в то время	1	4
9	это связано с	1	3
10	не в том	1	3
11	не только в	1	3
12	в эту эпоху	1	2
13	но и в	1	2
14	до сих пор	1	2
15	и не в	1	2
16	в том чтобы	1	2
17	с одной стороны	2	2
18	и пр в	1	2
19	в том смысле	1	2
20	я думаю что	1	1
21	а не в	1	1
22	на протяжении всей	1	1
23	он не может	2	1
24	не было и	1	1
25	для себя и	1	1
26	смысле в каком	1	1
27	вместе с тем	2	1
28	в наше время	3	1
29	можно было бы	1	1
30	начала xix века	1	1
31	то что в	1	1
32	к жизни и	1	1
33	том смысле в	1	1
34	к вопросу о	1	1
35	в известном смысле	1	1
36	а не человек	1	1
37	то что он	1	1
38	в такой же	1	1
39	то что совершается	1	1
40	что совершается в	1	1
41	место в жизни	1	1
42	он не имеет	2	1
43	вопрос о том	2	1
44	не знает что	1	1
45	чтобы понять смысл	1	1
