N	3gram	Bakhtin_Fr_1	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	3	6
3	во всяком случае	1	6
4	в том числе	10	5
5	до сих пор	4	5
6	друг с другом	1	5
7	для того чтобы	1	5
8	том числе и	7	4
9	но все же	2	4
10	к тому же	1	4
11	главным образом в	1	3
12	всяком случае не	1	3
13	в связи с	1	3
14	в том что	6	3
15	и связанные с	1	2
16	еще только в	1	2
17	сих пор еще	3	2
18	но все это	1	2
19	в этом отношении	3	2
20	в значительной мере	2	2
21	то или иное	1	2
22	некоторые из них	1	2
23	то же время	1	2
24	той или иной	5	2
25	можно сказать что	1	2
26	в то же	1	2
27	в так называемой	1	1
28	на все и	1	1
29	а между тем	1	1
30	начиная с конца	1	1
31	и в общем	1	1
32	сказать что в	1	1
33	чуть ли не	1	1
34	по отношению к	1	1
35	имеем в виду	1	1
36	в самом деле	1	1
37	в настоящее время	1	1
38	греков и римлян	1	1
39	в эту эпоху	1	1
40	до известной степени	1	1
41	сами по себе	1	1
42	пор еще недостаточно	1	1
43	можно только в	1	1
44	никогда не могут	1	1
45	несмотря на его	1	1
46	перестает быть тем	1	1
47	всего существующего в	1	1
48	во всей своей	1	1
49	в xvii веке	2	1
50	на германской почве	1	1
51	которые мыслились как	1	1
52	не потому что	1	1
53	но в то	1	1
54	но при этом	1	1
55	в отличие от	4	1
56	но в общем	1	1
57	все более и	1	1
58	мы уже говорили	7	1
59	из них не	1	1
60	до настоящего времени	1	1
61	что касается до	1	1
62	с другой стороны	1	1
63	как бы в	1	1
64	не может быть	1	1
65	настоящее время он	1	1
66	так и в	2	1
67	в их чистом	2	1
68	в одном из	1	1
69	и превращается в	1	1
70	более и более	1	1
71	мы имеем в	1	1
72	не представляется возможным	1	1
73	мы видим что	1	1
74	в общем можно	1	1
75	именно потому что	1	1
