N	4gram	Tiupa_Anal_1	DiskursI
1	в то же время	6	3
2	в том числе и	1	2
3	не говоря уже о	1	2
4	одного и того же	2	2
5	в науке о литературе	1	2
6	ни прибавить ни убавить	1	2
7	со-общения при-общения раз-общения которое	1	1
8	нельзя не сделав хуже	1	1
9	дайте перстень на руку	1	1
10	о котором рассказано в	1	1
11	большей или меньшей степени	1	1
12	убавить ни изменить ничего	1	1
13	и аномалий который окружал	1	1
14	сюжетных сами по себе	1	1
15	покидающих свою родину чтобы	1	1
16	рассказано в произведении и	1	1
17	в начале х годов	2	1
18	и оденьте его и	1	1
19	воспринимающему знаковую данность чьего-то	1	1
20	может быть сведено к	2	1
21	трактовали не об однократных	1	1
22	эксцессов и аномалий который	1	1
23	свою родину чтобы воцариться	1	1
24	и внезакономерных явлениях а	1	1
25	ван дейк четко разграничивая	1	1
26	ничего нельзя не сделав	1	1
27	мы и сами участвуем	1	1
28	внезакономерных явлениях а о	1	1
29	не об однократных и	1	1
30	характеристики другие аспекты социальной	1	1
31	человека к норме и	1	1
32	одно и то же	1	1
33	и событие самого рассказывания	1	1
34	которое не может быть	1	1
35	самого рассказывания в этом	1	1
36	выхожу один я на	1	1
37	не было и не	1	1
38	и слушающих их личностные	1	1
39	от отца к сыну	1	1
40	мир эксцессов и аномалий	1	1
41	языка и дискурс трактует	1	1
42	при-общения раз-общения которое не	1	1
43	в специальном значении этого	1	1
44	не от отца к	1	1
45	событие о котором рассказано	1	1
46	не может быть ни	1	1
47	в этом последнем мы	1	1
48	и до сего времени	1	1
49	ком или о чем	1	1
50	объективным ни чисто внутренним	1	1
51	общения со-общения при-общения раз-общения	1	1
52	воцариться в чужой стране	1	1
53	одежду и оденьте его	1	1
54	родину чтобы воцариться в	1	1
55	они таковыми не являлись	1	1
56	котором рассказано в произведении	1	1
57	события событие о котором	1	1
58	интерсубъективное пространство общения со-общения	1	1
59	о чем говорят героя	1	1
60	его событийной полноте влэ	1	1
61	при встрече сознания с	1	1
62	приобретают вид сюжетных сами	1	1
63	в том или ином	2	1
64	автора слушающего читателя и	1	1
65	другие аспекты социальной ситуации	1	1
66	мы имеем дело с	3	1
67	последнем мы и сами	1	1
68	преданий о царских детях	1	1
69	рассказывания в этом последнем	1	1
70	в том что он	2	1
71	том что случилось однажды	1	1
72	ни чисто внутренним субъективным	1	1
73	слушающего читателя и того	1	1
74	продукт социального взаимодействия трех	1	1
75	к норме и устройству	1	1
76	может быть ни чисто	1	1
77	социальные характеристики другие аспекты	1	1
78	по себе они таковыми	1	1
79	хотя в современной передаче	1	1
80	читателя и того о	1	1
81	высказывания необходимо войти в	1	1
82	внешним объективным ни чисто	1	1
83	в равной степени как	1	1
84	ни убавить ни изменить	1	1
85	два события событие о	1	1
86	один я на дорогу	1	1
87	его и дайте перстень	1	1
88	событие самого рассказывания в	1	1
89	при таком взгляде на	1	1
90	состоит в том что	3	1
91	то же время они	1	1
92	встрече сознания с текстом	1	1
93	аномалий который окружал человека	1	1
94	говорящего и слушающих их	1	1
95	лучшую одежду и оденьте	1	1
96	однократных и внезакономерных явлениях	1	1
97	пространство общения со-общения при-общения	1	1
98	или о чем говорят	1	1
99	таковыми не являлись они	1	1
100	но в таком случае	1	1
101	трех говорящего автора слушающего	1	1
102	не есть она сама	1	1
103	войти в некое интерсубъективное	1	1
104	являлись они трактовали не	1	1
105	мир оправдан существованием человека	1	1
106	в его событийной полноте	1	1
107	сами по себе они	1	1
108	дискурс трактует последний как	1	1
109	том что бывает всегда	1	1
110	реальной единицы речевого общения	1	1
111	этом последнем мы и	1	1
112	множества преданий о царских	1	1
113	от тестя к зятю	1	1
114	необходимо войти в некое	1	1
115	мира вокруг я героя	1	1
116	оденьте его и дайте	1	1
117	чьего-то высказывания необходимо войти	1	1
118	и не может быть	4	1
119	перед нами два события	1	1
120	их личностные и социальные	1	1
121	в качестве коммуникативного события	1	1
122	употребление языка и дискурс	1	1
