N	4gram	Tiupa_Disk_2	Analitik
1	в то же время	4	6
2	состоит в том что	2	3
3	бы то ни было	1	3
4	в той или иной	1	3
5	той мере в какой	1	2
6	и того и другого	1	2
7	одного и того же	2	2
8	в той мере в	1	2
9	покойного ивана петровича белкина	1	1
10	не упускать из виду	1	1
11	места времени и действия	1	1
12	выхожу один я на	1	1
13	одно и то же	2	1
14	одной и той же	1	1
15	субъекта объекта и адресата	1	1
16	остановись мгновенье ты прекрасно	1	1
17	с той или иной	1	1
18	мысль о том что	1	1
19	чего бы то ни	1	1
20	повести покойного ивана петровича	1	1
21	ивана петровича белкина изданные	1	1
22	из нас самих состоят	1	1
23	потому что из нас	1	1
24	один я на дорогу	1	1
25	в том числе и	1	1
26	в такой же мере	1	1
27	не может претендовать на	3	1
28	принципиально не может быть	1	1
29	по своей жанровой стратегии	1	1
30	присутствия я в мире	1	1
31	что из нас самих	1	1
32	может быть сведена к	1	1
33	всем потому что из	1	1
34	с позиций исторической поэтики	1	1
35	что же касается самого	1	1
36	не говоря уже о	1	1
37	петровича белкина изданные а.п	1	1
38	интересно всем потому что	1	1
