N	2gram	Vygotskiy__1	Vladivir
1	и в	23	30
2	в этом	17	20
3	то что	17	20
4	у него	1	19
5	и не	9	18
6	в том	24	18
7	и с	9	14
8	же с	1	13
9	что он	7	13
10	в конце	2	13
11	не только	16	12
12	том что	21	12
13	что в	14	12
14	как мы	5	11
15	в его	14	11
16	а в	2	11
17	сказать что	11	11
18	а также	1	10
19	не было	1	10
20	и даже	2	10
21	все же	3	9
22	кроме того	1	9
23	было бы	4	9
24	не в	4	9
25	в то	7	9
26	не может	12	9
27	для него	2	9
28	потому что	6	9
29	в своем	3	8
30	но в	5	8
31	что же	1	8
32	не мог	1	8
33	связи с	3	8
34	но и	14	8
35	вместе с	9	8
36	до конца	1	7
37	ни в	4	7
38	которую он	1	7
39	точки зрения	26	7
40	никогда не	2	7
41	не менее	1	7
42	в эти	1	7
43	может быть	14	7
44	а не	3	7
45	как это	2	7
46	между прочим	1	7
47	и все	5	7
48	также и	1	6
49	хотя и	2	6
50	и к	4	6
51	в себе	6	6
52	об этом	3	6
53	тем не	1	6
54	и его	6	6
55	то время	5	6
56	только в	6	6
57	всяком случае	3	6
58	а именно	1	6
59	прежде всего	10	6
60	о чем	2	6
61	к этому	4	6
62	жизни и	2	6
63	во всяком	3	6
64	и то	3	5
65	и я	2	5
66	с этим	6	5
67	то в	1	5
68	все эти	4	5
69	при этом	4	5
70	как и	14	5
71	в своей	4	5
72	в котором	4	5
73	по себе	5	5
74	так как	7	5
75	для себя	4	5
76	в дальнейшем	1	5
77	так и	5	5
78	и что	5	5
79	того что	15	5
80	так что	1	5
81	но что	1	5
82	в течение	2	5
83	как бы	11	5
84	в основном	1	5
85	о его	1	5
86	все это	6	5
87	в результате	4	5
88	из этого	5	5
89	то же	8	4
90	с в	1	4
91	той же	2	4
92	я не	3	4
93	то это	1	4
94	в ней	1	4
95	и на	8	4
96	что его	2	4
97	с его	4	4
98	не очень	1	4
99	в которой	3	4
100	что это	3	4
101	в целом	20	4
102	в этой	7	4
103	и если	3	4
