N	3gram	Bakhtin_fo_2	SlovoVZh
1	не может быть	1	7
2	можно сказать что	1	5
3	в том что	3	4
4	может быть и	2	3
5	этой точки зрения	1	3
6	до сих пор	2	3
7	это как бы	1	3
8	и то же	1	2
9	имеем в виду	3	2
10	на самом деле	1	2
11	с другой стороны	1	2
12	то же самое	2	2
13	с точки зрения	8	2
14	и для других	1	2
15	лежит на границе	1	2
16	одно и то	1	2
17	в этих двух	1	2
18	в данном случае	1	2
19	с одной стороны	1	2
20	и проч из	1	1
21	в так называемой	1	1
22	и в поэзии	2	1
23	но все же	1	1
24	в пространстве и	4	1
25	и в этом	3	1
26	они должны быть	1	1
27	все разобранные нами	1	1
28	в чем не	1	1
29	вопросов связанных с	1	1
30	здесь имеет место	1	1
31	и явлениями и	1	1
32	пространстве и во	2	1
33	и др все	1	1
34	все более и	1	1
35	то время как	1	1
36	мы уже сказали	3	1
37	одна и та	2	1
38	бы не было	1	1
39	с ним в	1	1
40	что до сих	1	1
41	между тем как	1	1
42	человеческого общества все	1	1
43	и для него	1	1
44	в то время	1	1
45	в частности в	1	1
46	и во времени	2	1
47	и является выражением	1	1
48	ни в чем	1	1
49	и в пространстве	1	1
50	равно как и	2	1
51	сами по себе	2	1
52	особенно важное значение	1	1
53	в свою очередь	1	1
54	но и в	3	1
55	в них и	1	1
56	и та же	2	1
57	и др и	1	1
58	о том что	1	1
59	в этом отношении	2	1
60	по аналогии с	1	1
61	с самого начала	1	1
62	более и более	1	1
63	и прежде всего	3	1
64	то же время	4	1
65	как мы уже	4	1
66	точки зрения не	3	1
67	мы имеем в	2	1
68	вещами и явлениями	1	1
69	мы видели в	1	1
70	со всех сторон	1	1
71	в то же	4	1
72	разобранные нами моменты	1	1
73	того чтобы не	1	1
74	точку зрения другого	1	1
75	и в нем	1	1
76	с такою же	1	1
77	но мы можем	1	1
78	как и в	1	1
79	в литературе и	1	1
80	но в то	1	1
81	к вопросу о	3	1
82	в том же	4	1
83	принимают участие в	1	1
84	прежде всего нужно	2	1
