N	2gram	Tiupa_Anal_2	DiskursI
1	в качестве	11	34
2	не только	16	28
3	в том	12	23
4	а не	10	22
5	то есть	9	20
6	тогда как	19	19
7	том что	12	19
8	представляет собой	8	17
9	может быть	6	17
10	как и	14	16
11	и в	16	16
12	в этом	18	15
13	еще не	2	14
14	коммуникативного события	4	14
15	но и	12	14
16	при этом	10	13
17	и т.п	8	12
18	по своей	1	11
19	но не	4	11
20	прежде всего	3	11
21	и не	12	11
22	как в	4	10
23	далеко не	1	10
24	с другой	6	10
25	по отношению	4	9
26	в нем	1	9
27	не может	4	9
28	состоит в	8	9
29	с одной	5	9
30	одной стороны	4	9
31	в частности	16	9
32	отношению к	4	9
33	отнюдь не	8	8
34	но в	6	8
35	своего рода	12	8
36	о том	7	8
37	так и	15	8
38	а также	7	8
39	в себе	7	7
40	то же	4	7
41	не в	4	7
42	роль в	2	7
43	со стороны	3	7
44	в его	2	7
45	только в	4	7
46	высказывания в	3	6
47	в своем	4	6
48	жанр в	1	6
49	и как	1	6
50	ни к	1	6
51	и на	6	5
52	во всех	4	5
53	отличие от	2	5
54	в рамках	3	5
55	природе своей	2	5
56	тому же	4	5
57	в силу	1	5
58	в котором	2	5
59	в их	3	5
60	в отличие	2	5
61	в себя	4	5
62	сводится к	3	5
63	по природе	2	5
64	коммуникативное событие	1	5
65	или иной	3	5
66	можно сказать	4	5
67	в данном	8	5
68	как бы	10	5
69	к тому	7	5
70	а в	3	5
71	то что	7	5
72	в своей	2	5
73	в нарративном	1	4
74	и о	1	4
75	с его	1	4
76	в сторону	5	4
77	и к	5	4
78	уже не	4	4
79	в целом	8	4
80	на его	3	4
81	не как	1	4
82	лишь в	9	4
83	в них	1	4
84	своей коммуникативной	1	4
85	потому что	1	4
86	могут быть	10	4
87	для себя	1	4
88	и т.д	3	4
89	внимание на	2	4
90	же время	2	4
91	между тем	2	4
92	повествовательного дискурса	1	4
93	как правило	4	4
94	одной из	3	4
95	для него	4	4
96	связи с	1	4
97	такого рода	2	4
98	не является	1	4
99	по рассуждению	1	4
100	что в	2	4
101	также и	1	3
102	того же	4	3
103	и потому	1	3
104	значении этого	1	3
105	в первом	1	3
106	эстетическая деятельность	1	3
107	столь же	4	3
108	той или	3	3
109	перед нами	1	3
110	в самом	6	3
111	вследствие этого	2	3
112	заключается в	1	3
113	это не	1	3
114	ведет к	1	3
115	точки зрения	4	3
116	в ходе	4	3
117	самого рассказывания	2	3
118	однако в	1	3
119	по себе	2	3
120	в то	2	3
121	таким образом	2	3
122	ли не	2	3
123	должны быть	1	3
124	в ситуации	3	3
125	свою очередь	1	3
126	но при	1	3
127	в ее	1	3
128	в произведении	2	3
129	времени и	1	3
130	не с	4	3
131	еще в	2	3
132	и даже	9	3
133	что и	3	3
134	научного мышления	1	3
135	хотя бы	1	3
136	являет собой	3	3
137	различного рода	1	3
138	из них	3	3
139	к ним	1	3
140	тем что	3	3
141	именно в	3	3
142	очевидным образом	2	3
143	при всей	3	3
144	имеет место	4	3
145	себе не	2	3
146	мира в	1	3
147	в акте	1	3
148	для обозначения	1	3
149	тому как	3	3
150	того что	2	3
151	один из	2	3
152	литературного произведения	16	3
153	эстетической деятельности	1	3
154	как уже	3	3
155	в свою	1	3
156	на смену	3	3
157	сказать что	2	3
158	другой стороны	2	3
159	в действительности	3	3
160	отношения к	2	2
161	определить как	1	2
162	к другому	1	2
163	едва ли	3	2
164	мы имеем	3	2
165	в сущности	4	2
166	совпадает с	4	2
167	на себя	5	2
168	ему в	3	2
169	в виду	1	2
170	служит для	1	2
171	сказать и	1	2
172	высказывания с	1	2
173	за пределы	4	2
174	себя в	2	2
175	стороны и	1	2
176	что касается	3	2
177	хотя и	4	2
178	когда он	1	2
179	однако на	1	2
180	адресата в	1	2
181	более или	1	2
182	в противоположность	2	2
183	текста не	1	2
184	не приходится	1	2
185	в тех	1	2
186	поскольку в	1	2
187	в этой	9	2
188	так сказать	1	2
189	по словам	1	2
190	не следует	2	2
191	определенной жанровой	1	2
192	в принципе	1	2
193	силу своей	1	2
194	подобно тому	3	2
195	и по	1	2
196	на этом	4	2
197	адресата при	1	2
198	так например	2	2
199	человека в	1	2
200	исходя из	1	2
201	в каждом	1	2
202	об этом	1	2
203	того или	3	2
204	и тем	4	2
205	соответствии с	2	2
206	иначе говоря	11	2
207	или менее	1	2
208	м.м бахтин	1	2
209	при встрече	1	2
210	по крайней	3	2
211	я героя	1	2
212	не менее	4	2
213	что с	2	2
214	дело не	2	2
215	текста и	2	2
216	внутренней речи	4	2
217	коммуникативным событием	1	2
218	а о	1	2
219	имеем дело	3	2
220	в тексте	24	2
221	и его	4	2
222	крайней мере	3	2
223	этой причине	1	2
224	отличается от	1	2
225	же самое	1	2
226	значительной степени	2	2
227	бахтина о	1	2
228	но одновременно	1	2
229	частной жизни	1	2
230	мысли о	1	2
231	не есть	2	2
232	и он	2	2
233	как мы	3	2
234	с ее	2	2
235	данном случае	5	2
236	языка и	2	2
237	характер и	1	2
238	в организации	3	2
239	принадлежащих к	1	2
240	в пределах	9	2
241	приводит к	3	2
242	по этой	1	2
243	в другом	1	2
244	было в	1	2
245	строго говоря	2	2
246	повествователя в	2	2
247	но отнюдь	1	2
248	о нем	1	2
249	и что	1	2
250	цепи событий	1	2
251	одного из	3	2
252	в значительной	2	2
253	времени в	4	2
254	это было	2	2
255	на протяжении	2	2
256	лирического дискурса	2	2
257	и во	2	2
258	них в	1	2
259	дискурса к	2	2
260	в литературе	1	2
261	и одновременно	3	2
262	и представляет	1	2
263	дело с	1	2
264	в какой	1	2
265	и ее	1	2
266	в литературоведении	1	2
267	есть в	3	2
268	уже в	1	2
269	свидетельствует о	2	2
270	в равной	1	2
271	или даже	2	2
272	по выражению	2	2
273	текста в	6	2
274	слова в	1	2
275	в одном	2	2
276	сами по	1	2
277	адресата и	1	2
278	как его	1	2
279	никогда не	3	2
280	бы это	1	2
281	на ее	1	2
282	здесь в	2	2
283	героя и	1	2
284	более того	1	2
285	в соответствии	2	2
286	событие самого	1	2
287	в рассказе	1	2
288	зависит от	1	2
289	его как	2	2
290	одну из	2	2
291	о чем	2	2
292	и адресата	2	2
293	то она	1	2
294	к его	2	2
295	в дискурсе	1	2
296	из уст	1	2
297	что же	1	2
298	за рамки	1	2
299	в ряду	1	2
300	высказывания и	2	2
301	в начале	1	2
302	к другим	1	2
303	за его	1	2
304	известной степени	1	2
305	не имея	1	2
306	частности в	2	2
307	или в	3	2
308	на небесах	3	2
309	своей собственной	1	2
310	особого рода	2	2
311	и все	3	2
312	будто бы	1	2
313	указывает на	1	2
314	может и	1	2
315	эстетического субъекта	1	2
316	что даже	1	2
317	речи как	1	2
318	это в	1	2
319	к этому	2	2
320	зрения как	1	1
321	как известно	1	1
322	речь идет	2	1
323	таком случае	2	1
324	и то	3	1
325	самом деле	1	1
326	переход от	1	1
327	и должны	1	1
328	идет о	1	1
329	а непосредственно	1	1
330	и до	2	1
331	смерть в	1	1
332	из его	2	1
333	формах внутренней	1	1
334	событийного ряда	1	1
335	на отсутствие	1	1
336	и за	3	1
337	той же	2	1
338	к предмету	2	1
339	однако для	1	1
340	текста как	2	1
341	объектной и	3	1
342	современной нарратологии	1	1
343	из своих	2	1
344	в становлении	1	1
345	говорить о	6	1
346	в полной	1	1
347	я не	1	1
348	в изложении	2	1
349	его однако	1	1
350	из того	1	1
351	они были	1	1
352	событий и	1	1
353	что оба	1	1
354	субъекта объекта	2	1
355	упускать из	1	1
356	взгляде на	1	1
357	иного рода	2	1
358	свидетельствующего о	1	1
359	не требует	1	1
360	всего литературного	1	1
361	вокруг я	1	1
362	особенно если	1	1
363	оно в	1	1
364	и всякий	1	1
365	в противовес	1	1
366	конечном счете	2	1
367	внимание не	1	1
368	себе и	1	1
369	тут же	1	1
370	отличаются от	1	1
371	что хотя	1	1
