N	2gram	Voloshinov_1	TeoriaLi
1	в мире	2	24
2	не только	27	18
3	в качестве	4	17
4	и не	14	16
5	а в	5	14
6	и в	38	13
7	в частности	3	13
8	так и	6	12
9	то есть	4	12
10	может быть	13	12
11	при этом	9	11
12	в этом	10	11
13	в том	2	11
14	представляет собой	2	11
15	но не	2	10
16	и его	7	10
17	а не	6	10
18	то же	14	9
19	в его	6	9
20	в душе	2	8
21	что в	1	8
22	но и	13	8
23	в себе	9	7
24	точки зрения	10	7
25	по своей	2	7
26	как это	5	7
27	в то	9	7
28	во второй	3	7
29	себя в	4	7
30	только в	6	7
31	том что	3	7
32	еще не	3	6
33	же время	7	6
34	место в	2	6
35	лишь в	4	6
36	с его	7	6
37	в первой	2	6
38	но в	5	6
39	в русской	1	6
40	как бы	28	6
41	как и	10	5
42	в нем	4	5
43	не в	6	5
44	тем самым	7	5
45	того или	5	5
46	между ними	3	5
47	в ее	3	5
48	между тем	3	5
49	уже не	4	5
50	в самом	4	5
51	он не	2	5
52	с другой	1	5
53	однако в	2	5
54	или иного	5	5
55	и одновременно	1	5
56	как в	2	5
57	или иной	4	5
58	мы имеем	2	5
59	жизни как	1	5
60	в своем	1	5
61	не знает	3	4
62	в форме	6	4
63	говорить о	1	4
64	можно сказать	4	4
65	высказывания в	2	4
66	не менее	1	4
67	в своей	2	4
68	в их	1	4
69	отношение к	2	4
70	хотя и	3	4
71	то что	8	4
72	конечном счете	1	4
73	и т.п	21	4
74	мира и	1	4
75	ни в	1	4
76	сказать что	3	4
77	за пределами	1	4
78	в слове	3	4
79	или менее	1	4
80	не может	12	4
81	более или	1	4
82	в конечном	1	4
83	в свою	6	4
84	все эти	2	3
85	к которому	1	3
86	и вот	3	3
87	в другом	1	3
88	в противоположность	1	3
89	или в	2	3
90	прежде всего	21	3
91	таким образом	7	3
92	в этой	6	3
93	в произведении	1	3
94	как раз	1	3
95	человека с	2	3
96	в художественном	1	3
97	и внешней	3	3
98	в нашем	5	3
99	его в	4	3
100	например в	1	3
101	для него	3	3
102	того что	4	3
103	потому что	5	3
104	в этих	2	3
105	и сам	2	3
106	и к	4	3
107	для возникновения	1	3
108	между двумя	2	3
109	мог бы	1	3
110	художественного творчества	5	3
111	в отношении	2	3
112	и потому	2	3
113	свою очередь	4	3
114	со своей	1	3
115	тем не	1	3
116	в основе	2	3
117	а с	5	3
118	и т.д	21	3
119	другой стороны	1	3
120	слова в	5	3
121	речи и	6	3
122	этого слова	3	3
123	именно в	1	3
124	в сторону	1	3
125	художественного произведения	1	3
126	и что	1	3
127	человека к	1	3
128	никогда не	7	3
129	он должен	3	3
130	на две	1	3
131	и то	3	3
132	перед нами	3	3
133	ни к	2	3
134	по своему	3	3
135	той или	3	3
136	в которой	7	2
137	или иных	3	2
138	и здесь	3	2
139	и того	1	2
140	одно и	4	2
141	внешнего мира	1	2
142	в литературе	1	2
143	одной из	2	2
144	того же	1	2
145	могла бы	1	2
146	и тем	6	2
147	так же	4	2
148	слова как	2	2
149	и для	3	2
150	о своем	3	2
151	перед лицом	1	2
152	и больше	2	2
153	формы высказывания	2	2
154	здесь не	2	2
155	зрения и	1	2
156	перед ним	3	2
157	вовсе не	2	2
158	вслед за	1	2
159	внутренней и	3	2
160	к нему	2	2
161	я и	2	2
162	в большинстве	1	2
163	русской литературе	1	2
164	в конце	6	2
165	дело не	1	2
166	во всех	6	2
167	по себе	1	2
168	а на	2	2
169	об этом	3	2
170	слова не	2	2
171	между собой	2	2
172	либо в	2	2
173	вместе с	5	2
174	здесь мы	3	2
175	тем в	1	2
176	отношения к	3	2
177	только не	1	2
178	в себя	1	2
179	но как	2	2
180	к тому	4	2
181	это не	3	2
182	нашем случае	1	2
183	не с	3	2
184	и о	1	2
185	из которых	3	2
186	за пределы	1	2
187	с точки	5	2
188	в той	5	2
189	это и	1	2
190	в целом	4	2
191	одного и	1	2
192	при условии	2	2
193	в чем	1	2
194	мы в	3	2
195	в романе	1	2
196	в организации	1	2
197	тот или	1	2
198	и даже	3	2
199	анекдот не	1	2
200	в диалоге	1	2
201	со стороны	1	2
202	глаза в	1	2
203	тех или	4	2
204	у него	1	2
205	их в	3	2
206	как к	1	2
207	высказывания как	3	2
208	роль в	3	2
209	однако все	1	2
210	я не	1	2
211	высказывания не	2	2
212	в глаза	1	2
213	о том	4	2
214	о чем	1	2
215	между внутренней	2	2
216	дома и	1	2
217	собственно говоря	1	2
218	была бы	1	2
219	в области	5	2
220	мы легко	3	2
221	принадлежит к	1	2
222	не сумеет	1	2
223	что может	1	2
224	с языком	1	2
225	на себя	1	2
226	высказывания и	3	2
227	и это	7	2
228	как будто	1	2
229	как говорит	1	2
230	в виду	3	2
231	жизни однако	1	2
232	если бы	4	2
233	и как	9	2
234	к одному	1	2
235	что он	2	2
236	глядя на	1	1
237	жизни ее	1	1
238	может не	1	1
239	точек зрения	4	1
240	одним из	1	1
241	не становится	3	1
242	не могла	1	1
243	это возможно	1	1
244	жизни он	1	1
245	каждый из	2	1
246	может и	1	1
247	для всех	2	1
248	в речевом	1	1
249	окружающей нас	1	1
250	или иное	4	1
251	в словах	3	1
252	когда мы	6	1
253	в значительной	2	1
254	на его	5	1
255	большей степени	1	1
256	есть в	1	1
257	бы в	5	1
258	в наших	1	1
259	вся система	1	1
260	уже до	1	1
261	художественное произведение	1	1
262	или их	1	1
263	вопрос о	2	1
264	из этих	1	1
265	в связи	2	1
266	укажем на	1	1
267	из которого	1	1
268	от всех	1	1
269	в собственном	1	1
270	даже его	1	1
271	в поле	1	1
272	с внутренним	1	1
273	это на	1	1
274	ситуации и	9	1
275	за ним	1	1
276	о котором	1	1
277	жизни и	3	1
278	создает и	1	1
279	только мы	1	1
280	его с	1	1
281	общение с	1	1
282	не будет	3	1
283	нет в	1	1
284	не должно	2	1
285	материал его	1	1
286	значение для	1	1
287	с нашим	1	1
288	и процесс	1	1
289	с той	1	1
290	и внутреннюю	1	1
291	и является	5	1
292	и развития	3	1
293	необходимым условием	4	1
294	связи с	3	1
295	речевом потоке	2	1
296	крайней мере	1	1
297	которое существует	1	1
298	обычно говорят	1	1
299	во внешних	1	1
300	и их	5	1
301	души и	1	1
302	не путем	1	1
303	в комнате	1	1
304	большинстве случаев	1	1
305	обратное влияние	5	1
306	не было	2	1
307	чтобы этот	1	1
308	просто не	1	1
309	служит для	1	1
310	друг другу	2	1
311	определенным образом	1	1
312	зависит от	2	1
313	такое слово	1	1
314	таким же	1	1
315	к языку	1	1
316	фразы в	2	1
317	на то	1	1
318	с появлением	4	1
319	с ней	2	1
320	только о	1	1
321	автора с	1	1
322	у себя	2	1
323	ключ к	1	1
324	в какой	2	1
325	отнюдь не	10	1
326	с ним	2	1
327	социального поведения	1	1
328	это еще	1	1
329	превращается в	1	1
330	это всегда	1	1
331	с помощью	6	1
332	независимо от	5	1
333	на поле	1	1
334	структуры художественного	1	1
335	что это	4	1
336	между несколькими	1	1
337	роман и	1	1
338	и другие	1	1
339	здесь остается	1	1
340	так что	1	1
341	или его	1	1
342	и без	4	1
343	первой и	1	1
344	или иная	1	1
345	больше и	2	1
346	если в	1	1
347	целый ряд	3	1
348	только то	1	1
349	первой части	1	1
350	вследствие этого	2	1
351	в другой	1	1
352	языка мы	2	1
353	тот же	2	1
354	оглядывается на	1	1
355	совершенно не	3	1
356	в своих	2	1
357	общения как	1	1
358	хх веке	1	1
359	на отдельные	2	1
360	ничто не	1	1
361	то или	4	1
362	рынок и	1	1
363	существенное для	1	1
364	если он	3	1
365	с тем	8	1
366	тем как	1	1
367	в одном	3	1
368	то в	1	1
369	которого он	1	1
370	зрения как	2	1
371	те же	4	1
372	если не	3	1
373	и завершает	1	1
374	иного языка	1	1
375	и теперь	1	1
376	такое же	1	1
377	лишь путем	2	1
378	или даже	2	1
379	внутри себя	2	1
380	том и	1	1
381	нуждается в	2	1
382	его как	1	1
383	деятельности и	3	1
384	теперь в	3	1
385	из всего	2	1
386	путь к	1	1
387	ту или	3	1
388	мира как	1	1
389	переживания как	1	1
390	литературное произведение	2	1
391	с этой	1	1
392	для индивидуального	1	1
393	быть так	1	1
394	и оценки	1	1
395	нами не	1	1
396	связь со	1	1
397	дело с	1	1
398	к чему	2	1
399	в таких	1	1
400	в таком	1	1
401	речи именно	1	1
402	а затем	1	1
403	необходимо для	1	1
404	он ни	1	1
405	голос или	1	1
406	действительность в	1	1
407	но если	1	1
408	общения людей	2	1
409	время эти	1	1
410	расположение их	1	1
411	зрения каждый	1	1
412	как видно	1	1
413	чему не	2	1
414	в хх	1	1
415	более чем	1	1
416	к своему	4	1
417	в одно	1	1
418	большей части	1	1
419	времени и	2	1
420	общения не	2	1
421	статье о	1	1
422	обращения к	2	1
423	этом случае	3	1
424	к миру	2	1
425	без его	1	1
426	может как	1	1
427	было возможно	1	1
428	и на	6	1
429	с самим	2	1
430	говорящего и	6	1
431	на всех	1	1
432	речь в	1	1
433	имеют место	1	1
434	на свою	1	1
435	и внутренняя	3	1
436	сознание как	1	1
437	языка и	4	1
438	с человеком	1	1
439	со всех	2	1
440	самой ситуации	2	1
441	как мы	9	1
442	сказать не	2	1
443	и слово	3	1
444	можно говорить	1	1
445	у нас	4	1
446	человека и	1	1
447	с другими	2	1
448	при виде	1	1
449	того чтобы	7	1
450	своей жизни	5	1
451	что такое	4	1
452	ее можно	1	1
453	говоря о	1	1
454	даже если	1	1
455	связаны с	4	1
456	же точно	1	1
457	в силу	1	1
458	частей речи	1	1
459	и от	7	1
460	в сущности	1	1
461	всего к	1	1
462	организации конечно	1	1
463	языку в	1	1
464	не является	5	1
465	то чему	1	1
466	каким бы	1	1
467	да и	4	1
468	для того	9	1
469	весь мир	1	1
470	содержит в	1	1
471	в одной	1	1
472	что для	1	1
473	тому же	2	1
474	один из	4	1
475	при анализе	1	1
476	ли не	2	1
477	является как	1	1
478	значительной степени	2	1
479	в истории	1	1
480	все это	4	1
481	явлений жизни	1	1
482	к более	1	1
483	по большей	1	1
484	завершение и	1	1
485	представить себе	3	1
486	вопрос кто	1	1
487	человек должен	1	1
488	что представляет	1	1
489	же и	1	1
490	в реальной	2	1
491	жизни если	1	1
492	искусства в	1	1
493	с их	1	1
494	из них	3	1
495	собой и	1	1
496	жизни что	1	1
497	является не	1	1
498	принадлежит какой-то	1	1
499	а о	1	1
500	перед тем	1	1
501	от своего	1	1
502	не всегда	2	1
503	для этого	1	1
504	одна из	1	1
505	в котором	3	1
506	не внешним	1	1
507	на это	4	1
508	если она	1	1
509	он в	1	1
510	высшей ценностью	1	1
511	же как	1	1
512	также что	1	1
513	сознания к	1	1
514	речи хотя	1	1
515	вошел в	2	1
516	чтобы не	1	1
517	ему и	1	1
518	оно является	2	1
519	всей своей	1	1
520	как уже	2	1
521	внутренней жизни	3	1
522	не могут	1	1
523	в иной	1	1
524	можно даже	1	1
525	мы видим	3	1
526	по крайней	1	1
527	или иную	3	1
528	процесс их	1	1
529	выбор слова	1	1
530	именно потому	1	1
531	себя только	1	1
532	с одним	1	1
533	с собой	2	1
534	истории не	1	1
535	она не	1	1
536	в результате	1	1
537	обе эти	1	1
538	также и	2	1
539	переживания и	2	1
540	на каждом	1	1
541	и определяется	2	1
542	должен был	1	1
543	ближе к	1	1
544	не как	1	1
545	высказывания но	5	1
546	иной интонации	1	1
547	только лишь	1	1
548	той же	5	1
549	должен быть	2	1
550	еще и	2	1
551	осуществляется в	1	1
552	себе этот	1	1
553	на вопрос	1	1
554	всякое высказывание	3	1
555	превратилась в	1	1
556	столь же	1	1
557	все они	1	1
558	та или	1	1
559	время и	1	1
560	между этими	1	1
561	с которой	1	1
562	ее не	1	1
563	свою речь	1	1
564	высказывания с	3	1
565	при всем	2	1
566	же в	1	1
567	интонации и	1	1
568	двух моментов	1	1
569	и вся	1	1
570	в каком	2	1
571	с ума	1	1
572	личные местоимения	1	1
573	конечно с	1	1
574	и до	1	1
575	в каждой	1	1
576	в христианском	1	1
577	законы но	1	1
578	художественного высказывания	2	1
579	и где	1	1
580	весьма существенно	1	1
581	и ситуации	2	1
582	и есть	1	1
583	и пр	4	1
584	общественных отношений	1	1
585	мы конечно	2	1
586	тем же	3	1
587	в еще	1	1
588	жизнь мою	2	1
589	ударения в	1	1
590	но эта	2	1
591	было бы	7	1
592	и эстетический	1	1
593	но от	1	1
594	если мы	4	1
595	одного из	1	1
596	никак не	1	1
597	в самой	1	1
598	одному из	1	1
599	нас на	1	1
600	жеста и	1	1
601	высказывание как	2	1
602	это ни	1	1
603	здесь как	1	1
604	на третьей	1	1
605	это уже	1	1
606	долгое время	3	1
607	а впоследствии	1	1
608	только на	3	1
609	тому как	1	1
610	как внутренняя	1	1
611	имеем в	1	1
612	мы рассматриваем	1	1
613	вследствие того	1	1
614	граница между	1	1
615	и строго	1	1
616	так как	7	1
617	и делает	1	1
618	еще один	1	1
619	можно было	4	1
620	который может	1	1
621	во внутренней	4	1
622	мысль о	1	1
623	сливается с	1	1
624	от всего	1	1
625	которой я	1	1
626	этого я	1	1
627	все что	1	1
628	является в	1	1
629	в литературном	1	1
630	от ситуации	1	1
631	он уже	1	1
632	действительной жизни	2	1
633	как ее	1	1
634	жанра в	1	1
635	утратит свою	1	1
636	не есть	1	1
637	может иметь	1	1
