N	2gram	Bakhtin_fo_2	Morfolog
1	может быть	7	52
2	и т	14	49
3	т д	3	47
4	и пр	2	40
5	таким образом	3	20
6	не может	2	17
7	в этих	3	16
8	могут быть	2	15
9	этих случаях	1	14
10	с этим	5	14
11	и в	46	13
12	в этом	22	13
13	так как	6	12
14	и др	5	12
15	связи с	8	11
16	чаще всего	1	11
17	мы видим	2	11
18	то же	8	9
19	мы имеем	2	9
20	так и	7	9
21	этом случае	2	9
22	прежде всего	14	9
23	а не	4	9
24	в связи	8	9
25	и не	9	9
26	а затем	3	8
27	что и	3	8
28	с другой	2	8
29	по существу	5	8
30	в результате	1	8
31	вопрос о	1	7
32	имеем в	3	7
33	и этим	1	7
34	в качестве	3	7
35	в тех	1	7
36	все же	6	7
37	но не	5	6
38	это не	2	6
39	во время	10	6
40	не могут	1	6
41	и здесь	1	6
42	а также	3	6
43	в форме	3	6
44	в том	10	6
45	а в	3	6
46	мы не	1	5
47	во всех	11	5
48	в море	3	5
49	то что	7	5
50	в образе	4	5
51	далеко не	2	5
52	потому что	8	5
53	этот момент	1	5
54	один из	2	5
55	мы увидим	1	5
56	сюда же	2	5
57	наряду с	2	5
58	как бы	10	5
59	и другие	3	5
60	также и	4	4
61	тех же	1	4
62	если в	2	4
63	как в	4	4
64	хотя и	3	4
65	и как	3	4
66	не только	11	4
67	на его	1	4
68	на этом	2	4
69	следующим образом	1	4
70	об этом	1	4
71	его в	6	4
72	было бы	2	4
73	вовсе не	13	4
74	как и	8	4
75	несмотря на	1	4
76	точки зрения	10	4
77	с точки	8	4
78	на котором	2	4
79	тем что	3	4
80	очень часто	2	4
81	как мы	6	4
82	видно что	1	4
83	герой и	1	4
84	и затем	2	4
85	в некоторых	2	4
86	другой стороны	1	4
87	там где	2	4
88	так же	2	4
89	что в	5	4
90	начинается с	1	3
91	самом деле	1	3
92	на самом	1	3
93	вне связи	1	3
94	и для	9	3
95	между собой	1	3
96	из приведенных	1	3
97	вступают в	2	3
98	целый ряд	3	3
99	но в	10	3
100	в нашем	1	3
101	в пределах	5	3
102	и по	3	3
103	прежде чем	3	3
104	но все	1	3
105	из них	8	3
106	ни в	1	3
107	сам он	1	3
108	в один	1	3
109	том что	4	3
110	в пропасть	1	3
111	в то	5	3
112	в сущности	2	3
113	на него	1	3
114	того чтобы	8	3
115	здесь же	1	3
116	в бою	1	3
117	с собой	1	3
118	раз он	1	3
119	если бы	1	3
120	но и	9	3
121	он не	5	3
122	значит что	2	3
123	задачи на	1	3
124	и ее	1	3
125	мы можем	1	3
126	не является	3	3
127	что они	4	3
128	пр и	1	3
129	форма в	2	3
130	но это	2	3
131	кроме того	3	3
132	это уже	1	3
133	же в	4	3
134	требует чтобы	1	3
135	в последнем	2	3
136	ее по	1	3
137	если же	1	3
138	смысле слова	2	2
139	как это	2	2
140	по этим	1	2
141	тем же	2	2
142	корабль и	1	2
143	со смертью	1	2
144	есть нечто	1	2
145	время как	1	2
146	совсем не	2	2
147	другой пример	3	2
148	друг на	2	2
149	герой не	1	2
150	первый взгляд	1	2
151	как уже	3	2
152	и к	2	2
153	то в	2	2
154	животных и	1	2
155	та же	3	2
156	как то	1	2
157	не значит	1	2
158	в другом	3	2
159	мы уже	9	2
160	большинстве случаев	3	2
161	это было	1	2
162	с тем	2	2
163	на друга	2	2
164	и тогда	1	2
165	на первый	3	2
166	для него	3	2
167	за которым	1	2
168	имеется в	1	2
169	что до	1	2
170	дается в	2	2
171	и более	2	2
172	однако в	1	2
173	все эти	5	2
174	в таких	1	2
175	эти формы	2	2
176	не имеет	1	2
177	одна из	1	2
178	всех пяти	1	2
179	рассматриваются как	1	2
180	и его	12	2
181	так например	1	2
182	к себе	4	2
183	для того	8	2
184	оно не	1	2
185	здесь не	2	2
186	царя и	1	2
187	то время	1	2
188	и что	1	2
189	но здесь	2	2
190	о том	4	2
191	с одной	2	2
192	можно сказать	2	2
193	в различных	1	2
194	может не	1	2
195	и только	2	2
