N	2gram	Losev_Prob_5	VelikijI
1	и не	12	20
2	и в	30	16
3	свободы и	4	12
4	так как	6	9
5	то что	18	9
6	еще не	3	8
7	что они	3	7
8	на земле	9	7
9	а не	5	7
10	и потому	1	7
11	к людям	4	6
12	человека и	4	6
13	на себя	1	5
14	но и	13	5
15	по пути	1	5
16	того что	3	5
17	хотя и	8	5
18	бога и	1	5
19	все это	1	5
20	как бы	6	5
21	и есть	1	4
22	в образе	1	4
23	во мне	1	4
24	свою личность	1	4
25	добра и	1	4
26	в его	12	4
27	нет у	2	4
28	в этом	17	4
29	что он	7	4
30	потому что	13	4
31	в нем	6	4
32	так и	7	4
33	что не	2	4
34	с богом	1	4
35	как и	7	4
36	в котором	2	4
37	в ней	3	4
38	великих и	1	4
39	в силах	1	4
40	и все	9	4
41	все что	2	4
42	в абсолютном	1	3
43	от этого	3	3
44	и что	6	3
45	людей он	1	3
46	за то	2	3
47	нас и	2	3
48	хотя бы	2	3
49	в чем	2	3
50	с его	1	3
51	что и	6	3
52	в том	12	3
53	тот же	3	3
54	но в	9	3
55	бы и	1	3
56	по этому	2	3
57	все эти	2	3
58	и они	2	3
59	за ним	1	3
60	от которого	1	3
61	в конце	8	3
62	их в	1	3
63	в своей	22	3
64	ни в	4	3
65	в них	2	3
66	не было	1	3
67	если не	4	3
68	всех людей	1	3
69	что я	1	3
70	не в	7	3
71	любовь к	1	3
72	тому что	1	3
73	но это	1	3
74	не имеет	1	3
75	никогда не	7	3
76	личности и	1	3
77	превращается в	1	3
78	и для	6	3
79	к тому	2	3
80	жизни и	2	3
81	что в	5	3
82	людей в	5	3
83	верит что	1	2
84	и это	1	2
85	того чтобы	2	2
86	и то	5	2
87	у людей	4	2
88	это мы	1	2
89	верит в	2	2
90	и сам	4	2
91	и т	1	2
92	можно было	2	2
93	и за	2	2
94	его не	2	2
95	мы не	2	2
96	когда в	1	2
97	что от	3	2
98	с ним	3	2
99	два начала	1	2
100	между тем	2	2
101	нет и	1	2
102	вслед за	2	2
103	которые не	1	2
104	человека как	1	2
105	его к	1	2
106	духа и	1	2
107	только в	9	2
108	в человека	3	2
109	огонь с	2	2
110	конечно не	2	2
111	уже не	6	2
112	не только	18	2
113	на этих	1	2
114	не так	4	2
115	земли и	2	2
116	не к	2	2
117	для людей	4	2
118	в существе	1	2
119	не могли	1	2
120	и никогда	3	2
121	людей не	2	2
