N	2gram	Voloshinov_1	Retstnzi
1	не может	24	4
2	и в	19	3
3	социального общения	12	2
4	общения и	5	2
5	нет и	4	1
6	социальной борьбы	1	1
7	о формах	1	1
8	в особенности	1	1
9	лучше всего	2	1
10	и не	26	1
11	тому что	2	1
12	как среды	2	1
13	не только	8	1
14	ни один	1	1
15	связи с	11	1
16	этой проблемы	4	1
17	бы на	1	1
18	себя от	2	1
19	точки зрения	34	1
20	языка как	17	1
21	так называемая	4	1
22	но и	8	1
23	и должно	1	1
24	направления абстрактного	1	1
25	не менее	4	1
26	женевская школа	1	1
27	в системе	1	1
28	с другими	3	1
29	речевых форм	1	1
30	называемая женевская	1	1
31	в школе	1	1
32	в лингвистике	4	1
33	и предварительно	1	1
34	в ней	4	1
35	школы фосслера	1	1
36	с теми	1	1
37	в то	3	1
38	с точки	20	1
39	подхода к	1	1
40	и на	4	1
41	первая часть	1	1
42	этого общения	1	1
43	для него	9	1
44	и социальной	1	1
45	в конкретном	2	1
46	мы видим	1	1
47	влияния на	1	1
48	форм становится	1	1
49	в языке	4	1
50	абстрактного объективизма	16	1
51	ситуации и	2	1
52	на нее	1	1
53	науку о	1	1
54	вопросов мы	2	1
55	к тому	2	1
56	речь и	2	1
57	фосслера и	2	1
58	а не	7	1
59	его от	1	1
60	вторая половина	1	1
61	может быть	26	1
62	при анализе	1	1
63	вполне понятно	3	1
64	в его	6	1
65	же время	3	1
66	конкретного осуществления	1	1
67	школе фосслера	1	1
68	то же	7	1
69	и все	5	1
70	из этих	2	1
71	можно назвать	1	1
72	язык как	7	1
73	если бы	2	1
74	в каждом	7	1
75	бы в	2	1
