N	4gram	Bakhtin_Pr_3	formyVre
1	в то же время	12	4
2	и в то же	5	2
3	на протяжении всего романа	2	2
4	той или иной форме	1	1
5	может быть и речи	1	1
6	мы уже говорили что	2	1
7	к себе самому и	4	1
8	и т д он	1	1
9	кто бы он ни	2	1
10	бы он ни был	3	1
11	но в конце концов	1	1
12	в той или иной	2	1
13	одного и того же	1	1
14	уст в уста в	1	1
15	в конце концов он	1	1
16	из уст в уста	1	1
17	и т п если	1	1
18	одно и то же	1	1
19	до сих пор еще	1	1
20	и вместе с тем	1	1
21	ни в чем не	2	1
22	но в то же	3	1
23	что на самом деле	1	1
24	не может быть и	1	1
25	к себе самому к	1	1
26	все более и более	1	1
27	отношение к себе самому	1	1
28	как мы уже говорили	1	1
