N	2gram	Potebnia_M_2	Istorich
1	и в	24	22
2	в этом	8	17
3	и т	6	16
4	т д	3	15
5	что в	16	15
6	не только	15	14
7	мы видели	1	13
8	и не	19	12
9	но и	9	12
10	или в	2	11
11	в этих	3	11
12	может быть	23	11
13	еще не	4	10
14	таким образом	11	10
15	но в	4	10
16	в нем	9	9
17	вместе с	11	9
18	в том	18	9
19	что и	11	9
20	что он	4	9
21	как мы	1	8
22	что они	5	8
23	с этим	7	8
24	не знаю	1	8
25	мы видим	2	8
26	том что	8	8
27	и здесь	2	7
28	там где	4	7
29	но не	12	7
30	к этому	2	7
31	то что	20	7
32	мы должны	2	7
33	уже не	4	7
34	другой стороны	2	7
35	так как	10	7
36	с другой	6	7
37	из них	5	7
38	друг друга	2	6
39	связи с	6	6
40	связь с	1	6
41	то и	9	6
42	так в	4	6
43	а в	8	6
44	что здесь	1	6
45	это не	3	6
46	в течение	1	6
47	не все	2	6
48	ничего не	1	6
49	то же	12	6
50	если бы	11	6
51	во время	4	6
52	в них	5	6
53	мы уже	1	6
54	мы можем	12	6
55	а не	18	6
56	не менее	5	5
57	к нему	1	5
58	сих пор	4	5
59	до сих	4	5
60	в некоторых	4	5
61	все же	5	5
62	на ней	3	5
63	того что	7	5
64	что она	3	5
65	этом случае	1	5
66	так что	10	5
67	или по	2	5
68	один из	2	5
69	тем не	6	5
70	могут быть	8	5
71	он не	1	5
72	не противоречит	2	5
73	есть и	1	5
74	все эти	2	4
75	одним из	1	4
76	дом и	1	4
77	для нас	31	4
78	но он	2	4
79	случаи когда	2	4
80	не в	13	4
81	его и	1	4
82	как это	2	4
83	отношение к	1	4
84	в другой	1	4
85	тем что	7	4
86	и с	1	4
87	к ней	2	4
88	а именно	1	4
89	видели что	1	4
90	они не	4	4
91	в других	4	4
92	можем предположить	1	4
93	и его	2	4
94	у нас	2	4
95	и они	2	4
96	что на	3	4
97	находится в	3	4
98	можно найти	1	4
99	связано с	2	4
100	только в	11	4
101	имеем в	1	4
102	не может	12	4
103	не всегда	1	4
104	и на	8	4
105	на этом	2	4
106	в свою	6	4
107	и как	6	3
108	почему в	1	3
109	из приведенных	1	3
110	в связи	2	3
111	очень часто	1	3
112	как и	7	3
113	на том	1	3
114	так же	2	3
115	прежде всего	7	3
116	здесь не	1	3
117	имеем и	1	3
118	и у	3	3
119	и все	3	3
120	если это	2	3
121	между прочим	4	3
122	его в	3	3
123	стороны и	1	3
124	однако что	1	3
125	но это	3	3
126	превращается в	2	3
127	потому что	49	3
128	и от	3	3
129	должны были	1	3
130	к тому	1	3
131	в его	2	3
132	некоторое время	2	3
133	из этих	4	3
134	в целом	3	3
135	ее в	1	3
136	что у	2	3
137	сказать что	2	3
138	в чем	7	3
139	некоторых случаях	2	3
140	в одной	1	3
141	никогда не	4	3
142	он видит	1	3
143	со стороны	3	3
144	однако это	1	3
145	с ними	3	3
146	у него	2	3
147	не совсем	3	3
148	далеко не	3	3
149	их в	2	3
150	при помощи	1	3
151	одном из	4	3
152	от них	3	3
153	о том	5	3
154	все что	3	3
155	его не	3	3
156	и эти	1	3
157	было бы	13	3
158	выше мы	1	3
159	не будем	1	3
160	а если	1	3
161	на нее	1	3
162	состоит в	2	3
163	могло быть	1	3
164	приходит в	1	3
165	что по	1	2
166	же можно	1	2
167	ней в	1	2
168	то мы	2	2
169	мы знаем	2	2
170	узнает что	1	2
171	но она	3	2
172	во всяком	7	2
173	его на	2	2
174	в другом	2	2
175	вопрос о	2	2
176	то не	3	2
177	образом мы	2	2
178	можно сказать	1	2
179	чем перейти	1	2
180	жизни и	1	2
181	или не	5	2
182	перейти к	1	2
183	на это	1	2
184	и для	3	2
185	никто не	1	2
186	себе в	3	2
187	в этот	1	2
188	время как	4	2
189	и действительно	1	2
190	большинстве случаев	1	2
191	не было	6	2
192	после того	2	2
193	а то	2	2
194	друг другу	1	2
195	вовсе не	9	2
196	в жизни	2	2
197	и так	1	2
198	независимо от	9	2
199	от него	4	2
200	находит что	1	2
201	но тем	3	2
202	так и	5	2
203	с тем	4	2
204	если не	4	2
205	все члены	1	2
206	но все	2	2
207	же не	1	2
208	ни в	1	2
209	в животном	2	2
210	дело с	1	2
211	знаем что	1	2
212	связанное с	1	2
213	связанных с	1	2
214	на самом	2	2
215	между тем	6	2
216	не имеют	2	2
217	хотя и	3	2
218	не с	3	2
219	не имеет	6	2
220	как в	10	2
221	одного из	1	2
222	в наших	1	2
223	что не	5	2
224	тому же	1	2
225	в самых	1	2
226	в то	6	2
227	для нее	2	2
228	в нее	4	2
229	именно так	1	2
230	и о	1	2
231	во многих	3	2
232	уже давно	1	2
233	выйти за	1	2
234	не дает	2	2
235	во все	2	2
236	относится к	3	2
237	и потому	2	2
238	всяком случае	7	2
239	и и	1	2
240	той же	3	2
241	то это	3	2
242	например в	3	2
243	на другой	2	2
244	ту же	1	2
245	образом в	4	2
246	в особенности	1	2
247	и др	1	2
248	только не	1	2
249	одной стороны	3	2
250	одна из	4	2
251	в котором	4	2
252	всех этих	2	2
253	при этом	13	2
254	есть только	6	2
255	с одной	4	2
256	в сторону	1	2
257	такой же	4	2
258	из того	1	2
259	но конечно	1	2
260	никому не	1	2
261	в одном	6	2
262	бы она	1	2
263	и что	4	2
264	с одним	1	2
265	указать на	1	2
266	то время	4	2
267	же в	5	2
268	на все	3	2
269	не видит	1	2
270	по отношению	2	2
271	и есть	2	2
272	в ней	3	2
273	в которых	1	2
274	и то	3	2
275	и уже	5	2
276	известно что	1	2
277	точно так	9	2
278	и это	2	2
279	только на	1	2
280	себе и	1	2
281	несомненно что	1	2
282	здесь может	1	2
283	и более	1	2
284	это так	1	1
285	к таким	2	1
286	только первый	1	1
287	и затем	2	1
288	его от	1	1
289	форма в	1	1
290	что каждый	1	1
291	не один	1	1
292	главным образом	4	1
293	на более	2	1
294	по их	1	1
295	друга и	1	1
296	как при	3	1
297	общего с	2	1
298	и совсем	1	1
299	на мысль	3	1
300	бы быть	3	1
301	эти отношения	1	1
302	им и	1	1
303	на себе	1	1
304	и вместе	4	1
305	которой мы	2	1
306	отчего в	1	1
307	входит в	1	1
308	тогда как	10	1
309	от всех	1	1
310	ясно и	1	1
311	смысле этого	3	1
312	ее от	1	1
313	мы и	1	1
314	с нею	2	1
315	он имеет	1	1
316	на лице	1	1
317	искать в	3	1
318	бы это	1	1
319	не говорит	1	1
