N	2gram	Nazirov_Vr_1	Marksizm
1	может быть	4	28
2	и в	8	19
3	и не	5	19
4	как бы	4	19
5	не может	2	18
6	в процессе	1	18
7	точки зрения	2	17
8	и его	3	16
9	то же	5	16
10	в этом	8	15
11	таким образом	2	14
12	связи с	3	13
13	с точки	2	13
14	не только	9	13
15	в нем	6	11
16	так и	1	10
17	и т.п	2	10
18	но и	7	10
19	том что	3	10
20	как и	6	9
21	для него	2	9
22	при этом	4	9
23	отнюдь не	2	8
24	же время	5	8
25	в то	5	8
26	с его	3	8
27	в связи	3	7
28	прежде всего	1	7
29	его в	3	7
30	в таком	1	7
31	в том	3	7
32	никогда не	2	7
33	одна из	2	7
34	но в	6	7
35	и все	7	6
36	с помощью	1	6
37	во всех	1	6
38	более того	1	6
39	между тем	5	6
40	в самом	1	6
41	– не	1	6
42	быть и	1	6
43	и как	3	6
44	в свою	2	6
45	все же	6	5
46	отношении к	1	5
47	так же	4	5
48	к нему	1	5
49	в их	1	5
50	в форме	1	5
51	в той	2	5
52	в его	3	5
53	выражение в	1	5
54	свою очередь	1	5
55	того же	1	5
56	тем более	2	5
57	к этому	3	5
58	в себе	2	4
59	бы в	1	4
60	и ее	2	4
61	и их	1	4
62	на то	3	4
63	как раз	2	4
64	того что	1	4
65	это не	4	4
66	то что	7	4
67	одного и	1	4
68	в душе	1	4
69	ничего не	1	4
70	и т.д	1	4
71	– это	6	4
72	в основном	1	4
73	что он	4	4
74	было бы	1	4
75	еще не	2	3
76	одно и	1	3
77	во всяком	1	3
78	не будет	1	3
79	не было	5	3
80	сих пор	1	3
81	его и	2	3
82	до сих	1	3
83	в своей	2	3
84	в котором	6	3
85	в ее	1	3
86	конечно в	1	3
87	с этим	1	3
88	высшей степени	1	3
89	только что	1	3
90	в этих	1	3
91	не имеет	1	3
92	в качестве	1	3
93	и лишь	1	3
94	и от	1	3
95	да и	1	3
96	в высшей	1	3
97	он не	3	3
98	в истории	4	3
99	на основе	2	3
100	той же	1	3
101	но ведь	1	3
102	в этой	2	3
103	могут быть	1	3
104	а в	2	3
105	столь же	2	3
106	о том	4	3
107	в каком	1	3
108	в ней	4	3
109	с другой	1	3
110	и то	2	3
111	и это	2	3
112	не есть	1	3
113	одним из	3	2
114	– одна	1	2
115	и с	6	2
116	место в	2	2
117	жизни и	1	2
118	что они	1	2
119	как на	1	2
120	крайней мере	1	2
121	и он	2	2
122	рядом с	2	2
123	вместе с	2	2
124	в жизни	1	2
125	что это	1	2
126	это будет	1	2
127	такое понимание	1	2
128	далеко не	3	2
129	ли это	1	2
130	ответ на	2	2
131	независимо от	1	2
132	что в	7	2
133	из него	1	2
134	отношения к	2	2
135	в начале	6	2
136	следовательно и	1	2
137	но как	2	2
138	но они	1	2
139	еще более	1	2
140	и даже	6	2
141	не с	1	2
142	они не	1	2
143	ко всем	1	2
144	и о	3	2
145	до конца	1	2
146	тому же	1	2
147	об одном	1	2
148	а с	2	2
149	всяком случае	1	2
150	тем что	3	2
151	это же	1	2
152	о чем	2	2
153	это было	1	2
154	друг друга	1	2
155	по крайней	1	2
156	он был	3	2
157	у него	5	2
158	понимание их	1	2
159	именно в	1	2
160	и у	3	2
161	себя в	1	2
162	– так	1	2
163	привела к	1	2
164	и речи	1	2
165	уже в	4	2
166	как о	1	2
167	мы знаем	2	2
168	он и	1	2
169	но не	1	2
170	в особенности	1	2
171	но для	1	2
172	в своем	3	2
173	и из	1	1
174	достоевский в	8	1
175	не могла	1	1
176	не все	1	1
177	с различными	1	1
178	но с	1	1
179	вне его	1	1
180	полемизирует с	1	1
181	и наконец	1	1
182	в него	2	1
183	в литературу	1	1
184	говорить о	1	1
185	руку и	1	1
186	именно к	1	1
187	но он	3	1
188	ее не	1	1
189	о котором	1	1
