1	в этом смысле	5	9
2	в том что	4	7
3	в то же	4	7
4	в этом отношении	1	5
5	в конце концов	7	4
6	между тем как	1	4
7	по нашему мнению	1	3
8	на самом деле	2	3
9	сами по себе	2	3
10	и в то	1	3
11	в зависимости от	1	3
12	можно было бы	2	3
13	не может быть	3	3
14	то есть в	2	3
15	но это не	1	3
16	бы то ни	2	3
17	подобно тому как	2	3
18	это и есть	2	3
19	во всяком случае	10	3
20	и в этом	3	3
21	и не может	1	2
22	что может быть	1	2
23	с самого начала	2	2
24	хотя бы и	3	2
25	то есть не	3	2
26	что она не	1	2
27	то ни было	1	2
28	но и не	2	2
29	как нам кажется	1	2
30	он может быть	1	2
31	до сих пор	4	2
32	по крайней мере	6	2
33	для того чтобы	2	2
34	нам кажется что	1	2
35	как мы уже	1	2
36	можно сказать что	3	2
37	человека но не	1	2
38	в данном случае	5	2
39	в самом деле	2	2
40	в то время	1	2
41	а в то	1	2
42	само по себе	2	2
43	с другой стороны	5	2
44	о том что	14	2
45	не потому что	1	2
46	только то что	3	2
47	заключается в том	2	2
48	и в частности	3	1
49	как будто бы	5	1
50	на первый взгляд	1	1
51	какой бы то	1	1
52	можно прямо сказать	1	1
53	так и в	1	1
54	друг к другу	2	1
55	то что в	1	1
56	перед нами в	1	1
57	ни одна из	1	1
58	не только в	2	1
59	гораздо более широкое	1	1
60	можно даже сказать	1	1
61	не совпадает с	2	1
62	и соответствующие им	1	1
63	и только в	1	1
64	то и здесь	1	1
65	и то что	7	1
66	он не может	1	1
67	того или иного	5	1
68	во всех проявлениях	1	1
69	сразу и одновременно	1	1
70	что бы то	1	1
71	то и другое	1	1
72	но для нас	1	1
73	то ни стало	1	1
74	как раз и	4	1
75	и не только	1	1
76	то есть он	1	1
77	это слово в	1	1
78	единое и цельное	1	1
79	может быть и	2	1
80	том что это	1	1
81	и как можно	1	1
82	не тем что	1	1
83	то есть вполне	1	1
84	же как и	1	1
85	конце концов не	1	1
86	да и не	1	1
87	не будет и	1	1
88	есть только в	1	1
89	с самим собою	1	1
90	имеет значение только	1	1
91	тот же самый	1	1
92	то время как	1	1
93	обычном смысле слова	1	1
94	но в них	1	1
95	и уже тем	1	1
96	то есть только	2	1
97	ведь если бы	1	1
98	то же самое	5	1
99	как таковой и	1	1
100	может претендовать на	1	1
101	всяком случае не	2	1
102	есть то что	2	1
103	точно так же	3	1
104	прямо сказать что	1	1
105	то есть без	1	1
106	в известном смысле	1	1
107	так же как	1	1
108	но даже в	1	1
109	в этих условиях	1	1
110	которая как раз	1	1
111	во что бы	1	1
112	а в том	1	1
113	но все же	1	1
114	себе и в	2	1
115	та или иная	2	1
116	того что в	1	1
117	уже тем самым	3	1
118	или может быть	1	1
119	из этих работ	1	1
120	в себе в	2	1
121	мы не можем	1	1
122	и есть то	2	1
123	можно говорить о	2	1
124	не отличается от	1	1
125	в обычном смысле	1	1
126	это прежде всего	1	1
127	потому что не	1	1
128	может быть только	2	1
129	в одно время	1	1
130	что в нем	1	1
131	того что он	1	1
132	тем что он	1	1
133	ничем не отличается	2	1
134	то есть они	1	1
135	а вовсе не	1	1
136	и входит в	1	1
137	при этом условии	1	1
138	для литературоведа и	1	1
139	не только не	2	1
140	но при условии	1	1
141	не существовало бы	1	1
