N	3gram	Tiupa_Hudo_1	Mirosoze
1	не может быть	3	17
2	и в этой	1	4
3	это и есть	1	4
4	заключает в себе	1	3
5	и в самом	1	3
6	прежде всего в	1	2
7	по отношению к	9	2
8	что он не	1	2
9	но он не	2	2
10	не могут быть	1	2
11	в то время	1	2
12	для того чтобы	2	2
13	он не только	1	2
14	что иное как	1	1
15	точки зрения у	1	1
16	имеем в виду	3	1
17	в себе самом	1	1
18	ивана карамазова в	1	1
19	если он не	1	1
20	так и не	4	1
21	может быть назван	1	1
22	у достоевского в	1	1
23	он мог бы	1	1
24	не все человеческие	1	1
25	том случае если	1	1
26	в иных случаях	1	1
27	в отличие от	7	1
28	жизни не в	1	1
29	он обращен к	1	1
30	но во всех	2	1
31	он ни был	1	1
32	в том случае	1	1
33	может быть и	2	1
34	не несет в	1	1
35	что в основе	2	1
36	и не быть	1	1
37	отношению к нему	1	1
38	в значительной степени	1	1
39	и по отношению	1	1
40	несет в себе	2	1
41	как бы в	1	1
42	в отношении к	1	1
43	как бы не	1	1
44	и в том	1	1
45	к нему как	1	1
46	и состоит чтобы	1	1
47	жизни а не	1	1
48	мы имеем в	3	1
49	о том что	1	1
50	но не в	1	1
51	не что иное	1	1
52	в себе в	1	1
53	в том что	7	1
54	добро и зло	1	1
55	он не принадлежит	1	1
