N	2gram	Vinokur_Ku_2	Formalny
1	и в	23	38
2	в этом	18	27
3	т е	22	26
4	может быть	15	23
5	и его	3	21
6	и пр	8	21
7	таким образом	5	20
8	и не	16	20
9	в самом	12	16
10	не в	8	15
11	прежде всего	8	15
12	и т	39	14
13	не может	9	14
14	в нем	4	13
15	связи с	3	13
16	но и	7	13
17	в пределах	4	12
18	языка и	8	12
19	в поэзии	1	12
20	с его	1	11
21	с тем	2	11
22	в том	19	11
23	языка как	2	11
24	вовсе не	9	11
25	заумный язык	1	11
26	в его	5	10
27	в связи	4	10
28	с помощью	7	10
29	не только	20	9
30	при этом	2	9
31	и с	7	9
32	как и	2	9
33	языка в	3	9
34	т п	24	9
35	на почве	1	9
36	в процессе	3	9
37	самом деле	9	8
38	отнюдь не	4	8
39	все же	7	8
40	точки зрения	14	8
41	так и	4	8
42	что и	3	8
43	тем что	3	8
44	как мы	3	7
45	в корне	2	7
46	лишь в	5	7
47	по себе	10	7
48	для него	1	7
49	в своей	2	7
50	с точки	8	7
51	язык и	2	7
52	уже не	8	7
53	этом отношении	3	7
54	в других	1	7
55	не могут	5	7
56	по существу	5	7
57	слова и	5	7
58	что в	10	7
59	литературный язык	2	6
60	в ней	3	6
61	все эти	12	6
62	в этой	6	6
63	то же	6	6
64	было бы	15	6
65	он не	3	6
66	в их	2	6
67	могут быть	4	6
68	в языке	10	6
69	только в	5	6
70	первый период	2	6
71	как такового	1	6
72	то что	9	6
73	не было	4	6
74	вместе с	5	6
75	а не	10	6
76	как раз	3	6
77	в результате	4	6
78	хотя бы	9	6
79	а в	3	6
80	это и	3	5
81	по преимуществу	2	5
82	должна быть	5	5
83	в первый	3	5
84	говорить о	4	5
85	всего этого	1	5
86	в общем	1	5
87	т д	14	5
88	язык по	1	5
89	в слове	1	5
90	в то	4	5
91	же время	3	5
92	если бы	12	5
93	сводится к	3	5
94	и только	1	5
95	что он	5	5
96	всяком случае	5	5
97	если мы	4	5
98	именно в	3	5
99	с этим	3	5
100	что же	5	5
101	более того	1	5
102	и для	2	5
103	бы в	1	5
104	или иного	2	5
105	во всяком	5	5
106	в сущности	9	4
107	что оно	3	4
108	что они	2	4
109	независимо от	1	4
110	как в	3	4
111	и к	1	4
112	не следует	5	4
113	в статье	3	4
114	не как	2	4
115	его от	1	4
116	мы видели	2	4
117	ничего не	4	4
118	к тому	4	4
119	здесь не	3	4
120	языке как	3	4
121	того или	2	4
122	но в	11	4
123	чем он	1	4
124	в большинстве	1	4
125	что не	6	4
126	за счет	2	4
127	так как	15	4
128	даже и	2	4
129	в особенности	4	4
130	и даже	2	4
131	другой стороны	7	4
132	там где	5	4
133	пр и	1	4
134	на фоне	3	4
135	мы говорим	2	4
136	вот как	1	4
137	как бы	4	4
138	элементы языка	1	4
139	лишь как	1	4
140	совершенно не	3	4
141	оно не	2	4
142	к этому	4	4
143	они не	1	4
144	же как	2	3
145	сам по	1	3
146	тем же	2	3
147	и до	2	3
148	в зависимости	4	3
149	а как	1	3
150	мы не	1	3
151	зависимости от	5	3
152	и на	6	3
153	материалом для	2	3
154	как к	1	3
155	однако не	4	3
156	хотя и	4	3
157	и как	1	3
158	от этого	2	3
159	не приходится	1	3
160	что это	7	3
161	в целом	1	3
162	из этих	1	3
163	но ведь	1	3
164	языка к	1	3
165	роль в	2	3
166	всех этих	3	3
167	значительной степени	1	3
168	главным образом	3	3
169	литературного языка	1	3
170	он и	2	3
171	такой же	1	3
172	следует что	3	3
173	место в	1	3
174	однако и	2	3
175	поэтическое произведение	1	3
176	языка который	1	3
177	в области	11	3
178	но все	4	3
179	с проблемой	1	3
180	не есть	1	3
181	того чтобы	11	3
182	так в	3	3
183	все дело	2	3
184	и здесь	5	3
185	одного из	2	3
186	в значительной	1	3
187	пр но	2	3
188	к нему	2	3
189	того что	3	3
190	в какой	1	3
191	именно на	1	3
192	то и	3	3
193	большинстве случаев	2	3
194	мы знаем	4	3
195	и их	1	3
196	слова в	6	3
197	для того	9	3
198	о каком	1	3
199	чтобы показать	1	3
200	с другой	8	3
201	и прежде	1	3
202	и др	1	3
203	не то	2	3
204	речи и	5	3
205	о возможности	2	3
206	как элементы	1	3
207	том смысле	1	3
208	быть и	1	3
209	все это	5	3
210	на самом	2	3
211	или в	4	3
212	и все	2	3
213	была бы	4	3
214	второй период	1	2
215	вряд ли	4	2
216	можно говорить	2	2
217	еще можно	1	2
218	в такой	1	2
219	и то	5	2
220	дело обстоит	1	2
221	идет о	1	2
222	едва ли	1	2
223	совпадает с	1	2
224	е как	1	2
225	этого термина	2	2
226	это время	1	2
227	от всей	1	2
