N	2gram	Tiupa_Narr_1	UchenyiS
1	и в	19	14
2	а не	12	10
3	не только	32	10
4	прежде всего	4	8
5	и не	20	8
6	не может	10	7
7	в этом	17	7
8	то что	11	7
9	может быть	25	6
10	то же	4	5
11	и только	2	5
12	в художественном	1	5
13	хотя бы	4	5
14	с другой	8	4
15	но и	23	4
16	в их	1	4
17	в конечном	3	4
18	в россии	1	4
19	конечном счете	2	4
20	в этой	5	4
21	то ни	3	3
22	и то	1	3
23	это не	2	3
24	было бы	4	3
25	как и	7	3
26	в частности	14	3
27	и т.д	7	3
28	бы то	3	3
29	очевидно что	1	3
30	и формы	1	3
31	в то	3	3
32	все же	7	3
33	но в	6	3
34	формы в	1	3
35	же время	4	3
36	в области	2	3
37	у нас	1	3
38	другой стороны	4	3
39	для него	2	3
40	не как	2	3
41	ни было	3	3
42	не о	3	3
43	как такового	1	3
44	что все	1	2
45	крайней мере	1	2
46	же не	4	2
47	именно как	1	2
48	одним из	2	2
49	и с	4	2
50	и через	1	2
51	до сих	1	2
52	а как	1	2
53	это было	1	2
54	самом деле	2	2
55	должна быть	2	2
56	мы не	1	2
57	о чем	2	2
58	является в	1	2
59	если бы	1	2
60	что мы	2	2
61	ничего не	2	2
62	как таковой	1	2
63	не столько	4	2
64	если не	4	2
65	том что	14	2
66	на первый	2	2
67	сводится к	3	2
68	мы и	1	2
69	меньшей степени	1	2
70	надо было	1	2
71	нам представляется	1	2
72	нас в	1	2
73	с его	6	2
74	но не	5	2
75	в противовес	4	2
76	не все	5	2
77	в его	9	2
78	по крайней	1	2
79	по существу	2	2
80	что и	1	2
81	по себе	5	2
82	сих пор	1	2
83	по композиции	1	2
84	но это	1	2
85	этом смысле	1	2
86	могли бы	1	2
87	в том	18	2
88	тех или	1	2
89	и для	2	2
90	что он	6	2
91	в себе	8	2
92	искусства как	1	2
93	в самом	1	2
94	между тем	3	2
95	и у	1	2
96	только в	4	2
97	не в	14	2
98	и является	1	2
99	в системе	1	2
100	не есть	3	2
101	этом отношении	3	2
102	или иных	1	2
103	его и	1	2
104	представляется нам	1	2
105	не могут	1	2
106	могут быть	3	2
107	в конце	1	2
108	а о	1	2
109	же самое	1	2
110	не случайно	2	2
111	как раз	2	2
112	тем что	3	2
113	таким образом	1	2
114	для себя	1	1
115	в последние	2	1
116	литературы а	1	1
117	об этом	1	1
118	же как	3	1
119	эта позиция	1	1
120	но по	1	1
121	даже не	3	1
122	то есть	19	1
123	в виду	1	1
124	сам по	1	1
125	входит в	1	1
126	первую очередь	1	1
127	данном случае	4	1
128	или иначе	3	1
129	для читателя	1	1
130	и прежде	1	1
131	и быть	1	1
132	было и	1	1
133	в произведении	3	1
134	идет не	1	1
135	в пределах	2	1
136	и др	2	1
137	некую систему	1	1
138	она все	1	1
139	слова а	1	1
140	никогда не	3	1
141	так и	9	1
142	по его	1	1
143	одной стороны	7	1
144	достоевского и	1	1
145	не меньшей	1	1
146	столько же	1	1
147	говорил в	1	1
148	часто бывает	1	1
149	мы имеем	2	1
150	сдвиг в	1	1
151	детали как	1	1
152	в не	1	1
153	как целого	1	1
154	об ее	1	1
155	и даже	3	1
156	любопытно что	1	1
157	иначе говоря	6	1
158	можно сказать	5	1
159	или менее	2	1
160	никогда и	1	1
161	о нем	4	1
162	сводятся к	1	1
163	тех кто	1	1
164	приводит к	2	1
165	о том	6	1
166	историю в	1	1
167	в ней	3	1
168	и потому	2	1
169	в котором	1	1
170	героя не	1	1
171	свой опыт	1	1
172	вспять к	1	1
173	все и	1	1
174	в различных	1	1
175	из которых	4	1
176	в значительной	2	1
177	для первого	1	1
178	признать что	1	1
179	строго говоря	1	1
180	в той	6	1
181	ее к	1	1
182	он может	1	1
183	для изучения	1	1
184	а.н веселовского	1	1
185	в данном	5	1
186	не то	2	1
187	не входит	1	1
188	того что	1	1
189	для второго	1	1
190	в которых	1	1
191	образом на	1	1
192	их в	1	1
193	произведения в	1	1
194	друг с	1	1
195	на его	1	1
196	ней не	1	1
197	тому чтобы	1	1
198	что этот	1	1
199	нет и	2	1
200	быть не	1	1
201	определяется не	1	1
202	к изучению	1	1
203	его как	2	1
204	отнюдь не	5	1
205	она не	2	1
206	еще раз	1	1
207	первый взгляд	2	1
208	представляется не	1	1
209	полагая что	1	1
210	независимо от	2	1
211	впрочем не	1	1
212	поэтика и	1	1
213	восемь лет	1	1
214	в своем	2	1
215	как нам	1	1
216	и все	2	1
217	тот же	1	1
218	более или	2	1
219	как таковое	1	1
220	поэтикой и	1	1
221	не существует	3	1
222	которое мы	1	1
223	присущей ему	1	1
224	всего лишь	2	1
225	он уже	2	1
226	в ноги	1	1
227	почему в	1	1
228	т.д в	1	1
229	на большую	1	1
230	о котором	1	1
231	это то	1	1
232	не было	2	1
233	так или	2	1
234	это же	1	1
235	с одной	7	1
236	с которыми	1	1
237	в качестве	21	1
238	но именно	1	1
239	тем более	2	1
240	в известном	2	1
241	начала и	1	1
242	что по	2	1
243	этого построения	1	1
244	уже не	5	1
245	далеко не	5	1
246	но также	1	1
247	то и	1	1
248	претендует на	1	1
249	же в	4	1
250	и формального	1	1
251	в процессе	1	1
252	быть по	1	1
253	только одним	1	1
254	что было	1	1
255	в нем	4	1
256	на роль	1	1
257	или даже	2	1
258	с другом	1	1
259	он не	3	1
260	где бы	1	1
261	сказать что	4	1
262	они в	2	1
263	очень часто	1	1
264	одно из	2	1
265	в первую	1	1
266	данного произведения	1	1
267	он и	1	1
268	думает о	1	1
269	в свое	1	1
270	может служить	1	1
271	но он	1	1
272	у него	4	1
273	само по	1	1
274	мы можем	1	1
275	ориентация на	1	1
276	и делает	1	1
277	и эта	1	1
278	что в	3	1
279	в таком	2	1
280	от которой	1	1
