N	2gram	Propp_Morf_1	KulturaY
1	т е	21	38
2	и т	41	33
3	в том	6	30
4	и в	13	24
5	потому что	3	23
6	том что	4	21
7	что в	8	17
8	того чтобы	3	17
9	для того	2	16
10	было бы	3	15
11	и пр	37	15
12	в этом	14	14
13	т д	39	14
14	точки зрения	2	14
15	может быть	52	13
16	все же	7	12
17	таким образом	21	12
18	и не	12	12
19	в его	1	12
20	не в	3	11
21	только в	2	11
22	хотя бы	4	10
23	не только	4	10
24	в силу	1	10
25	у нас	2	10
26	вовсе не	4	10
27	самом деле	4	9
28	с точки	2	9
29	так как	16	9
30	если бы	2	9
31	о том	2	9
32	того что	3	9
33	отношению к	4	9
34	прежде всего	9	9
35	то что	8	9
36	по отношению	4	8
37	уже не	2	8
38	то же	7	8
39	тем что	4	8
40	как раз	1	8
41	а не	11	8
42	не может	14	7
43	это не	6	7
44	в них	1	7
45	не менее	5	7
46	связи с	10	7
47	в области	1	7
48	так и	6	7
49	в качестве	5	7
50	с другой	8	7
51	с помощью	1	7
52	как бы	3	7
53	мы имеем	9	6
54	в которой	3	6
55	все эти	2	6
56	при этом	1	6
57	в которых	2	6
58	можно было	2	6
59	язык есть	1	6
60	что он	4	6
61	в какой	3	6
62	но и	4	6
63	что же	2	6
64	другой стороны	4	6
65	что такое	3	6
66	например в	2	5
67	еще не	3	5
68	но не	4	5
69	что это	1	5
70	и с	1	5
71	с тем	2	5
72	и его	1	5
73	не потому	1	5
74	к тому	4	5
75	в виду	1	5
76	и что	2	5
77	между тем	5	5
78	а потому	1	5
79	еще и	1	5
80	всяком случае	2	5
81	что не	1	5
82	в той	1	5
83	в результате	7	5
84	целый ряд	3	5
85	этом отношении	1	5
86	а в	7	5
87	во всяком	2	5
88	это и	2	4
89	что эти	2	4
90	и на	1	4
91	с его	2	4
92	что они	2	4
93	в рамках	1	4
94	как в	3	4
95	в целом	3	4
96	из этих	1	4
97	учение о	3	4
98	на то	2	4
99	русском языке	1	4
100	же касается	1	4
101	того или	1	4
102	в данном	1	4
103	и тогда	1	4
104	тем не	5	4
105	стоит в	1	4
106	в таких	2	4
107	того как	2	4
108	иными словами	1	4
109	в пределах	3	4
110	не на	2	4
111	что и	7	4
112	с ними	1	4
113	так что	1	4
114	не есть	1	4
115	из них	3	4
116	со стороны	3	4
117	до сих	1	4
118	там где	5	4
119	в частности	2	4
120	с этим	11	4
121	в тех	6	4
122	по существу	12	4
123	сих пор	1	4
124	один из	5	4
125	указать на	1	4
126	же в	2	4
127	в этих	13	4
128	так же	3	4
129	и то	1	3
130	в первом	3	3
131	в сущности	3	3
132	то это	3	3
133	с большим	1	3
134	то мы	4	3
135	в связи	9	3
136	хотя и	3	3
137	более или	2	3
138	что так	1	3
139	в этой	2	3
140	в себе	1	3
141	на его	4	3
142	должна быть	1	3
143	состоит в	2	3
144	что она	2	3
145	и может	1	3
146	несмотря на	4	3
147	должно быть	1	3
148	нисколько не	1	3
149	или менее	2	3
150	в г	1	3
151	даже в	1	3
152	тому что	4	3
153	а а	2	3
154	только и	1	3
155	оно не	2	3
156	здесь не	2	3
157	не с	2	3
158	ясно что	5	3
159	том как	1	3
160	и здесь	5	3
161	можно сказать	2	3
162	мы увидим	8	3
163	в одном	1	3
164	в особенности	1	3
165	и даже	1	3
166	а с	2	3
167	если не	1	3
168	как это	3	3
169	а если	4	3
170	как на	1	3
171	в таком	1	3
172	они не	1	3
173	можно говорить	1	2
174	одним из	1	2
175	также и	4	2
176	и есть	2	2
177	очень много	1	2
178	как то	2	2
179	один пример	1	2
180	которое в	1	2
181	в числе	2	2
182	быть заменено	1	2
183	что его	2	2
184	иных случаях	2	2
185	на самом	4	2
186	значение и	1	2
187	не все	6	2
188	если в	5	2
189	тогда как	2	2
190	что касается	1	2
191	тех случаях	2	2
192	могли бы	1	2
193	и как	5	2
194	увидим что	1	2
195	но в	2	2
196	и говорит	1	2
197	формы в	1	2
198	теперь несколько	1	2
199	же из	1	2
200	во многих	1	2
201	но ведь	1	2
202	больше всего	1	2
203	он не	3	2
204	как с	1	2
205	так например	3	2
206	но все	3	2
207	в каждом	1	2
208	как они	1	2
209	в состоянии	1	2
210	образом если	1	2
211	здесь только	1	2
212	связанная с	1	2
213	и тем	2	2
214	ни в	1	2
215	этого не	2	2
216	как и	3	2
217	между собою	2	2
218	как таковой	2	2
219	убедиться что	1	2
220	и становится	1	2
221	но если	7	2
222	и при	1	2
223	в своей	1	2
224	не столько	1	2
225	вопрос о	7	2
226	втором случае	1	2
227	и более	1	2
228	можно ли	1	2
229	что с	1	2
