N	3gram	Medvedev_U_1	Dialekti
1	по крайней мере	2	9
2	в том что	2	6
3	и не только	1	5
4	то же время	3	4
5	с другой стороны	3	4
6	в самом деле	2	3
7	в то же	3	3
8	сам по себе	1	3
9	не может быть	4	3
10	можно сказать что	1	3
11	может быть в	1	3
12	более или менее	1	2
13	до сих пор	2	2
14	и в частности	2	2
15	в данном случае	1	2
16	не только в	1	2
17	не могут быть	2	2
18	или по крайней	1	2
19	так или иначе	1	2
20	в широком смысле	1	2
21	само по себе	1	2
22	но это не	1	2
23	и прежде всего	1	2
24	то же самое	2	2
25	том что она	1	1
26	все что угодно	1	1
27	и то что	2	1
28	это было бы	1	1
29	равно как и	1	1
30	большей или меньшей	1	1
31	в этом смысле	2	1
32	должно быть по	1	1
33	и в то	1	1
34	бы то ни	3	1
35	в этом отношении	2	1
36	но что такое	1	1
37	говорить не о	1	1
38	не в том	1	1
39	на своем месте	1	1
40	с одной стороны	1	1
41	на первый взгляд	1	1
42	в конце концов	2	1
43	и в этой	2	1
44	все же не	1	1
45	а это уже	1	1
46	а не только	1	1
47	друг с другом	1	1
48	и независимо от	1	1
49	но даже и	2	1
50	это не только	1	1
51	в отдельности и	1	1
