N	2gram	Berdyaev_V_1	Istorich
1	и в	16	26
2	так как	9	18
3	никогда не	3	13
4	потому что	4	13
5	и на	1	12
6	в этом	4	12
7	в том	3	12
8	что в	3	12
9	может быть	1	11
10	связь с	1	11
11	и т	2	10
12	не только	2	10
13	том что	2	10
14	в образе	4	10
15	с другой	1	10
16	и не	20	10
17	еще не	8	9
18	что он	4	9
19	но и	5	9
20	и это	2	8
21	все эти	3	8
22	все же	1	8
23	в нем	4	8
24	т д	2	8
25	на том	2	8
26	с ним	2	8
27	вместе с	1	8
28	другой стороны	1	8
29	но в	3	7
30	уже не	2	7
31	у него	1	7
32	превращается в	3	7
33	мы не	2	6
34	как в	1	6
35	и с	1	6
36	в виде	1	6
37	то что	9	6
38	ее в	2	6
39	то же	1	5
40	в ней	4	5
41	не будет	2	5
42	как и	4	5
43	и что	3	5
44	то это	3	5
45	так и	4	5
46	в его	4	5
47	мы видим	1	5
48	только в	2	5
49	тем что	2	5
50	у нас	1	5
51	как это	1	5
52	как мы	1	4
53	с его	3	4
54	что оно	1	4
55	но как	1	4
56	царства и	1	4
57	под землей	1	4
58	на земле	7	4
59	и по	1	4
60	это не	2	4
61	и тем	1	4
62	с тем	2	4
63	не всегда	1	4
64	том свете	1	4
65	что и	3	4
66	прежде всего	2	4
67	как бы	5	4
68	у них	1	4
69	но это	3	4
70	есть и	1	4
71	все что	4	4
72	и то	2	3
73	должна быть	3	3
74	это еще	4	3
75	ее к	1	3
76	и вот	1	3
77	в них	3	3
78	в своей	3	3
79	таким же	1	3
80	и ее	1	3
81	в одном	1	3
82	не в	3	3
83	их в	3	3
84	она не	1	3
85	на котором	1	3
86	того как	1	3
87	могут быть	2	3
88	вот почему	2	3
89	его с	1	3
90	меня в	1	3
91	и другие	1	3
92	если они	1	3
93	от него	2	3
94	один из	2	3
95	от этого	3	3
96	не было	3	3
97	и от	1	3
98	вопрос о	1	3
99	а в	2	3
100	и эта	1	3
101	является и	1	3
102	в своих	1	3
103	к этому	1	3
104	они не	1	3
105	он был	1	2
106	но не	2	2
107	тогда как	1	2
108	в своем	1	2
109	и хотя	1	2
110	что это	1	2
111	в этой	1	2
112	и они	3	2
113	то и	1	2
114	и до	1	2
115	так часто	1	2
116	людей и	2	2
117	с этой	1	2
118	можно было	2	2
119	но все	1	2
120	человека в	1	2
121	его не	2	2
122	живет в	1	2
123	ни в	3	2
124	тех которые	3	2
125	вовсе не	1	2
126	а потом	1	2
127	земли и	2	2
128	в которых	1	2
129	есть еще	1	2
130	и другое	1	2
131	не имеет	3	2
132	одна из	2	2
133	на него	1	2
134	это мы	2	2
135	в руки	1	2
136	ее на	1	2
137	зависимости от	1	2
138	к тому	3	2
139	и сам	2	2
140	когда в	2	2
141	ничего не	1	2
142	но мы	2	2
143	после того	1	2
144	в форме	2	2
145	в лице	1	2
146	того что	5	2
147	людей а	1	2
148	самого себя	2	2
149	не будут	1	2
150	не так	2	2
151	что они	7	2
152	близок к	1	2
153	а с	2	2
154	что не	4	2
155	а не	7	2
156	о чем	1	2
157	в одно	1	2
158	него в	1	2
159	так же	1	2
160	что мы	4	2
161	мира и	1	2
162	для нас	2	2
163	в этих	3	2
164	но вот	1	2
165	не есть	6	2
166	с ними	1	2
167	в последнем	2	2
168	жизни и	3	2
169	во всяком	2	2
170	речь идет	1	1
171	любовь не	2	1
172	и есть	4	1
173	этого мира	3	1
174	его связь	1	1
175	есть не	1	1
176	превратились в	2	1
177	но она	1	1
178	еще с	1	1
179	живет дух	1	1
180	же что	1	1
181	по этому	3	1
182	не имел	2	1
183	не создает	2	1
184	во всех	3	1
185	природы и	1	1
186	так для	2	1
187	высокие горы	2	1
188	такой силой	1	1
189	не просто	1	1
190	которые не	2	1
191	ты дал	1	1
192	в истории	8	1
193	более чем	2	1
194	оторванное от	1	1
195	и нет	1	1
196	есть что-то	1	1
197	им в	1	1
198	хотя и	5	1
199	его к	2	1
200	в целом	1	1
201	и если	1	1
202	не имеют	1	1
203	ее и	2	1
204	и сказал	1	1
205	чтобы овладеть	2	1
206	он так	1	1
207	бога и	5	1
208	на этом	1	1
209	это значит	1	1
210	что все	4	1
211	в мире	5	1
212	то есть	1	1
213	которого не	1	1
214	и должна	1	1
215	земного и	4	1
216	в жизни	3	1
217	с богом	4	1
218	духа в	1	1
219	люди не	2	1
220	она и	1	1
221	от источника	1	1
222	идея эта	1	1
223	когда я	2	1
224	яснее в	1	1
225	с такой	1	1
226	их на	1	1
227	искать в	1	1
228	их сознания	1	1
229	за которым	1	1
230	в котором	4	1
231	что я	3	1
232	и новые	2	1
233	а есть	2	1
234	все это	5	1
235	и очень	1	1
236	что есть	5	1
237	можно ли	1	1
238	не случайно	1	1
239	того чтобы	2	1
240	небом и	1	1
241	нам могут	1	1
242	есть уже	2	1
243	под этим	2	1
244	этом мире	1	1
245	пути и	1	1
246	как она	1	1
247	государство в	1	1
248	он превращается	1	1
249	что на	1	1
250	над ним	1	1
251	вот в	1	1
252	нас но	1	1
253	не могут	2	1
254	указать на	1	1
255	кто же	1	1
256	бы ни	1	1
257	небо это	1	1
258	этом нет	1	1
259	тому что	3	1
260	о государстве	1	1
261	в ее	1	1
262	на вершине	1	1
263	людей он	3	1
264	тысячи лет	1	1
265	не с	2	1
266	всех частей	1	1
267	нам уже	1	1
268	это только	1	1
269	что от	2	1
270	превратившись в	1	1
271	нас и	3	1
272	находится в	1	1
273	теперь и	1	1
274	нет у	4	1
275	того света	1	1
276	к нему	1	1
277	между тем	2	1
278	и можно	1	1
279	сложное и	1	1
280	и сделалась	1	1
281	с которыми	1	1
282	от которого	3	1
283	но с	1	1
284	идет по	1	1
285	ли он	1	1
286	уже и	1	1
287	те которые	2	1
288	бога по	1	1
289	их не	1	1
290	от них	1	1
291	мире и	1	1
292	же и	1	1
293	и современная	1	1
294	его совесть	1	1
295	уже в	1	1
296	для людей	2	1
297	часто он	1	1
298	или даже	1	1
299	его и	2	1
300	и царства	1	1
301	для него	2	1
302	жил и	1	1
303	отношение к	1	1
304	к ним	1	1
305	но что	1	1
306	и никогда	2	1
307	они будут	4	1
308	и вместе	1	1
309	для того	1	1
310	человека что	1	1
311	все новые	1	1
312	что тот	1	1
313	я был	1	1
314	все царства	2	1
315	о своем	1	1
316	еще и	1	1
317	с небом	1	1
318	на которых	1	1
319	от труда	1	1
320	их к	1	1
321	он говорит	1	1
322	если оно	1	1
323	пути в	1	1
324	в мир	1	1
325	этого слова	1	1
326	их было	1	1
327	думают что	1	1
328	неба и	1	1
329	только мы	1	1
330	и для	3	1
331	не существует	1	1
332	ее но	1	1
333	он за	1	1
334	этих трех	3	1
335	бы в	1	1
336	и могли	1	1
337	будто бы	1	1
338	давно уже	2	1
339	ты не	5	1
340	может и	1	1
341	хотели бы	1	1
342	оно не	3	1
343	только свое	1	1
344	и царство	1	1
345	а того	1	1
346	это в	1	1
347	в противоположность	1	1
348	полетел в	1	1
349	и вновь	1	1
