N	2gram	Vinokur_St_2	BTomashe
1	у нас	3	3
2	и не	9	2
3	в ней	7	2
4	можно было	1	2
5	больше чем	1	2
6	все это	11	2
7	не то	3	2
8	говорить о	1	1
9	основное значение	1	1
10	во всяком	3	1
11	по нашему	1	1
12	с другой	4	1
13	вопрос о	6	1
14	совершенно не	2	1
15	в своей	7	1
16	остановиться на	1	1
17	между ними	1	1
18	всяком случае	3	1
19	чтобы можно	1	1
20	и о	4	1
21	в области	2	1
22	до конца	3	1
23	не укладывается	1	1
24	не вполне	1	1
25	в эпоху	1	1
26	и в	29	1
27	будто бы	1	1
28	так и	9	1
29	за пределы	1	1
30	стиля и	1	1
31	не о	1	1
32	их что	2	1
33	об этом	6	1
34	неудивительно что	3	1
35	что все	1	1
36	не было	3	1
37	и во	1	1
38	кроме того	4	1
39	было бы	5	1
40	не признать	1	1
41	одной из	3	1
42	бы только	1	1
43	и потому	2	1
44	в пределах	1	1
45	в значительной	2	1
46	никак не	2	1
47	и исторической	1	1
48	все же	6	1
49	его не	3	1
50	о них	1	1
51	в книге	1	1
52	целиком в	1	1
53	и более	2	1
54	прежде всего	5	1
55	что в	19	1
56	таким образом	10	1
57	к ней	1	1
58	еще не	1	1
59	как будто	1	1
60	в речи	4	1
61	не только	19	1
62	в данном	2	1
63	не следует	1	1
64	и на	6	1
65	на самом	3	1
66	другой стороны	3	1
67	нельзя не	3	1
68	значительной степени	2	1
69	а не	5	1
