N	4gram	Losev_Dial_1	Marksizm
1	в то же время	4	8
2	но в то же	1	5
3	на самом же деле	1	3
4	одно и то же	4	3
5	с одной стороны и	2	2
6	с точки зрения самого	2	2
7	ни в коем случае	1	2
8	никогда не может быть	1	1
9	лишь с точки зрения	1	1
10	дело в том что	1	1
11	между внутренним и внешним	1	1
12	не было бы в	1	1
13	если бы это было	1	1
14	так а не иначе	1	1
15	на самом деле ничего	1	1
16	в коем случае не	1	1
17	ни в какой мере	1	1
18	не с точки зрения	2	1
19	не что иное как	1	1
20	с той или иной	1	1
21	это было так то	1	1
22	мы можем сказать что	2	1
23	лежащая в основе всех	1	1
24	самом деле ничего не	1	1
25	в какой мере не	1	1
26	несмотря на то что	2	1
