N	2gram	Vygotskiy__5	BTomashe
1	у нас	2	3
2	и не	12	2
3	больше чем	3	2
4	все это	2	2
5	в ней	2	2
6	можно было	5	2
7	не то	4	2
8	за пределы	4	1
9	тем более	4	1
10	говорить о	3	1
11	об этом	1	1
12	и в	16	1
13	и о	1	1
14	в речи	1	1
15	функцией в	1	1
16	к ней	1	1
17	что все	6	1
18	с другой	4	1
19	в своей	2	1
20	на самом	1	1
21	систематизации и	1	1
22	как будто	2	1
23	сейчас в	1	1
24	было бы	10	1
25	все же	3	1
26	всяком случае	1	1
27	кроме того	1	1
28	никак не	3	1
29	между ними	1	1
30	меньше чем	1	1
31	еще не	4	1
32	только более	1	1
33	и на	6	1
34	в пределах	4	1
35	представляется нам	1	1
36	по нашему	1	1
37	только одной	1	1
38	одной из	3	1
39	должна быть	5	1
40	прежде всего	3	1
41	в данном	1	1
42	и во	1	1
43	так и	7	1
44	не было	1	1
45	то как	3	1
46	является только	1	1
47	как часть	1	1
48	совершенно не	2	1
49	нашему мнению	1	1
50	чтобы можно	1	1
51	до конца	3	1
52	а не	10	1
53	в научном	3	1
54	что в	16	1
55	в области	12	1
56	другой стороны	2	1
57	и ее	1	1
58	чем на	1	1
59	таким образом	19	1
60	вопрос о	12	1
61	и более	3	1
62	и потому	2	1
63	не только	16	1
64	значительной степени	1	1
65	во всяком	2	1
