N	3gram	Medvedev_V_1	Problemy
1	и т п	9	9
2	до сих пор	1	7
3	по отношению к	7	5
4	то же время	5	5
5	в то же	5	5
6	и не может	2	4
7	как и все	1	4
8	сама по себе	1	4
9	не может быть	8	4
10	в самом деле	1	4
11	и т д	14	4
12	в той или	1	3
13	более или менее	6	3
14	можно было бы	2	3
15	к тому же	1	3
16	с другой стороны	8	3
17	но в то	1	3
18	той или иной	1	3
19	хотя и не	1	2
20	в художественном творчестве	5	2
21	в этом смысле	1	2
22	он сам по	1	2
23	это вовсе не	1	2
24	в письме к	8	2
25	на этот вопрос	1	2
26	как если бы	1	2
27	может быть и	1	2
28	в том или	1	2
29	в конце концов	2	2
30	и то же	1	2
31	то время как	1	2
32	одно и то	1	2
33	о том же	3	2
34	в то время	1	2
35	никогда не может	1	2
36	о том как	3	1
37	если бы он	1	1
38	а между тем	1	1
39	то это вовсе	1	1
40	по существу своему	1	1
41	иметь в виду	2	1
42	в виду что	1	1
43	большей или меньшей	3	1
44	также и в	2	1
45	в том числе	2	1
46	то же самое	1	1
47	в том же	1	1
48	одной стороны и	2	1
49	же как и	1	1
50	по крайней мере	2	1
51	и во всех	1	1
52	сих пор не	1	1
53	для него основной	1	1
54	в таком случае	1	1
55	хотя бы и	5	1
56	сами по себе	1	1
57	что он не	1	1
58	и так или	1	1
59	и ту же	1	1
60	у него в	1	1
61	но и в	1	1
62	т д но	1	1
63	том числе и	2	1
64	том или ином	1	1
65	может быть даже	1	1
66	письме к страхову	1	1
67	а как бы	1	1
68	т е в	2	1
69	говорит в письме	1	1
70	лишь в пределах	2	1
71	неизбежно приводит к	1	1
72	с одной стороны	2	1
73	в связи с	3	1
74	как один из	1	1
75	между собою и	1	1
76	для него в	2	1
77	но она не	1	1
78	каждый из них	1	1
79	так или иначе	1	1
80	и в их	1	1
81	в большей или	2	1
82	сюда относится например	1	1
83	или меньшей степени	2	1
84	все же не	1	1
85	во всяком случае	1	1
86	в точном смысле	2	1
87	один из его	1	1
88	бы не было	2	1
89	о том что	3	1
90	между этими двумя	1	1
91	время работы над	1	1
92	не может не	2	1
93	в одном из	3	1
94	этой точки зрения	2	1
95	не только не	2	1
96	он говорит в	1	1
97	служит для него	1	1
98	можно сказать что	4	1
99	как мы знаем	1	1
100	уже сама по	1	1
101	как он определяет	1	1
102	после того как	1	1
103	и для достижения	1	1
104	таким образом и	1	1
105	во время работы	1	1
106	одну и ту	1	1
107	во всех его	2	1
108	в том что	5	1
109	все это не	1	1
110	то же но	1	1
111	и в другом	2	1
