N	3gram	Medvedev_F_1	Psycholo
1	в том что	1	12
2	все то что	1	11
3	к тому что	1	5
4	на самом деле	6	5
5	с самого начала	1	5
6	и может быть	1	4
7	с точки зрения	13	4
8	в его основе	1	4
9	сами по себе	2	3
10	к тому чтобы	1	3
11	так же как	1	3
12	в самом конце	1	3
13	в том чтобы	2	3
14	смысле этого слова	3	3
15	и в этом	2	3
16	во всяком случае	4	3
17	заключается в том	1	3
18	и т п	4	3
19	до сих пор	6	3
20	с одной стороны	4	3
21	сама по себе	2	3
22	вслед за этим	1	3
23	уже знаем что	1	2
24	сводится к тому	2	2
25	как она есть	1	2
26	точном смысле этого	1	2
27	которая могла бы	1	2
28	вместе с тем	1	2
29	и в частности	2	2
30	в это время	1	2
31	с другой стороны	1	2
32	вместо того чтобы	1	2
33	именно в том	1	2
34	не только не	2	2
35	до тех пор	1	2
36	мы видим что	1	2
37	мы уже знаем	1	2
38	на то чтобы	1	2
39	и т д	8	2
40	должно было бы	1	2
41	самом деле в	1	1
42	никто не решается	1	1
43	и в общем	1	1
44	или хотя бы	1	1
45	это то что	1	1
46	по отношению к	4	1
47	в том и	1	1
48	же как и	1	1
49	мы не можем	2	1
50	известна только одна	1	1
51	если мы их	1	1
52	к этой цели	1	1
53	в той же	1	1
54	бы то ни	3	1
55	нам известна только	1	1
56	то же время	8	1
57	и не может	2	1
58	со всех сторон	1	1
59	с этой точки	1	1
60	для нас это	1	1
61	все это в	1	1
62	как и всякий	1	1
63	до конца и	1	1
64	в художественном произведении	2	1
65	то ни было	1	1
66	значение и смысл	1	1
67	и с точки	1	1
68	и в то	1	1
69	а также и	1	1
70	в свою очередь	6	1
71	автором на ее	1	1
72	в точном смысле	1	1
73	в целом ряде	2	1
74	что дело здесь	1	1
75	и в свою	1	1
76	не может быть	5	1
77	говорить на языке	1	1
78	которая сама по	1	1
79	всего того что	1	1
80	в истории литературы	2	1
81	ничего общего с	1	1
82	этой точки зрения	1	1
83	не оказывает никакого	1	1
84	с этой стороны	1	1
85	взятые сами по	1	1
86	при таком понимании	2	1
87	в этом смысле	1	1
88	в этом романе	1	1
89	в то же	8	1
90	в предисловии к	1	1
91	и ни на	1	1
92	тому что он	1	1
93	только что он	1	1
94	в своих последних	1	1
95	что и в	1	1
96	в ней и	1	1
97	так или иначе	1	1
98	мы увидим что	1	1
99	в жизни и	1	1
100	произведения и в	1	1
