N	3gram	Tiupa_Disk_1	Komedia
1	к тому же	4	10
2	в том что	13	5
3	едва ли не	2	5
4	о том что	5	4
5	вместе с тем	1	4
6	в том числе	2	3
7	в первую очередь	1	3
8	то же время	4	3
9	по отношению к	9	3
10	в то же	3	3
11	в связи с	1	3
12	в этом же	1	2
13	с одной стороны	9	2
14	к этому времени	1	2
15	в одной из	2	2
16	речь идет о	1	2
17	кто из вас	1	2
18	как правило в	1	2
19	до сих пор	1	2
20	не более чем	2	2
21	в этом смысле	1	2
22	в частности в	2	2
23	говоря уже о	2	2
24	только потому что	1	2
25	не говоря уже	2	2
26	в отличие от	4	2
27	во всяком случае	1	2
28	все же достаточно	1	1
29	с самого начала	1	1
30	ни о чем	1	1
31	так и в	1	1
32	в том случае	1	1
33	в большинстве случаев	1	1
34	по своему происхождению	2	1
35	в наше время	2	1
36	могла бы быть	2	1
37	тех случаях когда	1	1
38	и в то	1	1
39	и в том	1	1
40	с другой стороны	3	1
41	но все же	1	1
42	имеем дело с	1	1
43	из них в	1	1
44	в целом ряде	1	1
45	что он не	1	1
46	том случае если	1	1
47	трагедии и в	1	1
48	до нас в	1	1
49	не только в	2	1
50	как будто бы	1	1
51	более или менее	2	1
52	только в том	2	1
53	той или иной	3	1
54	том что ни	1	1
55	как мы видели	1	1
56	в тех случаях	1	1
57	в полной мере	1	1
58	она могла бы	1	1
59	а нередко и	1	1
60	таким же образом	1	1
61	с точки зрения	1	1
62	потому что в	1	1
63	мы имеем дело	2	1
64	том числе и	2	1
65	тем не менее	1	1
66	в свою очередь	3	1
67	почти одновременно с	1	1
68	в соответствии с	2	1
69	того или иного	1	1
70	не может быть	3	1
