N	4gram	Vinokur_Ku_1	Myshleni
1	заключается в том что	2	4
2	а с другой стороны	2	2
3	одно и то же	1	2
4	точно так же как	1	1
5	в одно и то	1	1
6	и в силу этого	1	1
7	зависит прежде всего от	1	1
8	и с точки зрения	1	1
9	прежде всего потому что	2	1
10	когда речь идет о	1	1
11	и в то же	1	1
12	ни в какой мере	1	1
13	что можно было бы	1	1
14	в собственном смысле слова	1	1
15	в силу того что	2	1
16	можно было бы назвать	1	1
17	то это потому что	1	1
18	прежде всего то что	1	1
19	что с точки зрения	1	1
20	с этой точки зрения	1	1
21	в то же время	2	1
22	в том что он	3	1
23	шаг вперед в области	1	1
24	для того чтобы быть	2	1
25	это не могло не	1	1
26	именно в силу того	1	1
27	только для того чтобы	1	1
28	о том что он	1	1
29	для того чтобы с	1	1
30	и пр и пр	1	1
31	в тех случаях когда	2	1
