N	2gram	Tiupa_Narr_2	Freidism
1	таким образом	5	24
2	и не	14	23
3	не может	8	20
4	точки зрения	5	19
5	прежде всего	6	18
6	в этом	13	15
7	в его	6	15
8	с помощью	1	14
9	в душе	2	13
10	может быть	10	13
11	и его	3	12
12	все эти	3	11
13	как и	4	11
14	с точки	2	11
15	как бы	6	11
16	то что	8	11
17	самом деле	3	10
18	но в	6	10
19	с ним	4	10
20	как мы	1	10
21	так и	9	10
22	и потому	1	10
23	с его	3	9
24	во всех	1	9
25	по отношению	5	9
26	и в	13	9
27	то же	4	8
28	не только	26	8
29	он не	5	8
30	в своей	4	8
31	еще не	2	8
32	оно и	1	8
33	что он	5	8
34	только в	11	8
35	все это	1	8
36	и все	4	8
37	отношению к	5	8
38	все что	4	8
39	в самом	2	7
40	отношение к	1	7
41	и наконец	1	7
42	ни в	1	7
43	те же	2	7
44	к нему	1	7
45	один из	3	7
46	всяком случае	1	7
47	что же	1	7
48	сказать что	3	7
49	во всяком	1	7
50	в ней	2	6
51	за пределы	1	6
52	все те	2	6
53	так сказать	3	6
54	и с	1	6
55	на протяжении	5	6
56	точку зрения	3	6
57	того что	6	6
58	для него	4	6
59	вовсе не	2	6
60	никогда не	6	6
61	хотя бы	2	6
62	на самом	2	5
63	он сам	2	5
64	в чем	2	5
65	и к	6	5
66	в этой	4	5
67	не в	8	5
68	мы должны	1	5
69	в то	5	5
70	в каком	1	5
71	в себя	4	5
72	но мы	1	5
73	можно сказать	6	5
74	для того	1	5
75	по мнению	1	5
76	в большинстве	1	5
77	большинстве случаев	1	5
78	а в	9	5
79	но и	15	5
80	его жизни	2	5
81	в свою	2	5
82	что в	4	5
83	в зависимости	1	4
84	той же	2	4
85	мы не	2	4
86	в которой	1	4
87	говорить о	2	4
88	я не	5	4
89	зависимости от	1	4
90	но не	3	4
91	нашего сознания	1	4
92	все же	6	4
93	из этих	2	4
94	с их	1	4
95	добраться до	1	4
96	в нем	5	4
97	на этом	1	4
98	при этом	14	4
99	об этом	4	4
100	в жизни	6	4
101	во время	2	4
102	не менее	4	4
103	в основе	1	4
104	же время	3	4
105	всей жизни	1	4
106	потому что	2	4
107	и для	3	4
108	к тому	9	4
109	того чтобы	3	4
110	данном случае	6	4
111	сводится к	9	4
112	характер и	3	4
113	это только	1	4
114	другими словами	1	4
115	внутреннего опыта	1	4
116	с ними	3	4
117	уже не	4	4
118	в котором	5	4
119	как раз	3	4
120	в данном	10	4
121	в мир	1	4
122	и о	1	4
123	сознания и	1	4
124	в этих	1	4
125	этот вопрос	1	4
126	между ними	1	4
127	в последнем	1	4
128	в таком	3	4
129	таком случае	1	3
130	другому человеку	1	3
131	на себя	1	3
132	конечном счете	3	3
133	в общем	1	3
134	него только	1	3
135	как в	5	3
136	и как	1	3
137	между двумя	1	3
138	в себе	8	3
139	о которой	3	3
140	и по	3	3
141	что все	1	3
142	выражение и	1	3
143	конечно в	1	3
144	зрения на	2	3
145	было бы	2	3
146	отца и	1	3
147	мы имеем	3	3
148	мысли и	1	3
149	тому что	3	3
150	нет никакого	1	3
151	одна из	3	3
152	на него	5	3
153	чем не	1	3
154	мыслей и	1	3
155	в сознании	2	3
156	ни о	1	3
157	к себе	7	3
158	не могут	1	3
159	она не	1	3
160	с ее	1	3
161	приводит к	1	3
162	если бы	4	3
163	и внешней	1	3
164	и смерть	1	3
165	внутреннюю и	1	3
166	и что	2	3
167	в конечном	3	3
168	и она	1	3
169	со всеми	2	3
170	себя в	2	3
171	у него	6	3
172	со стороны	6	3
173	и т.п	6	3
174	на этот	1	3
175	и оно	1	3
176	о себе	1	3
177	вместе с	1	3
178	по своему	2	3
179	слова и	1	3
180	и от	1	3
181	но это	2	3
182	не является	4	3
183	когда он	1	3
184	не знает	1	3
185	жизни и	4	3
186	ее в	1	3
187	по поводу	2	3
188	отношения к	1	2
189	в такой	1	2
190	это и	1	2
191	тем же	1	2
192	нам в	3	2
193	в составе	2	2
194	того же	1	2
195	между собой	3	2
196	в ее	4	2
197	ответ на	5	2
198	себе и	2	2
199	отличие от	5	2
200	относится к	1	2
201	чем же	1	2
202	же с	1	2
203	опирается на	1	2
204	в своем	6	2
205	сознания в	1	2
206	что это	4	2
207	в нашем	2	2
208	всей его	1	2
209	что она	2	2
210	внутренней речи	3	2
211	их в	1	2
212	матери или	1	2
213	это было	1	2
214	это не	3	2
215	содержание сознания	4	2
216	жизни то	1	2
217	всю жизнь	1	2
218	и уже	4	2
219	которой он	3	2
220	жизни но	1	2
221	приходит в	1	2
222	том что	13	2
223	во второй	2	2
