N	3gram	Potebnia_M_3	DiskursI
1	в данном случае	1	6
2	в том что	16	6
3	то же время	5	5
4	как и в	2	5
5	по отношению к	5	4
6	в этом отношении	2	4
7	в то же	5	4
8	с одной стороны	3	4
9	так и в	2	3
10	не может быть	3	3
11	о том что	1	3
12	и может быть	2	2
13	одной стороны и	1	2
14	подобно тому как	2	2
15	заключает в себе	5	2
16	одно и то	5	2
17	и то что	1	2
18	так и на	1	2
19	и то же	5	2
20	в свое время	1	2
21	на первый взгляд	1	2
22	легко может быть	1	2
23	но и от	1	1
24	приходит в голову	1	1
25	в чем не	1	1
26	и столь же	1	1
27	отношению к субъекту	1	1
28	потому что в	1	1
29	то есть по	1	1
30	в самом деле	1	1
31	же время и	1	1
32	заключающие в себе	1	1
33	и там где	1	1
34	друг от друга	1	1
35	с другой стороны	4	1
36	только то что	1	1
37	того и другого	1	1
38	на каждом шагу	1	1
39	или по крайней	1	1
40	в общих чертах	1	1
41	в целом и	1	1
42	из виду что	1	1
43	говоря уже о	1	1
44	том что и	1	1
45	не могут быть	2	1
46	а не как	1	1
47	не в том	5	1
48	лично для себя	1	1
49	и той же	2	1
50	только это в	1	1
51	равно как и	1	1
52	прежде всего он	1	1
53	упускать из виду	2	1
54	может быть названо	1	1
55	можно сказать что	2	1
56	и не дает	1	1
57	одной и той	2	1
58	тем не менее	3	1
59	в себе самом	1	1
60	все то что	1	1
61	здесь как и	1	1
62	по крайней мере	5	1
63	в себе не	2	1
64	не только от	1	1
65	слово стремится к	1	1
66	не говоря уже	1	1
