N	2gram	Savitsky_P_1	FransuaR
1	и в	14	49
2	прежде всего	3	19
3	в его	2	18
4	и на	1	17
5	не только	17	17
6	в этом	10	15
7	и не	12	15
8	в них	2	13
9	в эпоху	1	13
10	только в	7	13
11	но и	6	13
12	как и	1	11
13	как бы	4	11
14	в этой	1	10
15	в нем	3	9
16	все это	2	9
17	то же	9	7
18	все же	1	7
19	не может	4	7
20	именно в	2	6
21	во всех	2	6
22	в истории	1	6
23	и с	2	6
24	точки зрения	3	6
25	xviii века	1	6
26	в то	7	6
27	же время	7	6
28	в себя	1	6
29	то что	4	6
30	в творчестве	1	6
31	с точки	3	5
32	с его	1	5
33	из этих	1	5
34	но не	3	5
35	в своем	4	5
36	в эту	2	5
37	никогда не	1	5
38	тот же	3	5
39	уже в	1	5
40	в начале	2	5
41	может быть	5	5
42	и потому	4	5
43	в основном	1	5
44	отношения к	2	4
45	жить и	1	4
46	и к	4	4
47	но в	9	4
48	в себе	3	4
49	в жизни	2	4
50	в этих	1	4
51	и более	1	4
52	одна из	2	4
53	в области	11	4
54	в последующие	1	4
55	с другой	5	4
56	а в	4	4
57	не было	2	4
58	там где	1	4
59	эту эпоху	1	4
60	и о	5	4
61	том что	4	4
62	как на	2	4
63	также и	1	3
64	связана с	1	3
65	в самом	1	3
66	место в	1	3
67	духа и	2	3
68	да и	2	3
69	и вот	2	3
70	а затем	1	3
71	и других	2	3
72	было бы	6	3
73	из них	2	3
74	был и	1	3
75	далеко не	1	3
76	в г	1	3
77	это ощущение	1	3
78	лиц и	1	3
79	xix веке	2	3
80	и это	2	3
81	с ее	1	3
82	в ее	2	3
83	в собственном	1	3
84	культуры и	1	3
85	в xix	2	3
86	в значительной	2	3
87	же в	4	3
88	с одной	3	3
89	этого процесса	1	3
90	и особенно	1	3
91	последующие века	1	3
92	одной стороны	3	3
93	в том	9	3
94	другой стороны	1	3
95	как известно	1	2
96	века но	1	2
97	по преимуществу	1	2
98	собственном смысле	1	2
99	в ней	6	2
100	литературы и	1	2
101	еще не	1	2
102	он был	1	2
103	как к	1	2
104	только то	1	2
105	есть для	1	2
106	думать что	2	2
107	отчасти и	1	2
108	на то	1	2
109	и еще	1	2
110	связанные с	1	2
111	в мире	2	2
112	на этой	1	2
113	были в	1	2
114	в отношении	10	2
115	и без	3	2
116	на фоне	1	2
117	в условиях	1	2
118	и эти	1	2
119	мы должны	4	2
120	что в	4	2
121	мире в	1	2
122	того чтобы	1	2
123	могут быть	3	2
124	на основе	1	2
125	в пределах	8	2
126	притом в	1	2
127	особенно в	1	2
128	еще в	1	2
129	не были	1	2
130	по сравнению	2	2
131	они являются	1	2
132	связаны с	1	2
133	всего что	1	2
134	в формах	1	2
135	и образы	1	2
136	традиции в	1	2
137	всяком случае	1	2
138	именно на	1	2
139	в качестве	9	2
140	есть в	2	2
141	к первой	1	2
142	мы можем	1	2
143	эти явления	1	2
144	формах и	1	2
145	для них	2	2
146	вместе с	1	2
147	так же	1	2
148	xix века	6	2
149	сравнению с	1	2
150	в смысле	6	2
151	основном и	1	2
152	хотя и	3	2
153	и другие	1	2
154	это в	1	2
155	во всяком	1	2
156	культуры ее	1	1
157	например в	2	1
158	и то	1	1
159	тем же	1	1
160	в котором	4	1
161	должна быть	1	1
162	из всех	1	1
163	есть не	2	1
164	к народу	1	1
165	которую мы	2	1
166	бы что	1	1
167	науки и	1	1
168	не вполне	1	1
169	почти исключительно	1	1
170	мы и	1	1
171	конечно и	1	1
172	начала в	1	1
