N	3gram	Tiupa_Anal_3	Tvorches
1	то же время	3	7
2	в то же	3	7
3	в романе достоевского	1	5
4	по отношению к	7	3
5	до сих пор	1	3
6	по сути дела	1	3
7	не может быть	1	3
8	в первой части	1	2
9	в самом деле	1	2
10	в таком случае	1	2
11	в отличие от	2	2
12	на этот вопрос	1	2
13	по крайней мере	4	2
14	именно в этом	1	2
15	на наш взгляд	2	2
16	едва ли не	2	2
17	во всяком случае	2	2
18	с другой стороны	5	2
19	так и в	1	2
20	о том что	5	2
21	в одном из	1	2
22	в том что	7	2
23	хотя и не	1	1
24	как уже говорилось	1	1
25	ничего не говорит	1	1
26	дело в том	2	1
27	никогда не является	1	1
28	может и не	1	1
29	в дальнейшем мы	1	1
30	со всех сторон	1	1
31	он не выдерживает	1	1
32	но в таком	1	1
33	в применении к	1	1
34	оно никогда не	1	1
35	не сводится к	1	1
36	в известном смысле	1	1
37	не могут быть	1	1
38	а с другой	1	1
39	так и не	5	1
40	в свою очередь	4	1
41	той или иной	3	1
42	это все же	1	1
43	в связи с	1	1
44	но как бы	1	1
45	к тому же	3	1
46	того или иного	1	1
47	то что не	1	1
48	при этом что	1	1
49	в конечном счете	2	1
50	именно потому что	1	1
51	в русской литературе	3	1
52	в частности с	1	1
53	в каждом из	1	1
54	и прежде всего	2	1
55	молодого человека в	1	1
56	как и в	4	1
57	в глубине души	1	1
