N	2gram	Berdyaev_V_1	Problema
1	и не	20	28
2	то есть	1	27
3	не только	2	24
4	только в	2	23
5	в виде	1	22
6	вовсе не	1	21
7	в том	3	20
8	и в	16	20
9	ни в	3	17
10	все эти	3	16
11	не просто	1	16
12	потому что	4	15
13	то что	9	15
14	но и	5	14
15	у нас	1	14
16	не в	3	13
17	не есть	6	12
18	том что	2	12
19	прежде всего	2	11
20	это значит	1	10
21	так и	4	10
22	в этом	4	9
23	все это	5	9
24	может быть	1	9
25	во всяком	2	8
26	и все	4	8
27	но в	3	8
28	в результате	1	8
29	что он	4	8
30	еще не	8	7
31	мы не	2	7
32	а не	7	7
33	и с	1	7
34	хотя бы	3	7
35	это не	2	7
36	то же	1	7
37	и потому	7	7
38	и тем	1	7
39	в ней	4	7
40	с другой	1	7
41	для нас	2	6
42	в одно	1	6
43	крайней мере	1	6
44	другой стороны	1	6
45	и вообще	1	6
46	есть не	1	6
47	как и	4	6
48	и от	1	6
49	художественный образ	1	6
50	по крайней	1	6
51	в виду	1	6
52	но это	3	6
53	жизни и	3	5
54	так же	1	5
55	человеческой жизни	1	5
56	в нем	4	5
57	то и	1	5
58	не существует	1	5
59	но не	2	5
60	вместе с	1	5
61	в ее	1	5
62	хотя и	5	5
63	и можно	1	5
64	в этих	3	5
65	и очень	1	5
66	как в	1	5
67	да и	2	5
68	уже не	2	5
69	в них	3	5
70	и если	1	5
71	так как	9	5
72	в разных	1	4
73	и для	3	4
74	и ее	1	4
75	это символ	1	4
76	в этой	1	4
77	и во	2	4
78	с ним	2	4
79	в своей	3	4
80	с тем	2	4
81	в одном	1	4
82	а в	2	4
83	или даже	1	4
84	и т	2	4
85	не имеет	3	4
86	что не	4	4
87	во всех	3	4
88	уже в	1	4
89	и есть	4	4
90	можно было	2	4
91	как бы	5	4
92	но она	1	3
93	то это	3	3
94	т д	2	3
95	еще и	1	3
96	не было	3	3
97	в жизни	3	3
98	к нему	1	3
99	в сознании	1	3
100	самой жизни	1	3
101	как это	1	3
102	бы и	3	3
103	если не	3	3
104	нет никакого	1	3
105	и другое	1	3
106	но все	1	3
107	что в	3	3
108	для него	2	3
109	мы все	1	3
110	что и	3	3
111	в его	4	3
112	как мы	1	3
113	но как	1	3
114	к тому	3	3
115	зависимости от	1	3
116	для того	1	3
117	в истории	8	3
118	можно ли	1	3
119	он был	1	3
120	тем что	2	3
121	уже и	1	3
122	же и	1	3
123	и на	1	3
124	не так	2	3
125	что мы	4	3
126	что всякий	1	3
127	нет ничего	3	3
128	все равно	2	3
129	конечно не	2	3
130	себе и	1	3
131	человека в	1	3
132	все в	1	3
133	является и	1	3
134	в своем	1	3
135	в которой	1	2
136	был в	1	2
137	все же	1	2
138	это все	2	2
139	жизни в	1	2
140	говорит что	1	2
141	говорит о	1	2
142	что они	7	2
143	не будет	2	2
144	образ и	1	2
145	для себя	1	2
146	не к	2	2
147	для них	2	2
148	что это	1	2
149	в конце	3	2
150	не могли	2	2
151	не хотел	2	2
152	того чтобы	2	2
153	тот же	3	2
154	по этому	3	2
155	нет и	2	2
156	говорить о	4	2
157	и уж	1	2
158	они и	2	2
159	если оно	1	2
160	весь мир	1	2
161	до того	2	2
162	в чем	3	2
163	во всем	1	2
164	будто бы	1	2
165	со своей	1	2
166	перестает быть	1	2
167	с ними	1	2
168	между собою	1	2
169	в котором	4	2
170	а его	1	2
171	для всякого	1	2
172	не понимает	1	2
173	и что	3	2
174	от всякой	1	2
175	верит в	2	2
176	на земле	7	2
177	в известном	1	2
178	о великом	4	2
179	за ним	3	2
180	меня в	1	2
181	и говорит	1	2
182	лет назад	1	2
183	и то	2	2
184	хотели бы	1	2
185	и это	2	2
186	с его	3	2
187	что во	3	2
188	в самом	1	2
189	и тогда	2	2
190	и всех	1	2
191	и по	1	2
192	не нужны	1	1
193	что оно	1	1
194	нас это	1	1
195	прошлом и	1	1
196	земле то	1	1
197	по сравнению	1	1
198	сравнению с	1	1
199	самого себя	2	1
200	бы в	1	1
201	и вот	1	1
202	познания добра	2	1
203	если они	1	1
204	церкви и	1	1
205	его на	1	1
206	вопрос о	1	1
207	уже на	2	1
208	это мы	2	1
209	конце концов	1	1
210	мы и	2	1
211	нам и	1	1
212	но что	1	1
213	бы это	1	1
214	бы то	1	1
215	на том	2	1
216	не была	1	1
217	ее на	1	1
218	и любовь	1	1
219	он всегда	1	1
220	это дело	2	1
221	о своем	1	1
222	ограниченности и	1	1
223	это слово	1	1
224	сущности и	1	1
225	и слишком	1	1
226	существе своем	2	1
227	существует и	1	1
228	их для	1	1
229	человека и	6	1
230	легенда о	2	1
231	известном смысле	1	1
232	ли ты	2	1
233	и вместе	1	1
234	себя но	1	1
235	по законам	1	1
236	вся дальнейшая	1	1
237	ивана карамазова	2	1
238	и так	1	1
239	это тот	1	1
240	ней и	1	1
241	нас и	3	1
242	под этим	2	1
243	и другие	1	1
244	они в	3	1
245	если в	1	1
246	в их	1	1
247	для человека	2	1
248	не любят	2	1
249	что уже	1	1
250	образа в	1	1
251	равно не	1	1
252	вечной жизни	1	1
253	за то	3	1
254	присутствует в	1	1
255	есть такое	1	1
256	в образе	4	1
257	к нам	2	1
258	над ними	2	1
259	в искусстве	1	1
260	им в	1	1
261	наконец не	1	1
262	красоте и	1	1
263	тому что	3	1
264	духа и	2	1
265	это в	1	1
266	к людям	6	1
267	к жизни	1	1
268	превращается в	3	1
269	и самые	1	1
270	отношение к	1	1
271	раз о	2	1
272	в разные	1	1
273	ничего и	2	1
274	д и	1	1
275	было что	1	1
276	ничего не	1	1
277	это только	1	1
278	мира сего	4	1
279	тысячи лет	1	1
280	превращаются в	2	1
281	насилия и	1	1
282	вот что	1	1
283	с богом	4	1
284	что есть	5	1
285	и сам	2	1
286	жизни не	1	1
287	и против	3	1
288	находится в	1	1
289	в противоположность	1	1
290	зачем же	2	1
291	перестала быть	1	1
292	на два	1	1
293	в целом	1	1
294	есть то	1	1
295	истории в	1	1
296	в прошлом	2	1
297	нового времени	1	1
298	могут сказать	1	1
299	человек и	1	1
300	сливаться с	1	1
301	но под	1	1
302	то ни	1	1
303	человечества и	3	1
304	целое и	1	1
305	с этой	1	1
306	мира и	1	1
307	природы и	1	1
308	но к	1	1
309	нам уже	1	1
310	у самого	1	1
311	мы в	1	1
312	и зла	2	1
313	должно быть	3	1
314	всего в	2	1
315	зла и	1	1
316	и быть	1	1
317	никогда не	3	1
318	о чем	1	1
319	во главе	2	1
320	а потом	1	1
321	что все	4	1
322	так ли	1	1
323	жизни с	1	1
324	добра и	4	1
325	не всегда	1	1
326	эту истину	1	1
