N	3gram	Tiupa_Narr_1	StatiiOP
1	в том что	8	11
2	не может быть	5	5
3	в этом смысле	1	4
4	по крайней мере	1	4
5	с точки зрения	2	4
6	в этом отношении	3	4
7	с другой стороны	4	4
8	о том что	6	4
9	состоит в том	3	3
10	прежде всего в	1	3
11	в связи с	2	3
12	то же время	3	3
13	не только в	2	3
14	в то же	3	3
15	но это не	1	3
16	это не так	1	2
17	до сих пор	1	2
18	между тем что	1	2
19	и не в	4	2
20	если бы между	1	2
21	что это за	1	2
22	в том чтобы	1	2
23	с одной стороны	7	2
24	но все же	4	2
25	тем более что	1	2
26	а с другой	1	2
27	тем не менее	3	2
28	независимо от того	1	2
29	можно сказать что	4	1
30	не может не	2	1
31	а иногда и	1	1
32	из этих двух	1	1
33	на себя внимание	3	1
34	иметь в виду	1	1
35	а не в	2	1
36	более или менее	2	1
37	на самом деле	1	1
38	в самом деле	1	1
39	то же самое	1	1
40	он не может	1	1
41	известном смысле является	1	1
42	точку зрения на	1	1
43	не было и	1	1
44	и времени в	1	1
45	что он уже	1	1
46	том что он	1	1
47	тот или иной	1	1
48	сам по себе	1	1
49	в такого рода	1	1
50	том что именно	1	1
51	в последние десятилетия	1	1
52	можно было бы	2	1
53	а то и	1	1
54	с этой точки	1	1
55	обращает на себя	3	1
56	от воли автора	1	1
57	в том же	1	1
58	в году в	1	1
59	в известном смысле	2	1
60	то что он	1	1
61	так или иначе	2	1
62	в той или	2	1
63	ни на что	1	1
64	в свое время	1	1
65	до наших дней	1	1
66	что несмотря на	1	1
67	этой точки зрения	2	1
68	что не имеет	1	1
69	но уже в	1	1
70	в свою очередь	3	1
71	ни для кого	1	1
72	на протяжении всего	1	1
73	той или иной	4	1
74	речь идет о	2	1
75	его жизни но	1	1
76	совершенно очевидно что	1	1
77	вытекает из его	1	1
78	как мы видели	1	1
79	в русской литературе	1	1
