N	3gram	Losev_Dial_2	DiskursI
1	в данном случае	2	6
2	в том что	6	6
3	то же время	4	5
4	в этом отношении	1	4
5	в то же	3	4
6	с одной стороны	1	4
7	не может быть	3	3
8	при всей своей	1	3
9	о том что	4	3
10	той или иной	1	3
11	и может быть	3	2
12	одной стороны и	1	2
13	в обоих случаях	1	2
14	подобно тому как	1	2
15	с точки зрения	8	2
16	и не может	1	2
17	одно и то	4	2
18	и то что	1	2
19	содержит в себе	3	2
20	и то же	4	2
21	но при этом	1	2
22	и как бы	1	2
23	в свое время	1	2
24	на первый взгляд	1	2
25	это еще не	1	2
26	и прежде всего	2	2
27	том что в	1	1
28	не в состоянии	2	1
29	и не стоит	1	1
30	в той или	2	1
31	в самом деле	3	1
32	не должно быть	2	1
33	того или иного	1	1
34	так и его	1	1
35	с другой стороны	4	1
36	одних и тех	1	1
37	из двух или	1	1
38	и в то	1	1
39	такова же и	1	1
40	что в одном	1	1
41	бы то ни	1	1
42	только то что	4	1
43	того и другого	1	1
44	или по крайней	2	1
45	но это не	2	1
46	и тех же	1	1
47	и в частности	2	1
48	в это время	1	1
49	может не иметь	1	1
50	и не быть	1	1
51	говоря уже о	2	1
52	в одно и	1	1
53	как будто бы	3	1
54	одно из двух	1	1
55	не могут быть	2	1
56	том что первая	1	1
57	не в том	1	1
58	во всяком случае	2	1
59	обратим внимание на	1	1
60	та или иная	2	1
61	равно как и	1	1
62	с самого начала	2	1
63	но все эти	1	1
64	не менее в	1	1
65	можно сказать что	3	1
66	времени и пространства	2	1
67	в силу своей	2	1
68	ее может быть	1	1
69	тем не менее	2	1
70	всем потому что	1	1
71	по крайней мере	9	1
72	речь идет о	1	1
73	не говоря уже	2	1
