N	2gram	Losev_Vesc_1	DiskursI
1	в качестве	1	34
2	не только	36	28
3	в том	8	23
4	а не	19	22
5	тогда как	1	19
6	том что	8	19
7	может быть	16	17
8	как и	8	16
9	и в	21	16
10	в этом	4	15
11	еще не	8	14
12	но и	18	14
13	при этом	1	13
14	прежде всего	9	11
15	по своей	2	11
16	но не	5	11
17	и не	29	11
18	далеко не	1	10
19	с другой	6	10
20	не может	17	9
21	в нем	2	9
22	одной стороны	3	9
23	с одной	3	9
24	в частности	1	9
25	так и	3	8
26	о том	6	8
27	но в	5	8
28	а также	1	8
29	отнюдь не	5	8
30	в себе	14	7
31	не было	1	7
32	не в	5	7
33	в основе	3	7
34	то же	6	7
35	в его	2	7
36	только в	14	7
37	со стороны	5	7
38	и как	8	6
39	в своем	6	6
40	по природе	1	5
41	можно сказать	6	5
42	в своей	5	5
43	во всех	2	5
44	сводится к	2	5
45	природе своей	1	5
46	в себя	13	5
47	к тому	3	5
48	то что	27	5
49	отличие от	1	5
50	в силу	3	5
51	тому же	1	5
52	а с	3	5
53	в котором	3	5
54	в отличие	1	5
55	а в	4	5
56	или иной	1	5
57	как бы	12	5
58	в данном	5	5
59	для себя	5	4
60	не предполагает	4	4
61	что в	9	4
62	отношение к	1	4
63	для него	4	4
64	потому что	16	4
65	и к	1	4
66	что не	5	4
67	и о	3	4
68	в истории	1	4
69	уже не	9	4
70	в особенности	1	4
71	внимание на	1	4
72	могут быть	1	4
73	с его	1	4
74	что он	1	4
75	не является	1	4
76	не обязательно	1	4
77	во втором	2	4
78	быть определена	1	3
79	и составляет	1	3
80	все же	4	3
81	и того	2	3
82	должны быть	4	3
83	общения с	23	3
84	того же	5	3
85	таким образом	8	3
86	для обозначения	1	3
87	точки зрения	5	3
88	хотя бы	6	3
89	имеет свою	1	3
90	по себе	13	3
91	ли не	1	3
92	в то	3	3
93	в ее	7	3
94	того что	8	3
95	как не	1	3
96	неотделимо от	2	3
97	что и	3	3
98	и даже	6	3
99	не с	7	3
100	времени и	1	3
101	они и	1	3
102	с этим	3	3
103	один из	3	3
104	сказать что	17	3
105	и потому	5	3
106	свою очередь	4	3
107	тем что	2	3
108	перед нами	2	3
109	другой стороны	2	3
110	себе не	3	3
111	в первом	2	3
112	именно в	1	3
113	в самом	9	3
114	также и	6	3
115	в данной	1	3
116	в действительности	7	3
117	в своих	1	3
118	однако в	1	3
119	это не	5	3
120	заключается в	1	3
121	тому как	4	3
122	из них	4	3
123	это понятие	1	3
124	той или	2	3
125	в сферу	1	3
126	в свою	4	3
127	приводит к	1	2
128	то с	3	2
129	данном случае	2	2
130	в другом	2	2
131	или в	2	2
132	о котором	1	2
133	самому себе	1	2
134	могла бы	3	2
135	для своего	1	2
136	отличается от	7	2
137	может и	1	2
138	об этом	3	2
139	между собой	1	2
140	и ее	18	2
141	крайней мере	4	2
142	не менее	3	2
143	зависит от	1	2
144	на ее	3	2
145	и все	5	2
146	есть в	1	2
147	основе своей	2	2
148	смысл в	1	2
149	строго говоря	1	2
150	было в	1	2
151	и во	3	2
152	к которому	1	2
153	это в	1	2
154	и без	3	2
155	на мой	1	2
156	о нем	1	2
157	того или	1	2
158	и он	1	2
159	в одном	2	2
160	стороны и	2	2
161	в принципе	1	2
162	к себе	4	2
163	в виду	2	2
164	из наиболее	1	2
165	жизни в	1	2
166	оно не	3	2
167	его как	1	2
168	что же	8	2
169	к такому	1	2
170	во всяком	3	2
171	свидетельствует о	3	2
172	поскольку в	1	2
173	сами по	3	2
174	хотя и	4	2
175	различие между	2	2
176	одного из	1	2
177	с человеком	1	2
178	с ее	6	2
179	дело не	2	2
180	как мы	4	2
181	имеем дело	3	2
182	и его	2	2
183	одного и	1	2
184	к его	1	2
185	в сущности	4	2
186	тот или	1	2
187	никогда не	2	2
188	своей собственной	1	2
189	о чем	1	2
190	едва ли	1	2
191	или менее	1	2
192	это было	1	2
193	мы имеем	7	2
194	ему в	1	2
195	однако это	2	2
196	однако и	1	2
197	и тем	3	2
198	слова в	2	2
199	по крайней	4	2
200	в этой	3	2
201	на этом	2	2
202	к другому	1	2
203	будто бы	1	2
204	в особом	1	2
205	когда он	1	2
206	мысли и	3	2
207	бы это	1	2
208	человека в	1	2
