N	3gram	Vygotskiy__2	Analitik
1	о том что	4	6
2	в том что	21	6
3	в данном случае	3	5
4	состоит в том	3	4
5	по отношению к	5	4
6	с одной стороны	7	4
7	к тому же	1	4
8	подобно тому как	2	3
9	в этом отношении	3	3
10	той или иной	1	3
11	как и в	1	3
12	в этом смысле	2	2
13	с точки зрения	18	2
14	можно было бы	5	2
15	и то что	1	2
16	в отличие от	3	2
17	с другой стороны	1	2
18	в частности в	1	2
19	в борьбе с	1	2
20	и тем самым	1	2
21	и в самом	2	2
22	в конечном счете	4	2
23	не только не	1	2
24	следует оговориться что	1	2
25	на то что	6	2
26	если бы он	1	1
27	рассказывает об этом	1	1
28	можно сказать что	1	1
29	приводит к тому	1	1
30	в данный момент	1	1
31	более или менее	2	1
32	те же самые	1	1
33	то что с	2	1
34	речи и к	1	1
35	хотя бы и	2	1
36	сами по себе	1	1
37	самом деле не	1	1
38	как это ни	1	1
39	к его внутренней	1	1
40	что она не	1	1
41	не последнюю роль	1	1
42	на этот вопрос	5	1
43	несмотря на то	1	1
44	то и другое	1	1
45	ибо и в	1	1
46	места и для	1	1
47	и тогда когда	1	1
48	в применении к	1	1
49	в таких случаях	1	1
50	не только его	1	1
51	на этот раз	1	1
52	в сущности это	1	1
53	и тот же	1	1
54	в известном смысле	1	1
55	до некоторой степени	1	1
56	в связи с	6	1
57	в свое время	1	1
58	этой точки зрения	1	1
59	только то что	1	1
60	не может быть	6	1
61	ответ на этот	1	1
62	же самое что	2	1
63	том смысле что	1	1
64	заключается в том	7	1
65	в самом деле	4	1
66	речь идет о	2	1
67	на всем протяжении	2	1
68	отнюдь не оказывается	1	1
69	в том смысле	1	1
70	включающий в себя	1	1
71	сама по себе	2	1
72	друг с другом	2	1
73	дело не в	1	1
74	точно так же	1	1
75	в целом как	1	1
76	то же самое	2	1
77	в результате такой	1	1
