N	3gram	Losev_Prob_2	Sotsiolo
1	только в этом	1	2
2	в том что	4	2
3	в конце концов	7	2
4	это и есть	2	1
5	в настоящее время	16	1
6	и только как	1	1
7	и в этом	3	1
8	не может не	1	1
9	только то что	3	1
10	по крайней мере	6	1
11	то что в	1	1
12	то же самое	5	1
13	о том как	1	1
14	сама по себе	4	1
15	тем более не	2	1
16	может быть для	1	1
17	том что это	1	1
18	друг от друга	2	1
19	в то же	4	1
20	это вовсе не	1	1
21	а с другой	1	1
22	в этой области	3	1
23	что все это	1	1
24	в связи с	5	1
25	на первый план	3	1
26	а в том	1	1
27	и в то	1	1
28	с одной стороны	5	1
29	дает нам право	1	1
30	во всяком случае	10	1
