N	2gram	Propp_Isto_7	Mirosoze
1	может быть	14	30
2	не только	21	29
3	и в	24	28
4	не может	14	28
5	но и	11	25
6	а не	8	25
7	он не	6	24
8	о человеке	1	23
9	в этом	12	20
10	у него	10	17
11	не в	9	16
12	потому что	9	16
13	в ней	1	15
14	в своей	1	15
15	и есть	1	14
16	он был	1	14
17	никогда не	4	14
18	в нем	6	13
19	и он	3	12
20	и это	2	12
21	в самом	2	11
22	и не	4	11
23	в своем	1	10
24	было бы	2	10
25	что в	13	10
26	прежде всего	2	10
27	что он	21	10
28	и потому	1	10
29	и все	6	10
30	те которые	1	9
31	с тем	1	9
32	но он	2	9
33	и его	3	9
34	в его	1	9
35	человек в	1	9
36	из самых	2	8
37	в котором	2	8
38	но не	6	8
39	но в	5	7
40	в конце	3	7
41	в самой	1	7
42	к нему	7	7
43	того что	6	7
44	должна быть	1	6
45	и на	2	6
46	в которой	2	6
47	в этой	1	6
48	все в	2	6
49	только в	6	6
50	он уже	1	6
51	вместе с	7	6
52	все это	8	6
53	человек и	1	6
54	в том	7	6
55	если он	3	5
56	это не	10	5
57	как и	6	5
58	не могут	2	5
59	то что	7	5
60	мира и	1	5
61	отношения к	1	4
62	есть не	1	4
63	xix века	1	4
64	отношение к	5	4
65	духа и	1	4
66	увидим что	2	4
67	и по	3	4
68	должен был	2	4
69	в них	3	4
70	в этих	13	4
71	точки зрения	4	4
72	в их	4	4
73	в которых	1	4
74	к ней	2	4
75	она не	2	4
76	иной мир	2	4
77	мог бы	1	4
78	что и	8	4
79	в середине	1	4
80	значит что	1	4
81	один из	7	4
82	уже не	2	4
83	уже в	3	4
84	ни с	2	4
85	а в	10	4
86	тем что	6	4
87	был в	2	4
88	не знал	2	4
89	и там	2	4
90	с этой	6	4
91	от него	3	4
92	не знает	1	4
93	небо и	2	4
94	его не	2	3
95	с его	3	3
96	с этим	2	3
97	когда он	3	3
98	этого мира	1	3
99	духа в	1	3
100	на том	2	3
101	и вот	1	3
102	и с	1	3
103	его в	3	3
104	в жизни	1	3
105	не мог	1	3
106	том что	10	3
107	но если	1	3
108	не имеет	4	3
109	ничего не	5	3
110	к тому	1	3
111	в ее	2	3
112	с собой	7	3
113	все его	2	3
114	в него	1	3
115	конечно не	2	3
116	не так	2	3
117	и их	1	3
118	так как	8	3
119	стать богом	1	3
120	в иных	1	3
121	это значит	2	3
122	должно быть	1	3
123	для нас	6	3
124	хотя бы	1	3
125	в свете	3	3
126	в иной	2	3
127	мы увидим	6	3
128	есть и	4	3
129	одним из	1	2
130	в этот	1	2
131	связана с	1	2
132	не остается	1	2
133	не хочет	1	2
134	а как	1	2
135	вопрос о	3	2
136	который был	1	2
137	время как	2	2
138	не все	3	2
139	по отношению	1	2
140	себе и	3	2
141	т е	16	2
142	как в	12	2
143	все же	9	2
144	и как	1	2
145	и к	1	2
146	от этого	1	2
147	за собой	1	2
148	и у	2	2
149	он в	2	2
150	все эти	2	2
151	вообще не	2	2
152	как он	6	2
153	если бы	1	2
154	с ней	3	2
155	него и	3	2
156	входит в	1	2
157	на протяжении	1	2
158	в ином	12	2
159	оказывается что	2	2
160	от его	1	2
161	сих пор	3	2
162	на земле	2	2
163	в то	2	2
164	в иное	1	2
165	в основе	2	2
166	отличается от	2	2
167	всего в	1	2
168	его с	1	2
169	должен быть	1	2
170	он мог	1	2
171	и от	2	2
172	то время	2	2
173	и что	10	2
174	и когда	2	2
175	живет в	1	2
176	с ним	5	2
177	о том	9	2
178	с того	4	2
179	самому себе	1	2
180	и во	1	2
181	показывает как	3	2
182	у всех	1	2
183	и она	3	2
184	о своих	1	2
185	же можно	1	2
186	мы видим	10	2
187	мир этот	1	2
188	жизни и	1	2
189	был ли	2	2
190	никто не	1	2
191	отношению к	1	2
192	как будто	1	2
193	даже и	1	2
194	для того	1	2
195	и загадки	1	2
196	до сих	2	2
197	чтобы самому	1	2
198	мы еще	1	2
199	и самый	1	2
200	связано с	3	2
201	на этот	2	2
202	много в	2	2
203	его как	1	2
204	о чем	1	2
205	с началом	1	2
206	этот случай	9	2
207	по своему	1	2
208	как бы	4	2
209	него не	1	2
210	и нет	2	2
211	в начале	1	2
212	о мире	1	2
213	человека это	1	2
214	всего что	1	2
215	сказать что	2	2
216	у которых	1	2
217	эти слова	1	2
218	к этой	1	2
219	к этому	2	2
220	все что	1	2
221	только он	1	1
222	ту же	1	1
223	и т	17	1
224	этого требует	1	1
225	и то	1	1
226	руки в	2	1
227	между двумя	1	1
228	к другому	1	1
229	она все	1	1
230	в зависимости	1	1
231	характер его	1	1
232	мы имеем	12	1
233	мы не	4	1
234	начинается с	4	1
235	ли у	1	1
236	но она	1	1
237	что иное	1	1
238	не вполне	3	1
239	оно есть	1	1
240	я не	1	1
241	бы ни	1	1
242	ему в	1	1
243	то это	5	1
244	хочет добыть	1	1
245	и красота	1	1
246	зависимости от	1	1
247	собой в	1	1
248	еще не	8	1
249	смотрят на	1	1
250	во всех	7	1
251	тем как	1	1
252	не знала	1	1
253	самом деле	1	1
254	иных случаях	1	1
255	всякий раз	1	1
256	к области	1	1
257	к которой	2	1
258	и всякий	1	1
259	если в	2	1
260	его во	1	1
261	и действительно	1	1
262	иногда и	1	1
263	он пишет	1	1
264	в свои	1	1
265	что они	3	1
266	которые не	2	1
267	что во	2	1
268	в одной	2	1
269	его на	2	1
270	совершенно другой	1	1
271	он ведет	1	1
272	искусство и	1	1
273	со своей	2	1
274	того ни	1	1
275	что же	1	1
276	в греции	1	1
277	на могиле	1	1
278	переходит на	1	1
279	имеем в	5	1
280	во многих	2	1
281	ее как	2	1
282	кто бы	2	1
283	он все	1	1
284	всех этих	6	1
285	этого вопроса	1	1
286	в силу	2	1
287	него есть	2	1
288	из него	1	1
289	его от	1	1
290	всем а	1	1
291	что сам	1	1
292	своей земли	1	1
293	в каждом	1	1
294	как они	1	1
295	же не	1	1
296	в состоянии	4	1
297	они должны	2	1
298	к другу	1	1
299	них не	1	1
300	на все	1	1
301	знает что	1	1
302	от одного	1	1
303	чтобы узнать	2	1
304	с начала	1	1
305	после этого	3	1
306	кажется что	3	1
307	погибает и	1	1
308	царство не	1	1
309	а что	1	1
310	которой он	3	1
311	одна и	1	1
312	основывается на	1	1
313	выйти за	1	1
314	ведет как	1	1
315	дома с	1	1
316	в царстве	2	1
317	во время	6	1
318	повелевали ему	1	1
319	от своего	1	1
320	что такое	2	1
321	этой связи	1	1
322	можно найти	2	1
323	там есть	1	1
324	и без	1	1
325	в преисподнюю	2	1
326	есть та	1	1
327	она в	3	1
328	знает и	1	1
329	он дает	3	1
330	это верно	1	1
331	не от	2	1
332	стоит в	2	1
333	есть явление	1	1
334	что я	1	1
335	не путем	1	1
336	должны были	3	1
337	ответить на	1	1
338	ее он	2	1
339	нельзя было	1	1
340	на небо	1	1
341	и более	1	1
342	только те	1	1
343	и наоборот	1	1
344	не должно	1	1
345	вовсе не	4	1
346	сам он	2	1
347	уже был	1	1
348	не менее	5	1
349	не раз	1	1
350	вплоть до	2	1
351	чтобы иметь	1	1
352	а иногда	1	1
353	еще до	1	1
354	в русской	5	1
355	то чего	1	1
356	что их	1	1
357	мы все	1	1
358	мышления и	1	1
359	и злая	1	1
360	находятся в	1	1
361	во всем	2	1
362	оказалось роковым	1	1
363	и после	2	1
364	же он	1	1
365	вопрос же	1	1
366	не до	1	1
367	от того	1	1
368	и оно	2	1
369	к себе	3	1
370	все еще	1	1
371	оно не	1	1
372	приходит к	3	1
373	можно и	1	1
374	из всего	2	1
375	и о	2	1
376	связи со	2	1
377	не могу	1	1
378	можно сделать	1	1
379	с сего	1	1
380	и этим	3	1
381	на той	1	1
382	не подходит	1	1
383	так в	4	1
384	не столько	3	1
385	и сам	1	1
386	в образе	3	1
387	можно было	1	1
388	так и	5	1
389	об этой	2	1
390	когда его	1	1
391	подойти к	1	1
392	элемент в	1	1
393	из одного	3	1
394	он за	1	1
395	и даже	3	1
396	означает что	1	1
397	об этом	6	1
398	в разных	1	1
399	связанная с	1	1
400	он а	1	1
401	находится в	1	1
402	есть акт	1	1
403	и поэтому	1	1
404	и та	1	1
405	вражда к	1	1
406	теми которые	1	1
407	смешение и	1	1
408	не стоит	2	1
409	она всегда	1	1
410	доходит до	2	1
411	и всю	1	1
412	от них	1	1
413	во всей	1	1
414	не видел	1	1
415	восходит к	2	1
416	и только	1	1
417	в другой	3	1
418	которая и	1	1
419	ней все	1	1
420	и наконец	3	1
421	мы уже	4	1
422	на которой	1	1
423	сразу же	1	1
424	одной из	4	1
425	этот вопрос	2	1
426	пришел к	1	1
427	ли он	4	1
428	погружения в	1	1
429	то он	1	1
430	роковым для	1	1
431	и ее	2	1
432	может решить	1	1
433	с одного	2	1
434	так что	3	1
435	же она	1	1
436	то и	4	1
437	совершается уже	1	1
438	не исчезает	2	1
439	ответ на	6	1
440	путях его	1	1
441	участие в	2	1
442	ином мире	5	1
443	него нет	1	1
444	не сам	1	1
445	себе в	1	1
446	что она	5	1
447	в первый	1	1
448	т п	1	1
449	у нее	2	1
450	к ним	2	1
451	как его	1	1
452	но из	1	1
453	рядом с	1	1
454	связан с	1	1
455	и из	1	1
456	по своим	3	1
457	а именно	6	1
458	и недостаточно	1	1
459	и др	2	1
460	что не	2	1
461	говорит о	2	1
462	они что	1	1
463	и возвращается	2	1
464	а на	1	1
465	стать на	1	1
466	у других	1	1
467	хотелось бы	1	1
468	может создать	1	1
469	есть момент	1	1
470	если не	4	1
471	все более	1	1
472	вступает в	3	1
473	но оно	2	1
474	в частности	1	1
475	отдал все	1	1
476	исходит от	1	1
477	испытания он	1	1
478	мы опять	1	1
479	влияния на	1	1
480	он будет	1	1
481	связаны с	2	1
482	не видят	2	1
483	когда она	2	1
484	вокруг себя	1	1
485	для понимания	1	1
486	их было	1	1
487	что мы	3	1
488	но это	3	1
489	от нас	1	1
490	под влиянием	1	1
491	сознании и	1	1
492	отличный от	1	1
493	только одна	1	1
494	принять участие	1	1
495	и часто	1	1
496	к пониманию	1	1
497	хочет идти	1	1
498	это он	1	1
499	этой веры	1	1
500	то не	4	1
501	еще более	1	1
502	тем более	2	1
503	силы в	1	1
504	я в	1	1
505	сгорают все	1	1
506	лежит в	2	1
507	он от	1	1
508	по блеску	1	1
509	он же	1	1
510	мира он	1	1
511	обычно не	1	1
512	от всех	2	1
513	впервые в	1	1
514	но этот	1	1
515	этом все	1	1
516	на гибель	1	1
517	та же	2	1
518	выходят за	1	1
519	можно назвать	1	1
520	это тем	1	1
521	и эта	2	1
522	и свою	1	1
523	так же	6	1
524	земли и	1	1
525	они не	2	1
