N	4gram	Voloshinov_1	Psycholo
1	одно и то же	1	3
2	в зависимости от того	1	2
3	одной и той же	1	2
4	ответ на этот вопрос	1	2
5	до сих пор не	1	1
6	все время как бы	1	1
7	видим таким образом что	1	1
8	ни в чем не	2	1
9	в том что он	2	1
10	в том что в	1	1
11	только потому что оно	1	1
12	том что он не	1	1
13	в данном случае в	1	1
14	мы видим таким образом	1	1
15	то это означает что	1	1
16	из того что мы	1	1
17	в этом отношении совершенно	1	1
18	один и тот же	2	1
19	мы увидим что и	1	1
20	дело в том что	1	1
