N	2gram	Vygotskiy__4	Retstnzi
1	не может	10	4
2	и в	33	3
3	один из	2	2
4	если в	1	2
5	лежащие в	1	1
6	в особенности	1	1
7	смысл и	4	1
8	бессилия и	1	1
9	и событий	1	1
10	и не	13	1
11	тому что	6	1
12	не только	7	1
13	художественного произведения	1	1
14	связи с	2	1
15	событий и	3	1
16	точки зрения	6	1
17	на примере	2	1
18	во второй	1	1
19	но и	3	1
20	и заставляет	1	1
21	не из	1	1
22	персонажей и	1	1
23	по своим	1	1
24	в ней	6	1
25	в то	3	1
26	с точки	4	1
27	и форму	1	1
28	и на	5	1
29	для него	1	1
30	мы видим	6	1
31	может не	1	1
32	его основе	4	1
33	на нее	2	1
34	к тому	12	1
35	а не	6	1
36	его от	1	1
37	может быть	22	1
38	при анализе	2	1
39	несмотря на	1	1
40	в его	10	1
41	же время	2	1
42	то же	9	1
43	и все	12	1
44	из этих	2	1
45	если бы	10	1
46	исходя из	4	1
47	бы в	1	1
