N	3gram	Losev_Dial_2	DiskursI
1	в том что	6	13
2	с одной стороны	1	9
3	о том что	4	5
4	то же время	4	4
5	к тому же	1	4
6	но при этом	1	3
7	не в том	1	3
8	той или иной	1	3
9	не может быть	3	3
10	и как бы	1	3
11	с другой стороны	4	3
12	в то же	3	3
13	по себе не	3	2
14	том что в	1	2
15	не говоря уже	2	2
16	подобно тому как	1	2
17	то же самое	2	2
18	одной стороны и	1	2
19	и не только	5	2
20	говоря уже о	2	2
21	сами по себе	3	2
22	по крайней мере	9	2
23	большей или меньшей	1	2
24	а не только	1	2
25	в данном случае	2	2
26	не только в	2	2
27	более или менее	2	2
28	сказать и о	1	2
29	можно сказать что	3	2
30	в силу своей	2	2
31	и может быть	3	1
32	не только о	1	1
33	прежде всего это	1	1
34	на самом деле	1	1
35	и даже не	1	1
36	в этом смысле	1	1
37	о том как	1	1
38	именно в том	1	1
39	в этом пункте	1	1
40	с точки зрения	8	1
41	не было и	1	1
42	до сих пор	2	1
43	и не может	1	1
44	как и все	2	1
45	и в то	1	1
46	сам по себе	3	1
47	только то что	4	1
48	в таком случае	3	1
49	не есть она	1	1
50	в тех или	2	1
51	вместе с тем	1	1
52	есть она сама	1	1
53	ту или иную	1	1
54	одно и то	4	1
55	только потому что	1	1
56	что не есть	1	1
57	содержит в себе	3	1
58	и в том	1	1
59	она еще не	1	1
60	в одно и	1	1
61	как будто бы	3	1
62	не могу не	1	1
63	как и вообще	1	1
64	в связи с	4	1
65	том что он	1	1
66	во всяком случае	2	1
67	в свое время	1	1
68	того или иного	1	1
69	в этом отношении	1	1
70	не только его	1	1
71	имея в виду	1	1
72	это и есть	1	1
73	должны быть еще	1	1
74	на этом основании	1	1
75	не только потому	1	1
76	времени и пространства	2	1
77	с самого начала	2	1
78	заключается в том	1	1
79	речь идет о	1	1
80	несмотря на все	1	1
81	может и не	1	1
82	в другом случае	1	1
83	и то же	4	1
84	в том и	1	1
85	и прежде всего	2	1
86	том и в	1	1
87	тем не менее	2	1
88	но все же	1	1
89	то что они	1	1
90	дело не в	1	1
91	по своей собственной	1	1
92	может быть в	3	1
93	что не только	1	1
94	не может избежать	1	1
95	и в другом	1	1
