1	в то время как	3	5
2	одной и той же	1	3
3	состоит в том что	1	1
4	один и тот же	1	1
5	в том случае если	1	1
6	только в обществе и	1	1
7	дело в том что	1	1
8	вопрос о том что	1	1
9	с одной стороны и	1	1
10	одно и то же	2	1
11	мы не в состоянии	1	1
12	и т д и	1	1
13	одного и того же	6	1
14	одном и том же	1	1
15	той мере в какой	1	1
16	а в том как	1	1
17	мы не знаем но	1	1
18	что само по себе	1	1
19	само по себе не	1	1
20	не заключает в себе	2	1
21	в той мере в	1	1
22	иначе не было бы	1	1
23	не в том что	1	1
