N	3gram	Vygotskiy__1	SlovoVZh
1	по отношению к	7	11
2	не может быть	5	7
3	можно сказать что	4	5
4	дело в том	1	4
5	так как если	1	4
6	как если бы	2	4
7	в том что	15	4
8	и не может	1	3
9	тем не менее	1	3
10	этой точки зрения	1	3
11	до сих пор	4	3
12	и то же	2	2
13	в такой же	3	2
14	на самом деле	1	2
15	с другой стороны	9	2
16	то же самое	3	2
17	одной стороны и	1	2
18	с точки зрения	18	2
19	в зависимости от	2	2
20	но тем не	1	2
21	находит свое выражение	1	2
22	одно и то	2	2
23	в каком отношении	1	2
24	в данном случае	2	2
25	в жизни и	1	2
26	с одной стороны	8	2
27	том что в	2	1
28	но все же	1	1
29	что является для	1	1
30	и в этом	1	1
31	и к его	1	1
32	изучить с помощью	1	1
33	и связи с	1	1
34	все более и	2	1
35	то время как	4	1
36	друг к другу	1	1
37	во всяком случае	3	1
38	в самом деле	2	1
39	в этом смысле	1	1
40	свое выражение в	1	1
41	же как и	4	1
42	будущего действия и	1	1
43	и таким образом	2	1
44	в то время	5	1
45	другой стороны как	1	1
46	убедиться в этом	1	1
47	как уже сказано	6	1
48	сам по себе	3	1
49	является то что	2	1
50	таким образом мы	1	1
51	то что мы	1	1
52	и что она	1	1
53	в свою очередь	3	1
54	но и в	1	1
55	же время не	1	1
56	о том что	6	1
57	только то что	1	1
58	в этом отношении	4	1
59	что не только	1	1
60	тогда когда он	1	1
61	с самого начала	8	1
62	то что я	1	1
63	в конечном счете	1	1
64	ни в какой	2	1
65	более и более	2	1
66	можно было бы	3	1
67	опираясь на эти	1	1
68	речи так как	1	1
69	то же время	2	1
70	как мы уже	1	1
71	между тем это	1	1
72	даже тогда когда	1	1
73	по себе в	1	1
74	по крайней мере	1	1
75	в то же	2	1
76	его внутренней речи	1	1
77	вопросов между тем	1	1
78	и в частности	2	1
79	в значительной степени	2	1
80	сама по себе	1	1
81	чтобы убедиться в	2	1
82	в неразрывное единство	1	1
83	относится не к	1	1
84	так же как	5	1
85	мы таким образом	1	1
86	она не может	1	1
87	как и в	1	1
88	к вопросу о	1	1
89	и с другой	1	1
90	в высшей степени	4	1
91	в том же	1	1
