N	3gram	Savitsky_P_1	Psycholo
1	в том что	4	17
2	для того чтобы	1	13
3	с точки зрения	3	10
4	заключается в том	2	10
5	не может быть	1	8
6	совершенно ясно что	1	6
7	мы знаем что	1	4
8	так же как	1	4
9	в том виде	1	3
10	сами по себе	3	3
11	само по себе	1	3
12	в отношении к	5	3
13	том что в	1	2
14	и не может	1	2
15	и то что	1	2
16	не в том	1	2
17	по сравнению с	1	2
18	во всяком случае	1	2
19	то же время	7	2
20	с другой стороны	1	2
21	в то же	7	2
22	заключает в себе	2	2
23	и т д	1	2
24	эти ценности в	1	1
25	тех пор пока	1	1
26	в этих двух	1	1
27	в ней и	1	1
28	мы не сумеем	1	1
29	в этом смысле	1	1
30	между тем в	1	1
31	в отличие от	1	1
32	но и в	2	1
33	не было бы	1	1
34	в россии и	1	1
35	с тем чтобы	1	1
36	имеет два основных	1	1
37	за то что	1	1
38	творчества и в	1	1
39	вместе с тем	1	1
40	в ней не	2	1
41	и в частности	1	1
42	с одной стороны	3	1
43	если мы не	1	1
44	с тем же	1	1
45	если бы ее	1	1
46	друг с другом	1	1
47	более или менее	1	1
48	и тем самым	1	1
49	именно потому что	1	1
50	до тех пор	1	1
51	между тем при	1	1
