N	3gram	Propp_Isto_7	formyVre
1	и т п	1	11
2	с точки зрения	1	8
3	в связи с	1	7
4	не только в	5	5
5	как мы уже	1	4
6	и в особенности	1	3
7	о том как	1	3
8	но и в	2	3
9	во всех этих	6	3
10	в большинстве случаев	1	3
11	в том что	4	3
12	и т д	16	3
13	в другом месте	1	2
14	то же самое	1	2
15	в этом случае	1	2
16	до сих пор	2	2
17	в царстве мертвых	1	2
18	друг на друга	1	2
19	и та же	1	2
20	о загробном мире	1	2
21	лежит в основе	2	2
22	одна и та	1	2
23	похожи друг на	1	2
24	у него есть	2	2
25	это значит что	1	2
26	мы имеем в	4	2
27	даже там где	2	1
28	в народном сознании	1	1
29	следующим образом когда	1	1
30	и др все	1	1
31	по вопросу о	1	1
32	мы можем коснуться	1	1
33	и как он	1	1
34	в преисподнюю в	1	1
35	только в том	1	1
36	в преисподней в	1	1
37	этого мира и	1	1
38	что он не	1	1
39	имеет отношение к	1	1
40	но в данном	1	1
41	как мы увидим	1	1
42	а так как	1	1
43	герой убивает своего	1	1
44	то что в	3	1
45	но он не	1	1
46	он не мог	1	1
47	в этом городе	1	1
48	с тех пор	1	1
49	с этой точки	3	1
50	как можно больше	1	1
51	вместе с тем	1	1
52	и у других	1	1
53	так как он	2	1
54	здесь мы видим	1	1
55	конечно не в	1	1
56	к себе и	2	1
57	мы увидим дальше	1	1
58	то время как	2	1
59	как и в	2	1
60	в данном случае	3	1
61	и драгоценными камнями	1	1
62	таким образом и	1	1
63	с одной стороны	4	1
64	на первый взгляд	4	1
65	в иной мир	1	1
66	они должны быть	1	1
67	все же еще	1	1
68	в наши задачи	1	1
69	в связи со	1	1
70	с другой стороны	8	1
71	не может быть	3	1
72	этой точки зрения	3	1
73	у него и	1	1
74	его но это	1	1
75	из этих форм	1	1
76	герой почти всегда	1	1
77	в то время	2	1
78	о том что	5	1
79	только во время	1	1
80	кроме того здесь	1	1
81	на свое место	2	1
82	но все же	2	1
83	связь его с	1	1
84	за тридевять земель	5	1
85	сюда же относится	1	1
86	к тому что	1	1
87	тем более не	1	1
88	и все они	1	1
89	всех этих случаях	6	1
90	еще один аналогичный	1	1
91	что и в	2	1
92	как мы видели	1	1
