N	2gram	Tiupa_Lite_1	NovoeSre
1	а не	16	17
2	и в	8	16
3	не может	5	16
4	во имя	2	15
5	нового времени	2	12
6	и не	12	11
7	и есть	3	10
8	в эпоху	1	9
9	что в	3	9
10	в том	16	8
11	жизни и	3	8
12	он не	1	8
13	культуры и	1	7
14	в этом	12	7
15	к новому	1	7
16	может быть	13	7
17	как и	6	7
18	с его	5	6
19	не в	8	6
20	общественной жизни	1	6
21	никогда не	4	6
22	лишь в	4	6
23	не знает	1	6
24	должен быть	2	5
25	с ее	1	5
26	культуры в	4	5
27	не только	24	5
28	в жизни	6	5
29	xix века	6	5
30	в нем	2	5
31	быть может	1	4
32	о том	2	4
33	и мы	1	4
34	жизни к	1	4
35	наше время	1	4
36	перестает быть	4	4
37	в них	1	4
38	то что	10	4
39	это не	4	4
40	прежде всего	11	4
41	не было	3	4
42	должно быть	1	4
43	есть лишь	1	4
44	не менее	7	4
45	не имеет	1	4
46	и все	1	4
47	потому что	3	4
48	с другой	3	3
49	в ее	1	3
50	должна быть	2	3
51	истории это	1	3
52	вопрос о	1	3
53	человека и	2	3
54	еще не	4	3
55	во всех	1	3
56	за пределы	2	3
57	как в	5	3
58	духа и	1	3
59	подобно тому	2	3
60	имя свободы	1	3
61	перейти к	1	3
62	в мире	2	3
63	но и	17	3
64	это было	1	3
65	не есть	2	3
66	стремится к	1	3
67	с тем	1	3
68	в своей	4	3
69	к жизни	1	3
70	тому как	2	3
71	в россии	2	3
72	она не	1	3
73	что такое	2	3
74	в наше	1	3
75	жизни не	2	3
76	в основе	3	3
77	жизни в	1	3
78	к тому	2	3
79	сказать что	1	3
80	которых не	1	2
81	же как	1	2
82	более не	2	2
83	должно стать	2	2
84	я условно	1	2
85	роль в	2	2
86	можно было	2	2
87	так и	4	2
88	мы не	1	2
89	и с	1	2
90	культуры нового	3	2
91	для этого	4	2
92	я не	7	2
93	жизни как	1	2
94	из глубины	1	2
95	и что	1	2
96	и на	1	2
97	быть в	1	2
98	но не	4	2
99	в центре	1	2
100	нового типа	1	2
101	но в	3	2
102	который в	1	2
103	все эти	2	2
104	с одной	2	2
105	себя в	6	2
106	с их	3	2
107	в себе	7	2
108	уже не	7	2
109	в употреблении	1	2
110	вернуться к	1	2
111	не к	2	2
112	нашего времени	2	2
113	у него	3	2
114	в одну	1	2
115	и даже	3	2
116	и т.п	4	2
117	бытия в	1	2
118	права на	1	2
119	духовной жизни	4	2
120	том что	14	2
121	вместе с	1	2
122	к подлинному	1	2
123	не знал	1	2
124	одной стороны	2	2
125	такого рода	10	2
126	мир и	2	2
127	другой стороны	1	2
128	по существу	1	2
129	не могли	1	2
130	и общества	1	2
131	в духовной	1	2
132	xviii века	2	2
133	как будто	2	2
134	свободы в	1	2
135	как это	8	2
136	призыв к	1	2
137	такой же	1	2
138	но для	1	2
139	в то	5	2
140	одна из	3	2
141	и от	1	2
142	самой жизни	1	2
143	не ставит	1	2
144	хотя бы	2	2
145	все они	2	2
146	а в	3	2
147	свободы от	3	2
148	могут быть	2	2
149	и культуры	2	2
150	можно назвать	1	2
151	производить впечатление	1	1
152	людей в	1	1
153	для себя	5	1
154	только потому	1	1
155	средних веков	1	1
156	россии в	1	1
157	перед лицом	1	1
158	по преимуществу	4	1
159	приводит к	3	1
160	можно лишь	1	1
161	культуре и	2	1
162	и этот	1	1
163	с собой	4	1
164	явление культуры	1	1
165	на нее	1	1
166	еще в	4	1
167	в одиночестве	1	1
168	к тем	1	1
169	запада и	1	1
170	можно сказать	1	1
171	это всегда	1	1
172	говорить о	1	1
173	на себя	2	1
174	эпохи в	1	1
175	как я	1	1
176	это должно	1	1
177	то это	2	1
