N	2gram	Tiupa_Lite_3	RusskieA
1	и в	16	36
2	а а	1	25
3	не только	14	22
4	том что	8	19
5	что в	2	19
6	в том	12	17
7	но и	14	16
8	так как	1	15
9	во время	1	14
10	в этом	14	12
11	и т	1	10
12	в xix	1	10
13	и на	2	10
14	в этот	1	10
15	это не	5	10
16	как и	5	10
17	как мы	2	10
18	вместе с	5	10
19	потому что	3	10
20	а в	5	9
21	состоит в	6	8
22	с тем	1	8
23	у нас	2	8
24	о том	6	8
25	один из	2	8
26	из них	4	8
27	может быть	12	8
28	как это	3	8
29	что они	1	7
30	так и	9	7
31	между тем	3	7
32	что и	2	7
33	и других	1	7
34	полагает что	1	6
35	при этом	15	6
36	не имеет	1	6
37	уже не	3	6
38	в них	1	6
39	и не	22	6
40	все это	1	6
41	для нас	1	6
42	будто бы	1	6
43	то что	12	6
44	а и	2	5
45	как в	5	5
46	все же	2	5
47	как будто	4	5
48	год и	1	5
49	с ними	2	5
50	и у	1	5
51	одно из	4	5
52	как бы	8	5
53	еще не	6	4
54	во всех	2	4
55	в эти	1	4
56	что по	1	4
57	представляет собой	2	4
58	эти песни	1	4
59	в россии	1	4
60	с собой	1	4
61	входит в	4	4
62	в г	3	4
63	в их	1	4
64	тому что	1	4
65	вплоть до	2	4
66	связи с	2	4
67	к тому	6	4
68	его с	1	4
69	так в	1	4
70	еще в	3	4
71	и их	1	4
72	тем что	2	4
73	а с	1	4
74	и а	3	4
75	того что	9	4
76	по существу	4	4
77	но это	1	4
78	в связи	1	4
79	не может	8	4
80	только в	7	4
81	к этому	2	4
82	песен и	1	3
83	песни и	2	3
84	как правило	1	3
85	своего рода	10	3
86	если в	1	3
87	в своем	1	3
88	то же	9	3
89	далеко не	2	3
90	несмотря на	2	3
91	в москве	1	3
92	в этих	1	3
93	точки зрения	7	3
94	с точки	3	3
95	тем не	1	3
96	не менее	2	3
97	к жизни	2	3
98	не с	2	3
99	начиная с	1	3
100	то есть	5	3
101	а также	4	3
102	в середине	1	3
103	также в	1	3
104	песня была	1	3
105	как например	2	3
106	в качестве	5	3
107	только на	1	3
108	в одном	4	3
109	в области	3	3
110	на этот	1	3
111	о чем	3	3
112	так же	2	3
113	и к	3	3
114	в свою	2	3
115	как известно	1	2
116	например в	3	2
117	е годы	9	2
118	между двумя	1	2
119	эта песня	1	2
120	что иное	1	2
121	на себя	2	2
122	их к	1	2
123	в ней	1	2
124	он был	1	2
125	иное как	1	2
126	и песни	1	2
127	на самом	1	2
128	но не	4	2
129	тогда как	17	2
130	не просто	1	2
131	в е	8	2
132	отнюдь не	3	2
133	независимо от	1	2
134	с этим	1	2
135	хотя и	4	2
136	и как	3	2
137	но в	3	2
138	в целом	5	2
139	в нашем	1	2
140	и и	1	2
141	и до	1	2
142	как он	1	2
143	после чего	1	2
144	в нем	2	2
145	в силу	1	2
146	когда на	1	2
147	в году	5	2
148	в каждом	1	2
149	и с	2	2
150	на этой	1	2
151	в жизни	8	2
152	говорится о	1	2
153	народ и	1	2
154	и более	1	2
155	для этого	1	2
156	нас к	2	2
157	она не	1	2
158	что ему	2	2
159	у него	1	2
160	сходство с	1	2
161	ничего общего	1	2
162	свою очередь	1	2
163	что у	2	2
164	и другими	1	2
165	на все	1	2
166	в его	6	2
167	них в	1	2
168	в свете	1	2
169	не случайно	3	2
170	какой степени	1	2
171	так что	1	2
172	в последний	1	2
173	за счет	1	2
174	не означает	2	2
175	свой народ	1	2
176	не было	1	2
177	не были	1	2
178	чем в	1	2
179	себя и	2	2
180	с ней	2	2
181	только по	1	2
182	до конца	4	2
183	не на	1	2
184	а не	12	2
185	сближает его	1	2
186	в частности	11	2
187	и потому	2	2
