N	3gram	Medvedev_U_1	PoTuStor
1	в этом смысле	2	3
2	до сих пор	2	3
3	по крайней мере	2	3
4	мы полагаем что	1	3
5	не может быть	4	3
6	можно сказать что	1	3
7	в самом деле	2	2
8	не могут быть	2	2
9	в конечном счете	4	2
10	сводится к следующему	1	1
11	все что угодно	1	1
12	мы имеем в	1	1
13	имеем в виду	1	1
14	он может быть	1	1
15	но даже и	2	1
16	то же самое	2	1
17	на первый план	1	1
18	бы то ни	3	1
19	в этом отношении	2	1
20	конечно нет и	1	1
21	в данном случае	1	1
22	но именно этот	1	1
23	то ни было	3	1
24	на своем месте	1	1
25	с одной стороны	1	1
26	а это уже	1	1
27	в том что	2	1
28	нет и быть	1	1
29	самом деле есть	1	1
30	и прежде всего	1	1
31	конечном счете только	1	1
32	и быть не	1	1
33	и в итоге	1	1
34	только при таком	1	1
35	друг с другом	1	1
36	быть не может	1	1
37	на первый взгляд	1	1
38	деле есть ли	1	1
39	он прежде всего	1	1
