N	2gram	Propp_Isto_1	BTomashe
1	у нас	1	3
2	и не	9	2
3	все это	4	2
4	в ней	7	2
5	можно было	5	2
6	не то	4	2
7	художественного произведения	1	1
8	же не	3	1
9	по мотивам	1	1
10	также что	1	1
11	говорить о	1	1
12	будто бы	3	1
13	об этом	4	1
14	и в	28	1
15	не вполне	2	1
16	к ней	1	1
17	следовало бы	3	1
18	по отдельным	3	1
19	с другой	6	1
20	в своей	1	1
21	своей книге	1	1
22	на самом	1	1
23	на которой	1	1
24	как будто	4	1
25	на формальной	1	1
26	было бы	7	1
27	все же	10	1
28	по этим	1	1
29	кроме того	1	1
30	никак не	1	1
31	между ними	2	1
32	точке зрения	1	1
33	было и	1	1
34	еще не	7	1
35	и на	4	1
36	в пределах	4	1
37	стоит на	2	1
38	достаточно точно	1	1
39	одной из	2	1
40	должна быть	5	1
41	в значительной	1	1
42	нет но	1	1
43	прежде всего	10	1
44	имеющихся у	1	1
45	работа по	1	1
46	так и	9	1
47	о них	1	1
48	не было	1	1
49	в книге	3	1
50	его не	1	1
51	из своей	1	1
52	совершенно не	1	1
53	в композиции	2	1
54	всего в	2	1
55	а не	15	1
56	что в	12	1
57	в области	2	1
58	другой стороны	5	1
59	меньшей мере	2	1
60	также не	1	1
61	и ее	1	1
62	не все	4	1
63	так по	1	1
64	отнюдь не	1	1
65	таким образом	8	1
66	вопрос о	5	1
67	и более	1	1
68	и потому	2	1
69	не только	12	1
70	значительной степени	1	1
71	иначе не	1	1
72	во всяком	1	1
73	в эпоху	2	1
