N	3gram	Tiupa_Narr_2	UchenyiS
1	в конечном счете	3	4
2	не может быть	2	4
3	в то же	3	3
4	то же время	3	3
5	в этом смысле	1	2
6	в этом отношении	3	2
7	в самом деле	1	2
8	до сих пор	1	2
9	в противном случае	1	2
10	в том что	8	2
11	то же самое	1	2
12	а между тем	1	2
13	так или иначе	1	1
14	с одной стороны	5	1
15	более или менее	1	1
16	не только в	6	1
17	показательна в этом	1	1
18	достоевского и толстого	1	1
19	то что было	1	1
20	и в то	1	1
21	можно сказать что	3	1
22	не впадая в	1	1
23	не входит в	1	1
24	а не только	1	1
25	не в том	1	1
26	в данном случае	6	1
27	на первый взгляд	1	1
28	не только к	1	1
29	смысле можно сказать	1	1
