N	2gram	Bakhtin_fo_2	Problemy
1	и в	46	35
2	как бы	10	31
3	и не	9	27
4	что он	3	24
5	в его	8	21
6	но в	10	19
7	как и	8	18
8	к себе	4	18
9	не может	2	18
10	себе самому	3	18
11	в нем	5	16
12	то есть	10	16
13	то же	8	15
14	с самим	1	15
15	и все	6	15
16	в сущности	2	14
17	в этом	22	14
18	и его	12	14
19	для него	3	14
20	может быть	7	14
21	но и	9	14
22	все это	6	14
23	он не	5	13
24	человека из	1	13
25	и с	6	12
26	в другом	3	12
27	прежде всего	14	12
28	и к	2	12
29	в пределах	5	11
30	в то	5	11
31	слова и	3	11
32	самом деле	1	10
33	не только	11	10
34	не в	9	10
35	же время	4	10
36	то что	7	10
37	на самом	1	9
38	самим собою	2	9
39	в отношении	2	9
40	мы уже	9	8
41	все же	6	8
42	самого начала	1	8
43	как мы	6	8
44	с самого	1	8
45	так и	7	8
46	себя и	3	8
47	и слово	1	8
48	и для	9	8
49	потому что	8	8
50	еще не	6	7
51	с его	1	7
52	себе и	1	7
53	и наконец	6	7
54	лишь в	2	7
55	там где	2	7
56	таким образом	3	7
57	для себя	1	7
58	и сам	1	7
59	в виде	1	7
60	вовсе не	13	7
61	так же	2	7
62	точки зрения	10	7
63	с ним	4	7
64	а в	3	7
65	и на	7	6
66	он сам	1	6
67	но не	5	6
68	отношение к	3	6
69	что они	4	6
70	в самом	1	6
71	в каждом	1	6
72	к тому	3	6
73	в одном	7	6
74	и что	1	6
75	только в	11	6
76	и т.п	2	6
77	стремится к	1	6
78	но это	2	6
79	не знает	2	6
80	что в	5	6
81	и то	1	5
82	как в	4	5
83	в себе	4	5
84	в рассказ	1	5
85	на протяжении	3	5
86	он и	1	5
87	в конце	2	5
88	во время	10	5
89	на него	1	5
90	себе самом	1	5
91	да и	1	5
92	уже говорили	4	5
93	и голос	1	5
94	его с	1	5
95	и это	2	5
96	в глаза	1	5
97	в том	10	5
98	так что	4	5
99	к самому	1	5
100	и даже	3	5
101	когда я	1	5
102	этого слова	1	5
103	самому и	1	5
104	бы уже	1	4
105	во внутреннем	1	4
106	он как	1	4
107	в мире	4	4
108	в чем	1	4
109	нет и	3	4
110	тон и	2	4
111	та же	3	4
112	на его	1	4
113	и вот	2	4
114	друг с	4	4
115	но все	1	4
116	его в	6	4
117	переходим к	3	4
118	в них	7	4
119	рядом с	2	4
120	в своей	1	4
121	но он	2	4
122	друг другу	2	4
123	по себе	2	4
124	никогда не	6	4
125	он хочет	1	4
126	во всем	1	4
127	и делает	1	4
128	протяжении всего	2	4
129	той или	1	4
130	где он	1	4
131	говорили что	1	4
132	еще в	1	4
133	все его	4	4
134	между тем	1	4
135	говорит он	1	4
136	другого в	1	4
137	наконец в	2	4
138	и так	2	4
139	и у	5	4
140	так как	6	4
141	у него	9	4
142	тем что	3	4
143	или иной	2	4
144	с другой	2	4
145	и прежде	3	4
146	с другом	4	4
147	что не	1	4
148	в стиле	1	4
149	до конца	2	4
150	а не	4	4
151	но как	1	4
152	по своему	2	4
153	в той	2	4
154	бы в	1	4
155	тот же	3	4
156	во всяком	2	4
157	себя как	1	3
158	как его	2	3
159	это и	1	3
160	и свой	1	3
161	говорить о	2	3
162	в виду	3	3
163	во всех	11	3
164	мне все	1	3
165	установкой на	1	3
166	совсем не	2	3
167	для других	3	3
168	а он	1	3
169	в общем	1	3
170	за пределы	1	3
171	в одной	2	3
172	с этим	5	3
173	когда он	1	3
174	его к	1	3
175	все эти	5	3
176	ее как	1	3
177	него и	2	3
178	одно и	1	3
179	было бы	2	3
180	с тем	2	3
181	такой же	1	3
182	в котором	4	3
183	не как	1	3
184	раз и	1	3
185	но только	1	3
186	появляется в	1	3
187	а так	1	3
188	или как	1	3
189	только с	1	3
190	и т.д	1	3
191	с ее	1	3
192	всего этого	1	3
193	в ее	1	3
194	с человеком	1	3
195	под влиянием	1	3
196	сводится к	1	3
197	диалога с	1	3
198	и во	6	3
199	что и	3	3
200	это не	2	3
201	в форме	3	3
202	в него	1	3
203	того что	3	3
204	нуждается в	1	3
205	словом и	2	3
206	со всеми	2	3
207	уже не	3	3
208	уже в	4	3
209	из них	8	3
210	так вот	1	3
211	в последующем	2	3
212	должно быть	5	3
213	в реальном	3	3
214	дело идет	2	3
215	которой он	2	3
216	не мог	2	3
217	и от	2	3
218	это как	1	3
219	конце концов	1	3
220	и вдруг	1	3
221	том что	4	3
222	сказать что	1	3
223	другой стороны	1	3
224	в обычном	1	2
225	например в	1	2
226	и отчасти	1	2
227	чтобы не	1	2
228	а как	1	2
229	надо было	1	2
230	время как	1	2
231	в каждой	1	2
232	в ней	1	2
233	в которых	3	2
234	бы не	1	2
235	но конечно	1	2
236	друг на	2	2
237	эта особенность	1	2
238	герой не	1	2
239	отличие от	1	2
240	однако в	1	2
241	в своем	5	2
242	им в	1	2
243	мы можем	1	2
244	хотя и	3	2
245	и как	3	2
