N	3gram	Bakhtin_Fr_7	Poddanst
1	в то же	9	7
2	то же время	9	7
3	гораздо большей степени	1	4
4	в гораздо большей	1	4
5	не только в	1	4
6	в том что	3	4
7	с точки зрения	3	3
8	в том числе	4	2
9	но и в	1	2
10	в этом мире	1	1
11	что в этом	1	1
12	более или менее	2	1
13	в этом смысле	1	1
14	есть прежде всего	1	1
15	и в этом	1	1
16	же время в	1	1
17	св георгия в	1	1
18	за то что	3	1
19	только в ее	1	1
20	в применении к	1	1
21	все это в	2	1
22	в области архитектуры	1	1
23	в различных формах	1	1
24	бы оно ни	2	1
25	во всяком случае	1	1
26	и тем самым	1	1
27	большей степени чем	1	1
28	но в то	3	1
29	именно потому что	1	1
30	тем более что	1	1
31	в большинстве случаев	2	1
32	в отрыве от	2	1
33	том числе и	2	1
