N	3gram	Propp_Isto_3	PoTuStor
1	с точки зрения	1	6
2	на самом деле	1	4
3	с самого начала	1	4
4	до сих пор	5	3
5	во всяком случае	2	3
6	не может быть	1	3
7	можно сказать что	1	3
8	в большинстве случаев	1	3
9	так же как	1	2
10	о том что	2	2
11	уже знаем что	1	1
12	мы здесь имеем	1	1
13	и столь же	1	1
14	мы имеем в	2	1
15	из этих трех	1	1
16	через некоторое время	2	1
17	подобно тому как	1	1
18	во многих случаях	1	1
19	во всем мире	1	1
20	нет ничего удивительного	1	1
21	можно было бы	1	1
22	почти во всем	1	1
23	с этой точки	1	1
24	вместе с тем	1	1
25	в данном случае	3	1
26	с одной стороны	2	1
27	в этом нет	1	1
28	еще не имеет	1	1
29	в связи с	3	1
30	в себя и	1	1
31	и пр это	1	1
32	могут быть объяснены	1	1
33	имеем дело с	1	1
34	но вместе с	1	1
35	один из моментов	1	1
36	в них и	1	1
37	в том что	5	1
38	этой точки зрения	1	1
39	не говорит и	1	1
40	это и есть	1	1
41	и прежде всего	1	1
42	что иное как	3	1
43	мы знаем что	1	1
44	этом нет ничего	1	1
45	по женской линии	1	1
46	таким образом и	2	1
47	в том смысле	1	1
48	не что иное	3	1
49	что в них	2	1
50	друг с другом	1	1
51	на всю жизнь	1	1
52	мы уже знаем	2	1
53	и входит в	1	1
