N	3gram	Berdyaev_O_1	KulturaY
1	в том что	1	10
2	для того чтобы	3	8
3	в самом деле	1	7
4	во всяком случае	1	5
5	само по себе	1	5
6	не может быть	2	4
7	в этом отношении	1	3
8	том случае если	1	2
9	в первый период	1	2
10	в том случае	1	2
11	и в том	1	2
12	и в самом	1	2
13	на то что	1	2
14	том что в	1	1
15	хотя и не	1	1
16	да и то	1	1
17	в виду не	1	1
18	прежде всего в	1	1
19	что и это	1	1
20	ли сказать что	2	1
21	должен был бы	1	1
22	находится в противоречии	1	1
23	сам по себе	1	1
24	в том только	1	1
25	в иных случаях	1	1
26	потому что у	1	1
27	и не в	1	1
28	и дело что	1	1
29	и то что	1	1
30	можно ли сказать	2	1
31	в противоречии с	1	1
32	смысле этого слова	1	1
33	по сравнению с	1	1
34	не могут быть	2	1
35	по природе своей	1	1
36	не в том	1	1
37	но в этой	1	1
38	я имею в	1	1
39	дана уже в	1	1
40	вместо того чтобы	1	1
41	что же это	2	1
42	имею в виду	1	1
43	как и в	1	1
44	о том что	1	1
45	и все это	1	1
46	и никогда не	2	1
47	и прежде всего	1	1
48	что не в	1	1
49	после того как	1	1
50	что не все	1	1
51	в совершенно ином	1	1
