1	у нас	2	3
2	все это	5	2
3	видеть в	1	2
4	и не	29	2
5	не то	1	2
6	можно было	3	2
7	и в	43	1
8	все же	3	1
9	не признать	1	1
10	на самом	1	1
11	должна быть	3	1
12	не только	11	1
13	но автор	1	1
14	далеко не	4	1
15	таким образом	5	1
16	следовало бы	1	1
17	нельзя не	1	1
18	об этом	2	1
19	а не	7	1
20	было бы	5	1
21	как первый	1	1
22	и о	2	1
23	не следует	1	1
24	прежде всего	10	1
25	и нет	4	1
26	его функцией	1	1
27	кроме того	3	1
28	установка на	4	1
29	и во	1	1
30	понимания художественной	1	1
31	не о	1	1
32	в пределах	16	1
33	в книге	1	1
34	не укладывается	3	1
35	художественного произведения	1	1
36	и на	10	1
37	так и	3	1
38	из своей	1	1
39	в речи	5	1
40	ведет по	1	1
41	и потому	1	1
42	между ними	4	1
43	одной из	1	1
44	говорить не	1	1
45	никак не	5	1
46	всего в	1	1
47	во всяком	2	1
48	и ее	3	1
49	на которой	1	1
50	как будто	1	1
51	стиля и	1	1
52	крайней мере	1	1
53	нет но	2	1
54	еще не	9	1
55	не было	1	1
56	в значительной	1	1
57	совершенно не	4	1
58	с другой	4	1
59	в своей	4	1
60	формализма и	1	1
61	стоит на	1	1
62	произведении что	1	1
63	можно в	1	1
64	значительной степени	1	1
65	же не	4	1
66	всяком случае	1	1
67	о них	1	1
68	до конца	4	1
69	пожалуй и	2	1
70	тем более	1	1
71	что все	1	1
72	вопрос о	2	1
73	еще лучше	1	1
74	за пределы	3	1
75	по крайней	1	1
76	признать его	1	1
77	что в	4	1
78	другой стороны	3	1
