N	3gram	Medvedev_V_1	Otkroven
1	у него в	1	5
2	для того чтобы	3	3
3	не может быть	8	2
4	как и все	1	2
5	но и в	1	2
6	не могут быть	1	2
7	и никогда не	1	2
8	у л толстого	2	1
9	и не быть	1	1
10	в другом месте	2	1
11	как будто бы	1	1
12	по сравнению с	1	1
13	хотя и не	1	1
14	в виду не	1	1
15	не в том	2	1
16	в силу чего	2	1
17	человека вообще и	1	1
18	у вл соловьева	1	1
19	в самом деле	1	1
20	о том как	3	1
21	бросается в глаза	1	1
22	между этими двумя	1	1
23	говорит достоевский о	1	1
24	и не может	2	1
25	во всяком случае	1	1
26	человека а не	1	1
27	том случае если	1	1
28	даже и в	1	1
29	после того как	1	1
30	он и не	1	1
31	о том что	3	1
32	в этом отношении	13	1
33	то что в	1	1
34	художественном творчестве он	1	1
35	в вечном муже	1	1
36	заключает в себе	1	1
37	он говорит в	1	1
38	в том что	5	1
39	все это вопрос	1	1
40	в том случае	1	1
41	т е от	1	1
42	в братьях карамазовых	1	1
43	бы и не	3	1
44	а не только	1	1
45	и в творчестве	1	1
46	от того что	2	1
47	что не могут	1	1
