N	3gram	Nazirov_Tr_1	formyVre
1	и т п	1	11
2	в связи с	1	7
3	в этом мире	1	6
4	в то же	5	4
5	то же время	5	4
6	и в этом	1	3
7	в том что	2	3
8	и должно быть	1	2
9	в этом случае	1	2
10	у него есть	1	2
11	о том что	2	1
12	об этом свидетельствует	1	1
13	все это мы	1	1
14	в одном из	1	1
15	по сравнению с	1	1
16	обстоит дело с	1	1
17	с помощью этих	1	1
18	но в то	2	1
19	как и в	1	1
20	всего необходимо отметить	1	1
21	но все же	2	1
22	должно быть по	1	1
23	к тому что	1	1
24	что он не	1	1
25	с самого начала	1	1
26	и как бы	2	1
27	все эти образы	1	1
28	но в конце	1	1
29	вместо того чтобы	1	1
30	то и дело	1	1
31	имеют особое значение	1	1
32	не может быть	1	1
33	в конце концов	1	1
34	в данном случае	2	1
35	но при этом	1	1
36	и вместе с	1	1
37	ее к себе	1	1
38	о золотом веке	1	1
39	как и все	1	1
40	объясняется тем что	1	1
41	том что он	1	1
42	в отличие от	2	1
43	прежде всего необходимо	1	1
44	это как бы	1	1
45	в это же	1	1
46	он сказал что	1	1
