N	2gram	Tiupa_Lite_2	RusskieA
1	и в	19	36
2	не только	8	22
3	том что	7	19
4	что в	4	19
5	в том	10	17
6	но и	10	16
7	и п	1	16
8	так как	3	15
9	в этом	9	12
10	в других	1	11
11	и т	2	10
12	и на	6	10
13	в этот	1	10
14	это не	1	10
15	как и	10	10
16	как мы	1	10
17	вместе с	5	10
18	потому что	2	10
19	этот день	1	10
20	а в	3	9
21	состоит в	9	8
22	и по	1	8
23	с тем	2	8
24	у нас	5	8
25	о том	2	8
26	один из	4	8
27	из них	2	8
28	может быть	17	8
29	как это	2	8
30	так и	7	7
31	что и	2	7
32	и других	4	7
33	мы не	4	6
34	таким образом	1	6
35	при этом	6	6
36	не имеет	1	6
37	с этого	1	6
38	уже не	2	6
39	в них	2	6
40	и не	11	6
41	для нас	2	6
42	в новый	1	6
43	то что	7	6
44	как в	1	5
45	все же	2	5
46	во многих	1	5
47	того как	1	5
48	некоторые другие	1	5
49	одно из	2	5
50	как бы	2	5
51	этом случае	2	5
52	мы имеем	1	4
53	в первый	2	4
54	еще не	2	4
55	во всех	3	4
56	в эти	1	4
57	что по	1	4
58	представляет собой	2	4
59	праздников и	1	4
60	в россии	2	4
61	в их	3	4
62	что этот	1	4
63	тому что	1	4
64	вплоть до	3	4
65	одна из	5	4
66	в русском	2	4
67	связи с	1	4
68	что на	1	4
69	к тому	1	4
70	так в	5	4
71	еще в	4	4
72	и что	2	4
73	тем что	4	4
74	а с	1	4
75	и др	3	4
76	того что	5	4
77	по существу	3	4
78	но это	3	4
79	как уже	2	4
80	не может	9	4
81	к этому	1	4
82	как правило	3	3
83	своего рода	13	3
84	если в	2	3
85	которые не	1	3
86	в своем	1	3
87	не можем	1	3
88	что это	1	3
89	и те	1	3
90	в основном	1	3
91	на этом	2	3
92	то же	12	3
93	он же	1	3
94	далеко не	1	3
95	русского народа	1	3
96	в этих	1	3
97	точки зрения	4	3
98	с точки	3	3
99	тем не	2	3
100	но они	1	3
101	их в	1	3
102	не менее	6	3
103	ничего не	3	3
104	в песне	1	3
105	приводит к	1	3
106	к жизни	2	3
107	не с	3	3
108	то есть	5	3
109	а также	2	3
110	в качестве	5	3
111	только на	1	3
112	слова в	1	3
113	в одном	2	3
114	в области	4	3
115	так же	1	3
116	в это	1	3
117	и некоторые	1	3
118	и к	2	3
119	в свою	1	3
120	к материалу	1	2
121	которого в	1	2
122	е годы	2	2
123	переход от	1	2
124	но тем	4	2
125	на себя	2	2
126	в ней	4	2
127	он был	1	2
128	на самом	1	2
129	но не	5	2
130	тогда как	9	2
131	не просто	1	2
132	в е	2	2
133	отнюдь не	4	2
134	как по	1	2
135	и как	3	2
136	в круг	1	2
137	но в	2	2
138	в целом	2	2
139	все эти	1	2
140	в нашем	2	2
141	и до	2	2
142	как он	2	2
143	после чего	1	2
144	в нем	3	2
145	всех этих	1	2
146	в году	5	2
147	в каждом	2	2
148	и с	3	2
149	в жизни	2	2
150	такой же	3	2
151	для этого	2	2
152	что ему	1	2
153	у него	2	2
154	в городах	1	2
155	а сами	1	2
156	так называемый	1	2
157	но даже	1	2
158	а мы	1	2
159	не знали	3	2
160	могут быть	2	2
161	и другим	1	2
162	ничего общего	1	2
163	свою очередь	1	2
164	ни одно	1	2
165	в образе	1	2
166	с ним	2	2
167	находится в	1	2
168	на что	1	2
169	после того	1	2
170	должно было	1	2
171	в его	4	2
172	не случайно	4	2
173	в какой	2	2
174	так что	4	2
175	свой народ	1	2
176	не было	2	2
177	в особенности	1	2
178	для наших	1	2
179	себя и	2	2
180	равной степени	2	2
181	только по	1	2
182	до конца	2	2
183	а не	20	2
184	в частности	4	2
185	в равной	3	2
