N	2gram	Bakhtin_Fr_1	ViktorSh
1	в книге	2	3
2	и в	65	2
3	том что	6	2
4	книге в	1	2
5	в том	16	2
6	в конце	1	2
7	и только	1	1
8	и почти	2	1
9	оно с	1	1
10	способно вызвать	1	1
11	под влиянием	1	1
12	ни к	2	1
13	хотя бы	1	1
14	и не	22	1
15	связаны и	1	1
16	и его	10	1
17	потому что	5	1
18	сводится к	1	1
19	самом деле	3	1
20	все это	9	1
21	от других	1	1
22	именно в	1	1
23	главным образом	6	1
24	в их	4	1
25	их как	1	1
26	дело в	2	1
27	говорили в	1	1
28	в частности	5	1
29	так в	1	1
30	речи и	2	1
31	стоит на	1	1
32	все то	1	1
33	не одно	1	1
34	время в	2	1
35	говоря о	1	1
36	в которых	1	1
37	в значительной	6	1
38	в самом	4	1
39	только в	7	1
40	то же	1	1
41	так как	6	1
42	этому и	1	1
43	далеко не	3	1
44	что слово	1	1
45	но это	3	1
46	без знания	1	1
47	в этом	15	1
48	они на	1	1
49	да и	2	1
50	к этому	1	1
51	значительной степени	2	1
52	без учета	1	1
53	от многих	1	1
