N	2gram	Vygotskiy__2	ViktorSh
1	конце концов	3	2
2	и в	32	2
3	том что	21	2
4	в том	37	2
5	в конце	3	2
6	и только	2	1
7	крайней мере	1	1
8	тем более	2	1
9	в устах	1	1
10	которые они	2	1
11	все дело	1	1
12	сами формалисты	2	1
13	под влиянием	1	1
14	ни к	1	1
15	в другом	1	1
16	хотя бы	3	1
17	и не	10	1
18	все время	6	1
19	и его	7	1
20	потому что	21	1
21	даже не	1	1
22	более чем	1	1
23	сводится к	2	1
24	и то	3	1
25	же с	2	1
26	поэтического творчества	4	1
27	самом деле	16	1
28	и т.д	1	1
29	все это	5	1
30	совершенно ясно	7	1
31	от других	1	1
32	по поводу	1	1
33	именно в	1	1
34	главным образом	3	1
35	этом и	1	1
36	и сводится	1	1
37	в их	3	1
38	их как	2	1
39	дело в	1	1
40	в частности	3	1
41	так в	2	1
42	речи и	1	1
43	одно и	1	1
44	стоит на	1	1
45	все то	1	1
46	столь же	4	1
47	бы потому	1	1
48	образом из	1	1
49	время в	1	1
50	ведь это	1	1
51	говоря о	1	1
52	в которых	3	1
53	заключается что	1	1
54	не играет	1	1
55	в самом	12	1
56	зависят от	2	1
57	только в	7	1
58	то же	13	1
59	ясно что	7	1
60	так как	12	1
61	далеко не	5	1
62	и составляет	1	1
63	чем к	2	1
64	но это	2	1
65	в этом	13	1
66	что сами	1	1
67	по крайней	1	1
68	а только	3	1
69	и заключается	3	1
70	по существу	3	1
71	к этому	1	1
72	том же	2	1
