N	3gram	Tiupa_Disk_1	Poddanst
1	в то же	3	7
2	то же время	4	7
3	не только в	2	4
4	в том что	13	4
5	с точки зрения	1	3
6	сами по себе	2	3
7	с одной стороны	9	3
8	в том числе	2	2
9	одной стороны и	2	2
10	и не только	2	2
11	и в то	1	2
12	в полной мере	1	2
13	заключается в том	1	2
14	том что в	2	1
15	далеко не все	1	1
16	более или менее	2	1
17	в этом смысле	1	1
18	и не может	1	1
19	тот или иной	2	1
20	хотя бы и	1	1
21	в отличие от	4	1
22	в последующие века	1	1
23	вместе с тем	1	1
24	что во всех	1	1
25	в xix веке	1	1
26	в одно и	1	1
27	не в том	3	1
28	во всяком случае	1	1
29	с другой стороны	3	1
30	не может быть	3	1
31	ни к чему	1	1
32	и тем более	1	1
33	в частности в	2	1
34	в большинстве случаев	1	1
35	в известном смысле	1	1
36	том числе и	2	1
