N	2gram	Medvedev_B_1	FransuaR
1	и в	1	65
2	и не	2	22
3	и на	1	11
4	прежде всего	1	11
5	не только	1	10
6	так и	1	10
7	и потому	1	10
8	в эпоху	1	9
9	все это	2	9
10	за пределы	1	8
11	в области	1	7
12	на самом	1	6
13	в ней	2	6
14	еще не	1	6
15	все же	1	6
16	в значительной	1	6
17	в своей	1	5
18	выходит за	1	4
19	между ними	1	4
20	совершенно не	1	4
21	далеко не	1	3
22	с другой	1	3
23	и во	1	3
24	что в	1	3
25	видеть в	2	2
26	не вполне	1	2
27	значительной степени	1	2
28	своей книге	1	2
29	не укладывается	1	2
30	до конца	1	2
31	кроме того	1	2
32	в книге	1	2
33	говорить о	1	1
34	остановиться на	1	1
35	литературных произведений	2	1
36	и более	1	1
37	об этом	1	1
38	было бы	1	1
39	стоит на	1	1
40	в трактовке	1	1
41	другой стороны	1	1
42	у нас	3	1
43	лучше и	2	1
44	что все	1	1
45	в пределах	1	1
46	можно было	2	1
47	по теории	1	1
48	по нашему	1	1
49	работа по	1	1
50	одной из	1	1
51	всяком случае	1	1
52	и ее	1	1
53	не было	1	1
54	такое определение	1	1
55	не о	1	1
56	с западными	1	1
57	а не	1	1
58	и исторической	1	1
59	и полнее	1	1
60	свести к	1	1
61	нашему мнению	1	1
62	а о	1	1
63	также не	1	1
64	во всяком	1	1
