N	3gram	Vygotskiy__5	PoTuStor
1	с точки зрения	2	6
2	на самом деле	2	4
3	с самого начала	3	4
4	в чем не	1	3
5	в этом смысле	1	3
6	до сих пор	5	3
7	по крайней мере	1	3
8	по сравнению с	4	3
9	не может быть	2	3
10	ни в чем	1	3
11	можно сказать что	2	3
12	нам кажется что	1	2
13	мы можем теперь	1	2
14	в нем нет	1	2
15	так же как	2	2
16	в самом деле	5	2
17	не могут быть	1	2
18	все то что	2	2
19	о том что	6	2
20	в конечном счете	1	2
21	и в этом	1	2
22	свое отношение к	1	1
23	сводится к следующему	1	1
24	и того же	2	1
25	все что угодно	1	1
26	ли у нас	1	1
27	прежде всего на	1	1
28	дело в том	1	1
29	мы имеем в	1	1
30	из этих трех	1	1
31	он может быть	1	1
32	одного и того	2	1
33	во многих случаях	1	1
34	то же самое	3	1
35	что на этом	1	1
36	как это делает	2	1
37	же как и	1	1
38	за которой скрывается	1	1
39	на первый план	2	1
40	в этом отношении	3	1
41	но несмотря на	1	1
42	несмотря на это	1	1
43	можно было бы	3	1
44	это приводит к	1	1
45	именно то что	4	1
46	остановимся прежде всего	1	1
47	с этой точки	1	1
48	вместе с тем	3	1
49	в каком отношении	2	1
50	том что мы	2	1
51	в данном случае	2	1
52	и т.п и	1	1
53	шаг за шагом	1	1
54	с одной стороны	12	1
55	и только из	1	1
56	этом отношении и	1	1
57	в себя и	1	1
58	как один из	1	1
59	в применении к	1	1
60	а с другой	4	1
61	имеем дело с	1	1
62	психической энергии в	2	1
63	однако сказать что	1	1
64	но вместе с	1	1
65	для этого на	1	1
66	в том что	14	1
67	и аффектов с	1	1
68	этой точки зрения	1	1
69	и таким образом	2	1
70	увидим что оно	1	1
71	самом деле есть	1	1
72	мы не можем	1	1
73	что в этой	1	1
74	во внешнем мире	1	1
75	по его мнению	2	1
76	что иное как	2	1
77	мы знаем что	2	1
78	в том смысле	1	1
79	черты своего происхождения	1	1
80	не что иное	2	1
81	и что он	1	1
82	друг с другом	3	1
83	для того чтобы	19	1
84	мы увидим что	6	1
85	обратим внимание на	1	1
86	таким образом с	1	1
87	той или иной	2	1
88	мы еще не	1	1
